Order;families;genus;subspeciesname;distribution;latD;logD;publication;UTM corrected
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,026866;25,565556;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU67
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,201769;24,136289;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);KU49
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,216508;25,050644;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU29
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,05354;25,40785;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU57
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,2263957;24,99413389;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU19
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,01298;25,67277;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU77
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,25194995;26,26460936;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);MV30
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,58954281;24,14639873;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV33
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,560686;24,16493;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV44
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,28925115;24,18258807;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV40
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,29213365;24,14671597;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,36257;24,2606;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV51
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,34757913;24,45160654;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV61
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,4945873;23,6537459;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE33
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,32677065;24,27992474;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV51
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,33333;23,88333;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE61
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,23355;23,68379;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE40
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,01298;25,67277;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU77
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;34,83582;24,08608;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KU35
