internalTaxonId,scientificName,name,language,main
11797,Lepus castroviejoi,Liebre De Piornal,Spanish; Castilian,false
11797,Lepus castroviejoi,Lievre de Castroviejo,French,false
11797,Lepus castroviejoi,Broom Hare,English,true
136503,Plecotus sardus,Oreillard Sarde,French,false
136503,Plecotus sardus,Orejudo Sardo,Spanish; Castilian,false
136503,Plecotus sardus,Sardinian Long-eared Bat,English,true
136536,Microtus brachycercus,Calabria Pine Vole,English,true
157938,Narthecium reverchonii,Ossifrage de Reverchon,French,false
157938,Narthecium reverchonii,Narthécie de Reverchon,French,true
162144,Anthyllis hystrix,Socarrell gros,Catalan; Valencian,true
162229,Ophrys melitensis,Brimba Sewda,Maltese,false
162229,Ophrys melitensis,Maltse Spider Orchid,English,true
162906,Helicocranchia pfefferi,Banded Piglet Squid,English,true
162910,Chtenopteryx sicula,Toothed-fin Squid,English,false
162910,Chtenopteryx sicula,Comb-finned Squid,English,true
165121,Lycopodium madeirense,Madeira Clubmoss,English,true
165231,Asplenium azoricum,Azorean Spleenwort,English,true
171087,Oxychilus lathyri,Luisant de Bastia,French,true
171134,Oxychilus blauneri,Luisant de Figari,French,true
171262,Cochlodina meisneriana,Fuseau corse,French,true
171271,Oxychilus tropidophorus,Luisant de Haute-Corse,French,true
171291,Oxychilus obscuratus,Luisant de Marmano,French,true
171635,Oxychilus requienii,Luisant de Corte,French,true
171648,Oxychilus adjaciensis,Luisant corse,French,true
171709,Oxychilus shuttleworthianus,Luisant de Saint-Florent,French,true
171995,Oxychilus edmundi,Luisant de Porto,French,true
193529,Acer lobelii,Lobel's Maple,English,true
196116,Backeljaia corbellai,Small snail of Navés,English,false
196116,Backeljaia corbellai,Pequeño caracol de Navés,Spanish; Castilian,true
202990,Santolina oblongifolia,Santolina,Spanish; Castilian,false
202990,Santolina oblongifolia,Manzanilla de Gredos,Spanish; Castilian,true
202992,Tanacetum cinerariifolium,Dalmatian Insect-Flower,English,false
202992,Tanacetum cinerariifolium,Dalmatia Pyrethrum,English,false
202992,Tanacetum cinerariifolium,Chu Chong Ju,Chinese,false
202992,Tanacetum cinerariifolium,Dalmatiner Insektenblume,German,false
202992,Tanacetum cinerariifolium,Dalmatinerkrage,Swedish,false
202992,Tanacetum cinerariifolium,Dalmatskaja Romaška,Russian,false
202992,Tanacetum cinerariifolium,Jechunggug,Korean,false
202992,Tanacetum cinerariifolium,Karajpel lulepleshti,Albanian,false
202992,Tanacetum cinerariifolium,Pelitre,Spanish; Castilian,false
202992,Tanacetum cinerariifolium,Piretro,Spanish; Castilian,false
202992,Tanacetum cinerariifolium,Piretrum Sinerarielistnyj,Russian,false
202992,Tanacetum cinerariifolium,Pyrèthre,French,false
202992,Tanacetum cinerariifolium,Pyrèthre de Dalmatie,French,false
202992,Tanacetum cinerariifolium,Shirobana-Mushi-Yokegiku,Japanese,false
202992,Tanacetum cinerariifolium,Dalmatian Pyrethrum,English,true
203261,Salvia officinalis subsp. lavandulifolia,Sauge à Feuilles de Lavande,French,false
203261,Salvia officinalis subsp. lavandulifolia,Spanish Sage,English,true
203267,Sideritis glacialis,Manrubio,Spanish; Castilian,false
203267,Sideritis glacialis,Samarilla Blanca,Spanish; Castilian,false
203267,Sideritis glacialis,Zahareña Fina,Spanish; Castilian,false
203267,Sideritis glacialis,Hierba de la sangre,Spanish; Castilian,true
203269,Sideritis leucantha,Rabo de gato,Spanish; Castilian,true
203270,Sideritis reverchonii,Zahareña,Spanish; Castilian,true
203344,Thymus baeticus,Tomillo basto,Spanish; Castilian,false
203344,Thymus baeticus,Tomillo fino,Spanish; Castilian,false
203344,Thymus baeticus,Spanish Lemon Thyme,English,true
20411,Sorex samniticus,Musaraigne Des Apennins,French,false
20411,Sorex samniticus,Musaraña De Los Apeninos,Spanish; Castilian,false
20411,Sorex samniticus,Appenine Shrew,English,true
269,Acomys minous,Cretan Spiny Mouse,English,false
269,Acomys minous,Spiny Mouse,English,false
269,Acomys minous,Kreta-Stachelmaus,German,false
269,Acomys minous,Ratón Espinoso De Creta,Spanish; Castilian,false
269,Acomys minous,Souris Épineuse De Crete,French,false
269,Acomys minous,Crete Spiny Mouse,English,true
30336,Sideroxylon mirmulans,Marmulan,Spanish; Castilian,false
30336,Sideroxylon mirmulans,Marmulano,Portuguese,false
33956,Frangula azorica,Tintureira,Portuguese,false
34161,Larix decidua var. polonica,Larice,Romanian,false
34161,Larix decidua var. polonica,Zada,Romanian,false
41484,Talpa romana,Taupe Romaine,French,false
41484,Talpa romana,Topo Romano,Spanish; Castilian,false
41484,Talpa romana,Roman Mole,English,true
5560,Crocidura canariensis,Canarian Shrew,English,false
5560,Crocidura canariensis,Canarian White-toothed Shrew,English,false
5560,Crocidura canariensis,Crocidure des Canaries,French,false
5560,Crocidura canariensis,Musaraña Canaria,Spanish; Castilian,false
5560,Crocidura canariensis,Canary Shrew,English,true
61645,Atriplex lanfrancoi,Bjanka taI-Irdum,Maltese,false
61645,Atriplex lanfrancoi,Maltese Cliff Orache,English,true
61649,Euphorbia margalidiana,Spurge of Margadiles Islet,English,false
61649,Euphorbia margalidiana,Lletrera,Catalan; Valencian,false
61649,Euphorbia margalidiana,Lletrera de Ses Margalides,Catalan; Valencian,false
10799,Iglica kleinzellensis,Steirische Höhlennadelschneck,German,true
11027,Knipowitschia thessala,Θεσσαλογωβιός,"Greek, Modern (1453-)",false
11027,Knipowitschia thessala,Thessaly goby,English,true
11028,Knipowitschia goerneri,Κερκυρογωβιός,"Greek, Modern (1453-)",false
11028,Knipowitschia goerneri,Corfu dwarf goby,English,true
11029,Knipowitschia milleri,Αχερονογωβιός,"Greek, Modern (1453-)",false
11029,Knipowitschia milleri,Acheron spring goby,English,true
