assessmentId,internalTaxonId,scientificName,code,name,note
518549,136503,Plecotus sardus,2.1,Site/area management,
740729,156067,Tarraconia rolani,4.3,Awareness & communications,
899963,162144,Anthyllis hystrix,1.1,Site/area protection,""
1077672,165121,Lycopodium madeirense,1.1,Site/area protection,""
1079182,165231,Asplenium azoricum,1.1,Site/area protection,""
1316979,170828,Bulgarica iniucunda,1.1,Site/area protection,""
1316993,170829,Micridyla pinteri,1.1,Site/area protection,""
1316993,170829,Micridyla pinteri,5.1.2,National level,""
1317317,170836,Gyralina ermonae,5.4.4,Scale unspecified,""
1317317,170836,Gyralina ermonae,1.2,Resource & habitat protection,""
1317317,170836,Gyralina ermonae,1.1,Site/area protection,""
1317359,170839,Limax polipunctatus,1.1,Site/area protection,""
1317448,170840,Zonites graecus,1.1,Site/area protection,""
1317448,170840,Zonites graecus,1.2,Resource & habitat protection,""
1317448,170840,Zonites graecus,2.3,Habitat & natural process restoration,""
1317462,170841,Charpentieria spezialensis,2.1,Site/area management,""
1317462,170841,Charpentieria spezialensis,1.2,Resource & habitat protection,""
1317462,170841,Charpentieria spezialensis,5.1.4,Scale unspecified,""
1317462,170841,Charpentieria spezialensis,4.3,Awareness & communications,""
1317462,170841,Charpentieria spezialensis,1.1,Site/area protection,""
1317518,170845,Macedonica martae,5.1.2,National level,""
1317518,170845,Macedonica martae,5.1.1,International level,""
1317518,170845,Macedonica martae,4.3,Awareness & communications,""
1317518,170845,Macedonica martae,4.2,Training,""
1317518,170845,Macedonica martae,4.1,Formal education,""
1317518,170845,Macedonica martae,1.1,Site/area protection,""
1317682,170850,Charpentieria calcarae,1.2,Resource & habitat protection,""
1317682,170850,Charpentieria calcarae,1.1,Site/area protection,""
1317836,170861,Macedonica schatzmayri,2.1,Site/area management,""
1317864,170863,Zonites labiosus,1.1,Site/area protection,""
1317962,170870,Albinaria vrondamasa,1.2,Resource & habitat protection,""
1317962,170870,Albinaria vrondamasa,5.1.2,National level,""
1317962,170870,Albinaria vrondamasa,1.1,Site/area protection,""
1317976,170871,Amphorella hypselia,2.1,Site/area management,""
1318076,170876,Retinella osoriensis,1.1,Site/area protection,""
1318104,170878,Balcanodiscus beroni,1.2,Resource & habitat protection,""
1318104,170878,Balcanodiscus beroni,1.1,Site/area protection,""
1318132,170880,Limax aeolianus,4.3,Awareness & communications,""
1318132,170880,Limax aeolianus,1.1,Site/area protection,""
1318132,170880,Limax aeolianus,1.2,Resource & habitat protection,""
1318188,170884,Carpathica elisabethae,1.1,Site/area protection,""
1318286,170891,Oxychilus fuscosus,1.2,Resource & habitat protection,""
1318286,170891,Oxychilus fuscosus,5.1.4,Scale unspecified,""
1318286,170891,Oxychilus fuscosus,4.3,Awareness & communications,""
1318286,170891,Oxychilus fuscosus,1.1,Site/area protection,""
1318404,170898,Mediterranea planospiroides,2.1,Site/area management,""
1318516,170906,Alopia subcosticollis,1.1,Site/area protection,""
1318572,170910,Tandonia jablanacensis,1.1,Site/area protection,""
1318782,170926,Delima pfeifferi,1.1,Site/area protection,""
1318810,170928,Zonites oertzeni,1.1,Site/area protection,""
1318922,170936,Hypnophila cylindrica,1.2,Resource & habitat protection,""
1318922,170936,Hypnophila cylindrica,1.1,Site/area protection,""
1319282,170959,Oxychilus miceui,1.1,Site/area protection,""
1319366,170965,Albinaria zilchi,1.2,Resource & habitat protection,""
1319366,170965,Albinaria zilchi,5.1.2,National level,""
1319366,170965,Albinaria zilchi,1.1,Site/area protection,""
1319506,170975,Tandonia piriniana,5.1.2,National level,""
1319506,170975,Tandonia piriniana,1.1,Site/area protection,""
1319506,170975,Tandonia piriniana,2.1,Site/area management,""
1319548,170978,Carinigera tantilla,1.2,Resource & habitat protection,""
1319548,170978,Carinigera tantilla,5.1.4,Scale unspecified,""
1319548,170978,Carinigera tantilla,1.1,Site/area protection,""
1319618,170983,Lehmannia medioflagellata,1.1,Site/area protection,""
1319632,170984,Muticaria neuteboomi,1.2,Resource & habitat protection,""
1319632,170984,Muticaria neuteboomi,1.1,Site/area protection,""
1319716,170990,Medora stenostoma,1.1,Site/area protection,""
1319758,170993,Carinigera octava,1.2,Resource & habitat protection,""
1319758,170993,Carinigera octava,5.1.3,Sub-national level,""
1319758,170993,Carinigera octava,5.1.2,National level,""
1319758,170993,Carinigera octava,5.1.1,International level,""
1319758,170993,Carinigera octava,1.1,Site/area protection,""
1319800,170996,Carinigera pharsalica,1.2,Resource & habitat protection,""
1319800,170996,Carinigera pharsalica,5.1.4,Scale unspecified,""
1319800,170996,Carinigera pharsalica,1.1,Site/area protection,""
1319856,171000,Montenegrina stankovici,1.2,Resource & habitat protection,""
1319856,171000,Montenegrina stankovici,1.1,Site/area protection,""
1319898,171003,Carinigera superba,1.1,Site/area protection,""
1319940,171007,Graciliaria inserta,1.1,Site/area protection,""
1320052,171015,Cibinia nana,1.1,Site/area protection,""
1320094,171018,Bulgarica pindica,2.1,Site/area management,""
1320290,171032,Charpentieria septemplicata,5.4.4,Scale unspecified,""
1320290,171032,Charpentieria septemplicata,1.2,Resource & habitat protection,""
1320290,171032,Charpentieria septemplicata,4.3,Awareness & communications,""
1320290,171032,Charpentieria septemplicata,1.1,Site/area protection,""
1320304,171033,Charpentieria grohmanniana,1.2,Resource & habitat protection,""
1320388,171039,Albinaria litoraria,1.2,Resource & habitat protection,""
1320388,171039,Albinaria litoraria,5.1.2,National level,""
1320388,171039,Albinaria litoraria,1.1,Site/area protection,""
1320598,171054,Doraegopis carinatus,5.4.3,Sub-national level,""
1320598,171054,Doraegopis carinatus,1.2,Resource & habitat protection,""
1320598,171054,Doraegopis carinatus,1.1,Site/area protection,""
1320626,171056,Oxychilus gardinii,1.1,Site/area protection,""
1320710,171062,Oxychilus canini,1.2,Resource & habitat protection,""
1320780,171067,Janulus pompylius,1.1,Site/area protection,""
1320878,171074,Bulgarica urbanskii,5.1.3,Sub-national level,""
1320878,171074,Bulgarica urbanskii,5.1.2,National level,""
1320934,171078,Carinigera pellucida,5.1.2,National level,""
1320934,171078,Carinigera pellucida,1.1,Site/area protection,""
1320934,171078,Carinigera pellucida,1.2,Resource & habitat protection,""
1320976,171081,Sphincterochila insularis,5.1.2,National level,""
1320976,171081,Sphincterochila insularis,5.1.1,International level,""
1320976,171081,Sphincterochila insularis,1.1,Site/area protection,""
1320990,171082,Cecilioides stephaniana,2.1,Site/area management,""
1320990,171082,Cecilioides stephaniana,1.2,Resource & habitat protection,""
1320990,171082,Cecilioides stephaniana,1.1,Site/area protection,""
1321018,171084,Macedonica pirotana,1.2,Resource & habitat protection,""
1321018,171084,Macedonica pirotana,1.1,Site/area protection,""
1321074,171088,Schistophallus oscari,1.1,Site/area protection,""
1321102,171090,Bulgarica moellendorffi,5.1.2,National level,""
1321102,171090,Bulgarica moellendorffi,1.1,Site/area protection,""
1321130,171092,Laciniaria bajula,5.1.3,Sub-national level,""
1321144,171093,Gyralina pageti,1.1,Site/area protection,""
1321172,171095,Limax dobrogicus,1.1,Site/area protection,""
1321368,171108,Doraegopis euboeicus,5.4.4,Scale unspecified,""
1321368,171108,Doraegopis euboeicus,1.1,Site/area protection,""
1321382,171109,Bulgarica pavlovici,2.1,Site/area management,""
1321382,171109,Bulgarica pavlovici,1.1,Site/area protection,""
1321410,171111,Lindbergia gittenbergeri,2.3,Habitat & natural process restoration,""
1321410,171111,Lindbergia gittenbergeri,2.1,Site/area management,""
1321410,171111,Lindbergia gittenbergeri,1.2,Resource & habitat protection,""
1321410,171111,Lindbergia gittenbergeri,1.1,Site/area protection,""
1321494,171117,Doraegopis boeoticus,5.4.3,Sub-national level,""
1321494,171117,Doraegopis boeoticus,1.2,Resource & habitat protection,""
1321494,171117,Doraegopis boeoticus,1.1,Site/area protection,""
1321508,171118,Milax verrucosus,5.1.2,National level,""
1321508,171118,Milax verrucosus,1.1,Site/area protection,""
1321550,171121,Allaegopis subariedeli,1.2,Resource & habitat protection,""
1321830,171141,Albinaria sublamellosa,1.2,Resource & habitat protection,""
1321830,171141,Albinaria sublamellosa,5.1.2,National level,""
1321830,171141,Albinaria sublamellosa,1.1,Site/area protection,""
1321858,171143,Macedonica slavica,5.1.2,National level,""
1321858,171143,Macedonica slavica,5.1.1,International level,""
1321858,171143,Macedonica slavica,1.1,Site/area protection,""
1321971,171149,Vitrea zilchi,5.4.4,Scale unspecified,""
1321971,171149,Vitrea zilchi,1.1,Site/area protection,""
1322070,171154,Charpentieria tiberii,1.2,Resource & habitat protection,""
1322070,171154,Charpentieria tiberii,4.3,Awareness & communications,""
1322070,171154,Charpentieria tiberii,1.1,Site/area protection,""
1322126,171158,Gyralina tarabosensis,1.1,Site/area protection,""
1322168,171161,Mediterranea polygyra,1.1,Site/area protection,""
1322196,171163,Alopia meschendorferi,1.1,Site/area protection,""
1322196,171163,Alopia meschendorferi,5.1.4,Scale unspecified,""
1322196,171163,Alopia meschendorferi,1.2,Resource & habitat protection,""
1322224,171165,Graecophaedusa sperrlei,2.1,Site/area management,""
1322224,171165,Graecophaedusa sperrlei,5.1.3,Sub-national level,""
1322224,171165,Graecophaedusa sperrlei,5.1.2,National level,""
