assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
518549,136503,Plecotus sardus,IT,Italy,Extant,Native,"[""Resident""]",
518646,136536,Microtus brachycercus,IT,Italy,Extant,Native,"[""Resident""]",
731349,155501,Tudorella ferruginea,ES,Spain,Extant,Native,"[""Resident""]",
732242,155535,Paludinella sicana,IT,Italy,Presence Uncertain,Native,,
732242,155535,Paludinella sicana,ES,Spain,Presence Uncertain,Native,,
732242,155535,Paludinella sicana,FR,France,Presence Uncertain,Native,,
732242,155535,Paludinella sicana,GR,Greece,Extant,Native,"[""Resident""]",
733138,155539,Pomatias canariensis,ES,Spain,Extant,Native,,
734201,155663,Pomatias palmensis,ES,Spain,Extant,Native,,
734228,155672,Pomatias lanzarotensis,ES,Spain,Extant,Native,,
738029,155943,Pomatias laevigatus,ES,Spain,Extant,Native,,
740729,156067,Tarraconia rolani,ES,Spain,Extant,Native,"[""Resident""]",
742776,157118,Theba macandrewiana,PT,Portugal,Extant,Native,"[""Resident""]",
754188,157938,Narthecium reverchonii,FR,France,Extant,Native,"[""Resident""]",
899963,162144,Anthyllis hystrix,ES,Spain,Extant,Native,"[""Resident""]",
951921,162906,Helicocranchia pfefferi,IE,Ireland,Extant,Native,"[""Resident""]",
952453,162910,Chtenopteryx sicula,IT,Italy,Extant,Native,"[""Resident""]",
969491,163079,Mastigoteuthis atlantica,FR,France,Extant,Native,"[""Resident""]",
986248,163225,Grimpoteuthis umbellata,PT,Portugal,Extant,Native,"[""Resident""]",
988641,163238,Planctoteuthis levimana,PT,Portugal,Extant,Native,"[""Resident""]",
1077672,165121,Lycopodium madeirense,PT,Portugal,Extant,Native,"[""Resident""]",
1079182,165231,Asplenium azoricum,PT,Portugal,Extant,Native,"[""Resident""]",
1316965,170827,Tandonia melanica,GR,Greece,Extant,Native,"[""Resident""]",
1316979,170828,Bulgarica iniucunda,GR,Greece,Extant,Native,"[""Resident""]",
1316993,170829,Micridyla pinteri,BG,Bulgaria,Extant,Native,"[""Resident""]",
1317224,170831,Delima blanda,BA,Bosnia and Herzegovina,Presence Uncertain,Native,"[""Resident""]",Yes
1317224,170831,Delima blanda,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1317238,170832,Delima piceata,IT,Italy,Extant,Native,"[""Resident""]",
1317289,170834,Albinaria confusa,GR,Greece,Extant,Native,"[""Resident""]",
1317303,170835,Oxychilus miguelinus,PT,Portugal,Extant,Native,"[""Resident""]",
1317317,170836,Gyralina ermonae,GR,Greece,Extant,Native,"[""Resident""]",
1317331,170837,Cryptella alegranzae,ES,Spain,Extant,Native,"[""Resident""]",
1317345,170838,Inchoatia inchoata,GR,Greece,Extant,Native,"[""Resident""]",
1317359,170839,Limax polipunctatus,IT,Italy,Extant,Native,"[""Resident""]",
1317448,170840,Zonites graecus,GR,Greece,Extant,Native,"[""Resident""]",
1317462,170841,Charpentieria spezialensis,IT,Italy,Extant,Native,"[""Resident""]",
1317476,170842,Ferussacia valida,ES,Spain,Extant,Native,"[""Resident""]",
1317518,170845,Macedonica martae,BG,Bulgaria,Extant,Native,"[""Resident""]",
1317532,170846,Montenegrina apfelbecki,AL,Albania,Extant,Native,"[""Resident""]",Yes
1317682,170850,Charpentieria calcarae,IT,Italy,Extant,Native,"[""Resident""]",
1317696,170851,Bulgarica fritillaria,BG,Bulgaria,Extant,Native,"[""Resident""]",
1317696,170851,Bulgarica fritillaria,RO,Romania,Presence Uncertain,Origin Uncertain,,
1317710,170852,Arion atripunctatus,FR,France,Extant,Native,"[""Resident""]",
1317766,170856,Atlantica textilis,ES,Spain,Extant,Native,"[""Resident""]",
1317780,170857,Limax canapicianus,IT,Italy,Extant,Native,"[""Resident""]",
1317808,170859,Virpazaria backhuysi,ME,Montenegro,Extant,Native,"[""Resident""]",Yes
1317836,170861,Macedonica schatzmayri,GR,Greece,Extant,Native,"[""Resident""]",
1317864,170863,Zonites labiosus,GR,Greece,Extant,Native,"[""Resident""]",
1317878,170864,Dilataria marcki,HR,Croatia,Extant,Native,"[""Resident""]",
1317906,170866,Carpathica denticulata,RO,Romania,Extant,Native,"[""Resident""]",
1317920,170867,Albinaria menelaus,GR,Greece,Extant,Native,"[""Resident""]",
1317962,170870,Albinaria vrondamasa,GR,Greece,Extant,Native,"[""Resident""]",Yes
1317976,170871,Amphorella hypselia,PT,Portugal,Extant,Native,,
1318062,170875,Spelaeodiscus hauffeni,SI,Slovenia,Extant,Native,"[""Resident""]",
1318076,170876,Retinella osoriensis,ES,Spain,Extant,Native,,
1318090,170877,Aegopis compressus,HR,Croatia,Extant,Native,"[""Resident""]",
1318090,170877,Aegopis compressus,SI,Slovenia,Presence Uncertain,Native,"[""Resident""]",
1318104,170878,Balcanodiscus beroni,GR,Greece,Extant,Native,"[""Resident""]",
1318118,170879,Punctum azoricum,PT,Portugal,Extant,Native,"[""Resident""]",
1318132,170880,Limax aeolianus,IT,Italy,Extant,Native,"[""Resident""]",
1318146,170881,Delima subcylindrica,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1318160,170882,Albinaria nivea,GR,Greece,Extant,Native,"[""Resident""]",
1318188,170884,Carpathica elisabethae,RO,Romania,Extant,Native,"[""Resident""]",
1318244,170888,Lehmannia requienii,FR,France,Extant,Native,"[""Resident""]",
1318258,170889,Oxychilus juvenostriatus,PT,Portugal,Extant,Native,"[""Resident""]",
1318286,170891,Oxychilus fuscosus,IT,Italy,Extant,Native,"[""Resident""]",
1318314,170893,Isabellaria abyssoclista,GR,Greece,Extant,Native,"[""Resident""]",
1318328,170894,Boettgeria depauperata,PT,Portugal,Extant,Native,"[""Resident""]",
1318404,170898,Mediterranea planospiroides,ME,Montenegro,Extant,Native,"[""Resident""]",
1318460,170902,Gyralina rempei,MK,North Macedonia,Extant,Native,"[""Resident""]",
1318502,170905,Alopia livida,RO,Romania,Extant,Native,"[""Resident""]",
1318516,170906,Alopia subcosticollis,RO,Romania,Extant,Native,"[""Resident""]",
1318572,170910,Tandonia jablanacensis,HR,Croatia,Extant,Native,"[""Resident""]",
1318586,170911,Vitrea trolli,IT,Italy,Extant,Native,"[""Resident""]",
1318642,170915,Carinigera dextrorsa,GR,Greece,Extant,Native,"[""Resident""]",
1318670,170917,Balcanodiscus carinatus,GR,Greece,Extant,Native,"[""Resident""]",
1318726,170921,Limax lachensis,FR,France,Extant,Native,"[""Resident""]",
1318740,170922,Allaegopis jonicus,GR,Greece,Extant,Native,"[""Resident""]",
1318782,170926,Delima pfeifferi,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1318810,170928,Zonites oertzeni,GR,Greece,Extant,Native,"[""Resident""]",
1318852,170931,Limax subalpinus,IT,Italy,Extant,Native,"[""Resident""]",
1318852,170931,Limax subalpinus,FR,France,Presence Uncertain,Native,"[""Resident""]",
1318880,170933,Alopia nixa,RO,Romania,Extant,Native,"[""Resident""]",
1318894,170934,Vitrea subaii,HR,Croatia,Extant,Native,"[""Resident""]",
1318908,170935,Carinigera praecipua,GR,Greece,Extant,Native,"[""Resident""]",
1318922,170936,Hypnophila cylindrica,IT,Italy,Extant,Native,"[""Resident""]",
1318992,170941,Herilla pavlovici,BA,Bosnia and Herzegovina,Extant,Native,"[""Resident""]",
1319104,170949,Alopia plumbea,RO,Romania,Extant,Native,"[""Resident""]",
1319146,170952,Arion wiktori,ES,Spain,Extant,Native,"[""Resident""]",
1319254,170957,Isabellaria isabellina,GR,Greece,Extant,Native,"[""Resident""]",
1319282,170959,Oxychilus miceui,PT,Portugal,Extant,Native,"[""Resident""]",
1319310,170961,Retinella circumsessa,ES,Spain,Extant,Native,,
1319366,170965,Albinaria zilchi,GR,Greece,Extant,Native,"[""Resident""]",Yes
1319436,170970,Oxychilus volutella,PT,Portugal,Extant,Native,"[""Resident""]",
1319464,170972,Medora armata,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1319478,170973,Albinaria voithii,GR,Greece,Extant,Native,"[""Resident""]",
1319506,170975,Tandonia piriniana,BG,Bulgaria,Extant,Native,"[""Resident""]",
1319534,170977,Coilostele acus,ES,Spain,Possibly Extinct,Native,"[""Resident""]",
1319548,170978,Carinigera tantilla,GR,Greece,Extant,Native,"[""Resident""]",
1319590,170981,Virpazaria adrianae,ME,Montenegro,Extant,Native,"[""Resident""]",Yes
1319618,170983,Lehmannia medioflagellata,RO,Romania,Extant,Native,"[""Resident""]",
1319632,170984,Muticaria neuteboomi,IT,Italy,Extant,Native,"[""Resident""]",
1319646,170985,Delima albocincta,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1319674,170987,Albinaria solicola,GR,Greece,Extant,Native,"[""Resident""]",
1319688,170988,Gibbulinella dealbata,ES,Spain,Extant,Native,,
1319716,170990,Medora stenostoma,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1319758,170993,Carinigera octava,MK,North Macedonia,Extant,Native,"[""Resident""]",
1319800,170996,Carinigera pharsalica,GR,Greece,Extant,Native,"[""Resident""]",Yes
1319828,170998,Limax pironae,IT,Italy,Extant,Native,"[""Resident""]",
1319856,171000,Montenegrina stankovici,MK,North Macedonia,Extant,Native,"[""Resident""]",Yes
1319898,171003,Carinigera superba,GR,Greece,Extant,Native,"[""Resident""]",
1319926,171006,Albinaria freytagi,GR,Greece,Extant,Native,"[""Resident""]",
1319940,171007,Graciliaria inserta,RO,Romania,Extant,Native,"[""Resident""]",
1319982,171010,Vermetum festinans,ES,Spain,Extant,Native,,
1320038,171014,Inchoatia regina,GR,Greece,Extant,Native,"[""Resident""]",
1320052,171015,Cibinia nana,RO,Romania,Extant,Native,"[""Resident""]",
1320094,171018,Bulgarica pindica,GR,Greece,Extant,Native,"[""Resident""]",
1320136,171021,Medora hiltrudae,HR,Croatia,Extant,Native,"[""Resident""]",Yes
1320276,171031,Retinella giustii,IT,Italy,Extant,Native,"[""Resident""]",
1320290,171032,Charpentieria septemplicata,IT,Italy,Extant,Native,"[""Resident""]",
1320304,171033,Charpentieria grohmanniana,IT,Italy,Extant,Native,"[""Resident""]",
