assessmentId,internalTaxonId,scientificName,type,text,full,value,order
518549,136503,Plecotus sardus,RedListAssessors,"Piraccini, R.","Piraccini, R.",Riccardo Piraccini (Global Mammal Assessment),87948742
518549,136503,Plecotus sardus,RedListEvaluators,"Pacifici, M. & Cassola, F.","Pacifici, M. & Cassola, F.",Michela Pacifici (Global Mammal Assessment)|Francesca Cassola (Global Mammal Assessment),"47721809,76427132"
518549,136503,Plecotus sardus,RedListContributors,"Hutson, A.M., Aulagnier, S., Juste, J., Karataş, A., Palmeirim, J. & Paunović, M.","Hutson, A.M., Aulagnier, S., Juste, J., Karataş, A., Palmeirim, J. & Paunović, M.",Anthony Hutson (IUCN SSC Chiroptera Specialist Group)|Stéphane Aulagnier (Société Française pour l' Étude et la Protection des Mammifères)|Javier Juste|A Karataş|J Palmeirim|Milan Paunović,"1155,5855,85149703,97588754,98807868,98816977"
518646,136536,Microtus brachycercus,RedListAssessors,"Amori, G.","Amori, G.","Giovanni Amori (Italian National Research Council, La Sapienza University in Rome, Italy)",22181344
518646,136536,Microtus brachycercus,RedListEvaluators,"Cassola, F.","Cassola, F.",Francesca Cassola (Global Mammal Assessment),76427132
731349,155501,Tudorella ferruginea,RedListAssessors,"","Martínez-Ortí, A.",Alberto Martínez-Ortí (European Red List: terrestrial mollusc assessor),228
731349,155501,Tudorella ferruginea,RedListEvaluators,"","Gómez Moliner, B.J. & Rowson, B.",Benjamín Gómez Moliner (Europe & Med)|Ben Rowson (European Red List: terrestrial mollusc assessor),"254,81839035"
731349,155501,Tudorella ferruginea,RedListFacilitators,"","Cálix, M.",Marta Cálix (IUCN European Red List),84986092
732242,155535,Paludinella sicana,RedListAssessors,"Seddon, M.B.","Seddon, M.B.",Mary Seddon (IUCN SSC Mollusc Specialist Group),218
732242,155535,Paludinella sicana,RedListEvaluators,"Smith, K.","Smith, K.",Kevin Smith (IUCN),303
732242,155535,Paludinella sicana,RedListContributors,"Kadolsky, D. & Prie, V.","Kadolsky, D. & Prie, V.",Vincent Prié (European Red List: terrestrial mollusc assessor)|Dietrich Kadolsky,"59261728,24"
733138,155539,Pomatias canariensis,RedListAssessors,"","Groh, K.",Klaus Groh (European terrestrial mollusc assessments),84456210
733138,155539,Pomatias canariensis,RedListEvaluators,"","Teixeira, D., Seddon, M.B., Neubert, E. & Cameron, R.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Eike Neubert (Naturhistorisches Museum der Burgergemeinde Bern)|Robert Cameron|Dinarte Teixeira (European Red List: terrestrial mollusc assessor),"4722,218,1996,3069"
734201,155663,Pomatias palmensis,RedListAssessors,"","Groh, K.",Klaus Groh (European terrestrial mollusc assessments),84456210
734201,155663,Pomatias palmensis,RedListEvaluators,"","Cameron, R., Neubert, E., Seddon, M.B. & Teixeira, D.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Eike Neubert (Naturhistorisches Museum der Burgergemeinde Bern)|Robert Cameron|Dinarte Teixeira (European Red List: terrestrial mollusc assessor),"3069,1996,218,4722"
734228,155672,Pomatias lanzarotensis,RedListAssessors,"","Groh, K.",Klaus Groh (European terrestrial mollusc assessments),84456210
734228,155672,Pomatias lanzarotensis,RedListEvaluators,"","Cameron, R., Teixeira, D. & Seddon, M.B.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Robert Cameron|Dinarte Teixeira (European Red List: terrestrial mollusc assessor),"3069,4722,218"
738029,155943,Pomatias laevigatus,RedListAssessors,"","Groh, K.",Klaus Groh (European terrestrial mollusc assessments),84456210
738029,155943,Pomatias laevigatus,RedListEvaluators,"","Cameron, R., Neubert, E., Teixeira, D. & Seddon, M.B.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Eike Neubert (Naturhistorisches Museum der Burgergemeinde Bern)|Robert Cameron|Dinarte Teixeira (European Red List: terrestrial mollusc assessor),"3069,1996,4722,218"
740729,156067,Tarraconia rolani,RedListAssessors,"Martínez-Ortí, A.","Martínez-Ortí, A.",Alberto Martínez-Ortí (European Red List: terrestrial mollusc assessor),228
740729,156067,Tarraconia rolani,RedListEvaluators,"Ramos, M., Galante, E. & Seddon, M.","Ramos, M., Galante, E. & Seddon, M.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Eduardo Galante (CIBIO-Universidad de Alicante)|Marian Ramos,"2308,2302,218"
740729,156067,Tarraconia rolani,RedListContributors,"Arconada, B.","Arconada, B.",Beatriz Arconada (Europe),80
742776,157118,Theba macandrewiana,RedListAssessors,"","Teixeira, D.",Dinarte Teixeira (European Red List: terrestrial mollusc assessor),4722
742776,157118,Theba macandrewiana,RedListEvaluators,"","Cameron, R., Seddon, M.B. & Groh, K.",Mary Seddon (IUCN SSC Mollusc Specialist Group)|Robert Cameron|Klaus Groh (European terrestrial mollusc assessments),"3069,218,84456210"
754188,157938,Narthecium reverchonii,RedListAssessors,"","Lansdown, R.V.",Richard Lansdown (Aquatic Plant Expert),1243
754188,157938,Narthecium reverchonii,RedListEvaluators,"","Nery, L. & García, N.",Nieves García (IUCN)|Léo Nery (Conservatoire Botanique de la Corse),"87454707,1107"
899963,162144,Anthyllis hystrix,RedListAssessors,"","Fraga i Arquimbau, P.",Pere Fraga i Arquimbau (Institut Menorquí d’Estudis),4768
899963,162144,Anthyllis hystrix,RedListEvaluators,"","Buira, A. & Allen, D.J.",David Allen (IUCN)|Antoni Buira (Real Jardín Botánico de Madrid),"103432426,305"
899963,162144,Anthyllis hystrix,RedListContributors,"","Peraza Zurita, M.D.",María Dolores Peraza Zurita (RLU Volunteer),2646
899963,162144,Anthyllis hystrix,RedListFacilitators,"","García, M.",Mariana García (IUCN Global Species Programme),56211724
951921,162906,Helicocranchia pfefferi,RedListAssessors,"Barratt, I. & Allcock, L.","Barratt, I. & Allcock, L.",Iain Barratt (SRLI)|Louise Allcock (SRLI),"134,202"
951921,162906,Helicocranchia pfefferi,RedListEvaluators,"Vecchione, M., Young, R. & Böhm, M.","Vecchione, M., Young, R. & Böhm, M.",Richard Young (IUCN SSC)|Monika Böhm (SRLI)|Mike Vecchione (Smithsonian Institution),"435,64,118"
952453,162910,Chtenopteryx sicula,RedListAssessors,"Allcock, L. & Young, R.","Allcock, L. & Young, R.",Richard Young (IUCN SSC)|Louise Allcock (SRLI),"202,64"
952453,162910,Chtenopteryx sicula,RedListEvaluators,"Böhm, M. & Vecchione, M.","Böhm, M. & Vecchione, M.",Monika Böhm (SRLI)|Mike Vecchione (Smithsonian Institution),"118,435"
969491,163079,Mastigoteuthis atlantica,RedListAssessors,"Barratt, I. & Allcock, L.","Barratt, I. & Allcock, L.",Iain Barratt (SRLI)|Louise Allcock (SRLI),"134,202"
969491,163079,Mastigoteuthis atlantica,RedListEvaluators,"Vecchione, M., Young, R. & Böhm, M.","Vecchione, M., Young, R. & Böhm, M.",Richard Young (IUCN SSC)|Monika Böhm (SRLI)|Mike Vecchione (Smithsonian Institution),"435,64,118"
969491,163079,Mastigoteuthis atlantica,RedListContributors,"Duncan, C.","Duncan, C.","Clare Duncan (SRLI, Indicators & Assessments Unit, Institute of Zoology, ZSL)",5911
986248,163225,Grimpoteuthis umbellata,RedListAssessors,"Lyons, G. & Allcock, L.","Lyons, G. & Allcock, L.",Gillian Lyons (SRLI)|Louise Allcock (SRLI),"116,202"
986248,163225,Grimpoteuthis umbellata,RedListEvaluators,"Collins, M., Villanueva, R. & Bohm, M.","Collins, M., Villanueva, R. & Bohm, M.","Monika Böhm (SRLI)|Roger Villanueva (??)|Martin Collins (Government of South Georgia and the South Sandwich Islands (GSGSSI), Falkland Islands)","18464146,441,118"
988641,163238,Planctoteuthis levimana,RedListAssessors,"Barratt, I. & Allcock, L.","Barratt, I. & Allcock, L.",Iain Barratt (SRLI)|Louise Allcock (SRLI),"134,202"
988641,163238,Planctoteuthis levimana,RedListEvaluators,"Young, R., Vecchione, M. & Böhm, M.","Young, R., Vecchione, M. & Böhm, M.",Richard Young (IUCN SSC)|Monika Böhm (SRLI)|Mike Vecchione (Smithsonian Institution),"64,435,118"
1077672,165121,Lycopodium madeirense,RedListAssessors,"","Christenhusz, M., Bento Elias, R., Dyer, R., Ivanenko, Y., Rouhan, G., Rumsey, F. & Väre, H.","Fred Rumsey (Natural History Museum, London, UK)|Maarten Christenhusz (European LIFE project - Freelance consultant)|Henry Väre (University of Helsinki, Finland)|Germinal  Rouhan|Yury Ivanenko|Rui Bento Elias|Robert Dyer","83465628,103795561,103795603,103795498,103795283,4004,83465635"
1077672,165121,Lycopodium madeirense,RedListEvaluators,"","García, M. & Schaefer, H.","Hanno Schaefer (Organismic and Evolutionary Biology, Harvard University)|Mariana García (IUCN Global Species Programme)","56211724,4346"
