assessmentId,scientificName,internalTaxonId,doi
503908,Lepus castroviejoi,11797,https://dx.doi.org/10.2305/IUCN.UK.2019-2.RLTS.T11797A503908.en
518549,Plecotus sardus,136503,https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T136503A518549.en
518646,Microtus brachycercus,136536,https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T136536A518646.en
731349,Tudorella ferruginea,155501,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T155501A731349.en
732242,Paludinella sicana,155535,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T155535A732242.en
733138,Pomatias canariensis,155539,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T155539A733138.en
734201,Pomatias palmensis,155663,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T155663A734201.en
734228,Pomatias lanzarotensis,155672,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T155672A734228.en
738029,Pomatias laevigatus,155943,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T155943A738029.en
740729,Tarraconia rolani,156067,https://dx.doi.org/10.2305/IUCN.UK.2012-1.RLTS.T156067A740729.en
742776,Theba macandrewiana,157118,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T157118A742776.en
754188,Narthecium reverchonii,157938,https://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T157938A754188.en
899963,Anthyllis hystrix,162144,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T162144A899963.en
900380,Ophrys melitensis,162229,https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T162229A900380.en
951921,Helicocranchia pfefferi,162906,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T162906A951921.en
952453,Chtenopteryx sicula,162910,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T162910A952453.en
958660,Muusoctopus pseudonymus,162963,https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T162963A958660.en
969491,Mastigoteuthis atlantica,163079,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T163079A969491.en
986248,Grimpoteuthis umbellata,163225,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T163225A986248.en
988641,Planctoteuthis levimana,163238,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T163238A988641.en
1077672,Lycopodium madeirense,165121,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T165121A1077672.en
1079182,Asplenium azoricum,165231,https://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T165231A1079182.en
1316965,Tandonia melanica,170827,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T170827A1316965.en
1316979,Bulgarica iniucunda,170828,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T170828A1316979.en
1316993,Micridyla pinteri,170829,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T170829A1316993.en
1317224,Delima blanda,170831,https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T170831A1317224.en
