assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
518549,136503,Plecotus sardus,1.4,Forest - Temperate,,,Suitable
518549,136503,Plecotus sardus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
518646,136536,Microtus brachycercus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
518646,136536,Microtus brachycercus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
518646,136536,Microtus brachycercus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
518646,136536,Microtus brachycercus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
518646,136536,Microtus brachycercus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
518646,136536,Microtus brachycercus,4.4,Grassland - Temperate,,,Suitable
518646,136536,Microtus brachycercus,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
731349,155501,Tudorella ferruginea,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
731349,155501,Tudorella ferruginea,1.4,Forest - Temperate,Yes,resident,Suitable
732242,155535,Paludinella sicana,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,,,
732242,155535,Paludinella sicana,12.3,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,,,
732242,155535,Paludinella sicana,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",,,
732242,155535,Paludinella sicana,12.1,Marine Intertidal - Rocky Shoreline,,,
732242,155535,Paludinella sicana,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,,,
733138,155539,Pomatias canariensis,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
734201,155663,Pomatias palmensis,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
734228,155672,Pomatias lanzarotensis,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
738029,155943,Pomatias laevigatus,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
740729,156067,Tarraconia rolani,15.9,"Artificial/Aquatic - Canals and Drainage Channels, Ditches",Yes,,Suitable
740729,156067,Tarraconia rolani,5.9,Wetlands (inland) - Freshwater Springs and Oases,Yes,,Suitable
740729,156067,Tarraconia rolani,5.18,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),,,Unknown
742776,157118,Theba macandrewiana,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
754188,157938,Narthecium reverchonii,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,resident,Suitable
754188,157938,Narthecium reverchonii,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,resident,Suitable
899963,162144,Anthyllis hystrix,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
899963,162144,Anthyllis hystrix,12.1,Marine Intertidal - Rocky Shoreline,No,resident,Suitable
951921,162906,Helicocranchia pfefferi,10.1,Marine Oceanic - Epipelagic (0-200m),,,Suitable
951921,162906,Helicocranchia pfefferi,10.3,Marine Oceanic - Bathypelagic (1000-4000m),Yes,,Suitable
951921,162906,Helicocranchia pfefferi,10.2,Marine Oceanic - Mesopelagic (200-1000m),Yes,,Suitable
952453,162910,Chtenopteryx sicula,10.2,Marine Oceanic - Mesopelagic (200-1000m),,,
969491,163079,Mastigoteuthis atlantica,11.1,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",Yes,,Suitable
969491,163079,Mastigoteuthis atlantica,10.1,Marine Oceanic - Epipelagic (0-200m),Yes,,Suitable
969491,163079,Mastigoteuthis atlantica,10.2,Marine Oceanic - Mesopelagic (200-1000m),Yes,,Suitable
986248,163225,Grimpoteuthis umbellata,11.1,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",,,Suitable
986248,163225,Grimpoteuthis umbellata,11.1.1,Hard Substrate,,,Suitable
986248,163225,Grimpoteuthis umbellata,11.1.2,Soft Substrate,,,Suitable
988641,163238,Planctoteuthis levimana,10.1,Marine Oceanic - Epipelagic (0-200m),Yes,,Suitable
988641,163238,Planctoteuthis levimana,10.3,Marine Oceanic - Bathypelagic (1000-4000m),Yes,,Suitable
988641,163238,Planctoteuthis levimana,10.2,Marine Oceanic - Mesopelagic (200-1000m),Yes,,Suitable
1077672,165121,Lycopodium madeirense,3.7,Shrubland - Subtropical/Tropical High Altitude,Yes,resident,Suitable
1077672,165121,Lycopodium madeirense,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1077672,165121,Lycopodium madeirense,1.5,Forest - Subtropical/Tropical Dry,Yes,resident,Suitable
1079182,165231,Asplenium azoricum,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1079182,165231,Asplenium azoricum,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable
1316965,170827,Tandonia melanica,1.4,Forest - Temperate,Yes,resident,Suitable
1316965,170827,Tandonia melanica,3.4,Shrubland - Temperate,Yes,resident,Suitable
1316979,170828,Bulgarica iniucunda,4.4,Grassland - Temperate,Yes,resident,Suitable
1316979,170828,Bulgarica iniucunda,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1316979,170828,Bulgarica iniucunda,1.4,Forest - Temperate,Yes,resident,Suitable
1316993,170829,Micridyla pinteri,3.4,Shrubland - Temperate,Yes,resident,Suitable
1316993,170829,Micridyla pinteri,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317224,170831,Delima blanda,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317238,170832,Delima piceata,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317289,170834,Albinaria confusa,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1317289,170834,Albinaria confusa,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317303,170835,Oxychilus miguelinus,1.4,Forest - Temperate,Yes,resident,Suitable
1317303,170835,Oxychilus miguelinus,3.4,Shrubland - Temperate,Yes,resident,Suitable
1317303,170835,Oxychilus miguelinus,14.3,Artificial/Terrestrial - Plantations,Yes,resident,Suitable
1317303,170835,Oxychilus miguelinus,14.2,Artificial/Terrestrial - Pastureland,Yes,resident,Suitable
1317317,170836,Gyralina ermonae,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Yes,resident,Suitable
1317317,170836,Gyralina ermonae,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1317331,170837,Cryptella alegranzae,3.5,Shrubland - Subtropical/Tropical Dry,Yes,resident,Suitable
1317345,170838,Inchoatia inchoata,1.4,Forest - Temperate,Yes,resident,Suitable
1317345,170838,Inchoatia inchoata,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1317345,170838,Inchoatia inchoata,3.4,Shrubland - Temperate,Yes,resident,Suitable
1317345,170838,Inchoatia inchoata,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317359,170839,Limax polipunctatus,1.4,Forest - Temperate,Yes,resident,Suitable
1317448,170840,Zonites graecus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
1317448,170840,Zonites graecus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,,Suitable
1317462,170841,Charpentieria spezialensis,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317476,170842,Ferussacia valida,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317476,170842,Ferussacia valida,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1317518,170845,Macedonica martae,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317532,170846,Montenegrina apfelbecki,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317682,170850,Charpentieria calcarae,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317696,170851,Bulgarica fritillaria,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317696,170851,Bulgarica fritillaria,1.1,Forest - Boreal,Yes,resident,Suitable
1317710,170852,Arion atripunctatus,1.4,Forest - Temperate,Yes,resident,Suitable
1317766,170856,Atlantica textilis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable
1317780,170857,Limax canapicianus,1.4,Forest - Temperate,Yes,resident,Suitable
1317808,170859,Virpazaria backhuysi,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317836,170861,Macedonica schatzmayri,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317864,170863,Zonites labiosus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,,Suitable
1317864,170863,Zonites labiosus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,,Suitable
1317878,170864,Dilataria marcki,1.4,Forest - Temperate,Yes,resident,Suitable
1317878,170864,Dilataria marcki,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1317906,170866,Carpathica denticulata,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1317920,170867,Albinaria menelaus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1317962,170870,Albinaria vrondamasa,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1317976,170871,Amphorella hypselia,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
1317976,170871,Amphorella hypselia,4.4,Grassland - Temperate,,,Suitable
1318062,170875,Spelaeodiscus hauffeni,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1318076,170876,Retinella osoriensis,3.6,Shrubland - Subtropical/Tropical Moist,Yes,resident,Suitable
1318076,170876,Retinella osoriensis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable
1318090,170877,Aegopis compressus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1318104,170878,Balcanodiscus beroni,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1318104,170878,Balcanodiscus beroni,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318104,170878,Balcanodiscus beroni,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Yes,resident,Suitable
1318118,170879,Punctum azoricum,1.4,Forest - Temperate,Yes,resident,Suitable
1318118,170879,Punctum azoricum,3.4,Shrubland - Temperate,Yes,resident,Suitable
1318118,170879,Punctum azoricum,14.3,Artificial/Terrestrial - Plantations,Yes,resident,Suitable
1318132,170880,Limax aeolianus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1318132,170880,Limax aeolianus,14.4,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable
1318146,170881,Delima subcylindrica,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318160,170882,Albinaria nivea,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318160,170882,Albinaria nivea,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1318188,170884,Carpathica elisabethae,1.4,Forest - Temperate,Yes,,Suitable
1318244,170888,Lehmannia requienii,1.4,Forest - Temperate,Yes,resident,Suitable
1318258,170889,Oxychilus juvenostriatus,1.4,Forest - Temperate,Yes,resident,Suitable
1318258,170889,Oxychilus juvenostriatus,4.4,Grassland - Temperate,Yes,resident,Suitable
1318286,170891,Oxychilus fuscosus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318286,170891,Oxychilus fuscosus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1318286,170891,Oxychilus fuscosus,1.4,Forest - Temperate,Yes,resident,Suitable
1318314,170893,Isabellaria abyssoclista,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
1318328,170894,Boettgeria depauperata,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
1318404,170898,Mediterranea planospiroides,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1318460,170902,Gyralina rempei,7.2,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Yes,resident,Suitable
1318460,170902,Gyralina rempei,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
1318502,170905,Alopia livida,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318516,170906,Alopia subcosticollis,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318572,170910,Tandonia jablanacensis,18,Unknown,,,Suitable
1318586,170911,Vitrea trolli,1.4,Forest - Temperate,Yes,resident,Suitable
1318642,170915,Carinigera dextrorsa,3.4,Shrubland - Temperate,Yes,resident,Suitable
1318642,170915,Carinigera dextrorsa,1.4,Forest - Temperate,Yes,resident,Suitable
1318642,170915,Carinigera dextrorsa,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318670,170917,Balcanodiscus carinatus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
1318670,170917,Balcanodiscus carinatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,resident,Suitable
1318726,170921,Limax lachensis,6,"Rocky areas (eg. inland cliffs, mountain peaks)",No,resident,Suitable
1318726,170921,Limax lachensis,1.4,Forest - Temperate,Yes,resident,Suitable
1318740,170922,Allaegopis jonicus,1.4,Forest - Temperate,Yes,resident,Suitable
1318740,170922,Allaegopis jonicus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
1318782,170926,Delima pfeifferi,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,resident,Suitable
