assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
503908,11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi,,,,"Palacios, 1977",Vulnerable,B1ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
518549,136503,Plecotus sardus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,sardus,,,,"Mucedda, Kiefer, Pidinchedda, &amp; Veith, 2002",Vulnerable,B2ab(iii),3.1,Decreasing,"Global, Europe & Mediterranean"
518646,136536,Microtus brachycercus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,brachycercus,,,,"Lehmann, 1961",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
731349,155501,Tudorella ferruginea,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIIDAE,Tudorella,ferruginea,,,,"(Lamarck, 1822)",Least Concern,,3.1,Stable,Global & Europe
732242,155535,Paludinella sicana,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,ASSIMINEIDAE,Paludinella,sicana,,,,"(Brugnone, 1876)",Least Concern,,3.1,Unknown,Global & Mediterranean
733138,155539,Pomatias canariensis,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIIDAE,Pomatias,canariensis,,,,"(D'Orbigny, 1840)",Data Deficient,,3.1,Unknown,Global & Europe
734201,155663,Pomatias palmensis,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIIDAE,Pomatias,palmensis,,,,"(Wollaston, 1878)",Data Deficient,,3.1,Unknown,Global & Europe
734228,155672,Pomatias lanzarotensis,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIIDAE,Pomatias,lanzarotensis,,,,"(Wollaston, 1878)",Data Deficient,,3.1,Unknown,Global & Europe
738029,155943,Pomatias laevigatus,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,POMATIIDAE,Pomatias,laevigatus,,,,"(Webb &amp; Berthelot, 1833)",Data Deficient,,3.1,Unknown,Global & Europe
740729,156067,Tarraconia rolani,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,HYDROBIIDAE,Tarraconia,rolani,,,,"Ramos, Arconada &amp; Moreno, 2000",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,"Global, Europe & Mediterranean"
742776,157118,Theba macandrewiana,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,HELICIDAE,Theba,macandrewiana,,,,"(L. Pfeiffer, 1853)",Near Threatened,B1a+2a; D2,3.1,Stable,Global & Europe
754188,157938,Narthecium reverchonii,PLANTAE,TRACHEOPHYTA,DIOSCOREALES,LILIOPSIDA,NARTHECIACEAE,Narthecium,reverchonii,,,,Čelak.,Least Concern,,3.1,Unknown,Global & Mediterranean
899963,162144,Anthyllis hystrix,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Anthyllis,hystrix,,,,"(Willk. ex F.Barceló) Cardona, Contandr. &amp; E.Sierra",Least Concern,,3.1,Stable,Global & Europe
900380,162229,Ophrys melitensis,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Ophrys,melitensis,,,,(Salkowski) J et P Devillers-Terschuren,Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
951921,162906,Helicocranchia pfefferi,ANIMALIA,MOLLUSCA,OEGOPSIDA,CEPHALOPODA,CRANCHIIDAE,Helicocranchia,pfefferi,,,,"Massy, 1907",Data Deficient,,3.1,Unknown,Global
