internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
155501,Tudorella ferruginea,"Cyclostoma ferruginea Lamarck, 1822",Cyclostoma,ferruginea,"Lamarck, 1822",,
155539,Pomatias canariensis,"Cyclostoma canariense d'Orbigny, 1840",Cyclostoma,canariense,"d'Orbigny, 1840",,
155539,Pomatias canariensis,"Cyclostomus adjunctus Mousson, 1872",Cyclostomus,adjunctus,"Mousson, 1872",,
155663,Pomatias palmensis,"Cyclostoma canariense var. palmensis Wollaston, 1878",Cyclostoma,canariense,,variety,"Wollaston, 1878"
155672,Pomatias lanzarotensis,"Cyclostoma canariense  var. lanzarotensis Wollaston, 1878",Cyclostoma,canariense ,,variety,"Wollaston, 1878"
155943,Pomatias laevigatus,"Cyclostoma laevigatum Webb & Berthelot, 1833",Cyclostoma,laevigatum,"Webb & Berthelot, 1833",,
157118,Theba macandrewiana,"Helix mac-andrewiana L. Pfeiffer, 1853",Helix,mac-andrewiana,"L. Pfeiffer, 1853",,
157118,Theba macandrewiana,"Theba pisana ssp. ustulata Lowe, 1852",Theba,pisana,,subspecies,"Lowe, 1852"
157118,Theba macandrewiana,"Helix ustulata R.T Lowe, 1852",Helix,ustulata,"R.T Lowe, 1852",,
157118,Theba macandrewiana,"Helix macandrewiana L. Pfeiffer, 1853",Helix,macandrewiana,"L. Pfeiffer, 1853",,
162144,Anthyllis hystrix,Anthyllis hermanniae L. var. hystrix Barceló,Anthyllis,hermanniae,L.,variety,Barceló
162229,Ophrys melitensis,Ophrys sphegodes Mill. subsp. melitensis Salk.,Ophrys,sphegodes,Mill.,subspecies (plantae),Salk.
162910,Chtenopteryx sicula,"Chtenopteryx chuni Pfeffer, 1912",Chtenopteryx,chuni,"Pfeffer, 1912",,
162963,Muusoctopus pseudonymus,"Benthoctopus pseudonymus (Grimpe, 1922)",Benthoctopus,pseudonymus,"(Grimpe, 1922)",,
163079,Mastigoteuthis atlantica,"Mastigoteuthis iselini MacDonald & Clench,1934",Mastigoteuthis,iselini,"MacDonald & Clench,1934",,
165121,Lycopodium madeirense,Diphasiastrum madeirense (J.H.Wilce) Holub,Diphasiastrum,madeirense,(J.H.Wilce) Holub,,
165121,Lycopodium madeirense,Diphasium madeirense (J.H.Wilce) Rothm.,Diphasium,madeirense,(J.H.Wilce) Rothm.,,
165231,Asplenium azoricum,Asplenium trichomanes L. fma. azoricum Milde,Asplenium,trichomanes,L.,forma,Milde
170828,Bulgarica iniucunda,"Laciniaria iniucunda R.A. Brandt, 1962",Laciniaria,iniucunda,"R.A. Brandt, 1962",,
170829,Micridyla pinteri,"Idyla pinteri H. Nordsieck, 1973",Idyla,pinteri,"H. Nordsieck, 1973",,
170831,Delima blanda,"Clausilia blanda Rossmassler, 1836",Clausilia,blanda,"Rossmassler, 1836",,
170832,Delima piceata,"Clausilia adaucta (Porro in A. Villa & G. Villa, 1841)",Clausilia,adaucta,"(Porro in A. Villa & G. Villa, 1841)",,
170832,Delima piceata,"Clausilia piceata Rossmässler, 1836 ssp. gularis (Kuster, 1876)",Clausilia,piceata,"Rossmässler, 1836",subspecies,"(Kuster, 1876)"
170832,Delima piceata,"Clausilia piceata (Rossmässler, 1836)",Clausilia,piceata,"(Rossmässler, 1836)",,
170834,Albinaria confusa,"Clausilia confusa O. Boettger, 1878",Clausilia,confusa,"O. Boettger, 1878",,
170835,Oxychilus miguelinus,"Zonites miguelinus L. Pfeiffer, 1856",Zonites,miguelinus,"L. Pfeiffer, 1856",,
170838,Inchoatia inchoata,"Sericata inchoata (O. Boettger, 1889)",Sericata,inchoata,"(O. Boettger, 1889)",,
170838,Inchoatia inchoata,"Clausilia inchoata O. Boettger, 1889",Clausilia,inchoata,"O. Boettger, 1889",,
170839,Limax polipunctatus,"Limax raripunctatus Pollonera, 1888",Limax,raripunctatus,"Pollonera, 1888",,
170841,Charpentieria spezialensis,Delima (Priodelima) specialensis nomen nudum Ehrmann,Delima (Priodelima),specialensis nomen nudum,Ehrmann,,
170841,Charpentieria spezialensis,"Siciliaria spezialensis H. Nordsieck, 1984",Siciliaria,spezialensis,"H. Nordsieck, 1984",,
170842,Ferussacia valida,"Cionella  valida Mousson, 1972",Cionella ,valida,"Mousson, 1972",,
170850,Charpentieria calcarae,"Clausilia adelinae Kuester, 1860",Clausilia,adelinae,"Kuester, 1860",,
170850,Charpentieria calcarae,Clausilia brugnoneana Pini 1884,Clausilia,brugnoneana,Pini 1884,,
170850,Charpentieria calcarae,"Clausilia calcarae var. nodosa Westerlund, 1892",Clausilia,calcarae var. nodosa,"Westerlund, 1892",,
170850,Charpentieria calcarae,"Charpentieria subsolida Monterosato, 1892",Charpentieria,subsolida,"Monterosato, 1892",,
170851,Bulgarica fritillaria,"Bulgarica curta A.J. Wagner, 1911",Bulgarica,curta,"A.J. Wagner, 1911",,
170856,Atlantica textilis,"Discus textilis (Shuttleworth, 1852)",Discus,textilis,"(Shuttleworth, 1852)",,
170856,Atlantica textilis,"Helix textilis Shuttleworth, 1852",Helix,textilis,"Shuttleworth, 1852",,
170863,Zonites labiosus,"Zonites kumanensis Pfeiffer, 1930",Zonites,kumanensis,"Pfeiffer, 1930",,
170863,Zonites labiosus,"Zonites olympicus Pfeiffer, 1930",Zonites,olympicus,"Pfeiffer, 1930",,
170864,Dilataria marcki,"Clausila marcki L. Pfeiffer, 1869",Clausila,marcki,"L. Pfeiffer, 1869",,
170864,Dilataria marcki,"Dilataria marcki (Zelebor, 1868)",Dilataria,marcki,"(Zelebor, 1868)",,
