internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
11797,Lepus castroviejoi,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Lepus,castroviejoi,,,,,"Palacios, 1977","<span class=""datalabel1""><em>Lepus castroviejoi </em><span class=""datalabel1"">was described relatively recently, being separated from <em>L. granatensis</em>, a split supported by genetic evidence. While the range of <em>L. castroviejoi</em> partially overlaps that of <em>L. granatensis</em> and <em>L. europaeus</em> on the Iberian Peninsula, no hybridization has been detected with these forms. Recent studies have shown that instead, based on ecological, molecular and morphological characteristics, it is most closely related to <em>L. corsicanus</em>; some believe these two are conspecific (Alves <em>et al.</em> 2008, Acevedo <em>et al.</em> 2014, Ballesteros 2018). Additionally, two different occurrences of introgression of mtDNA from <em>L. timidus </em>into <em>L. castroviejoi</em> have been documented – indicating that these two forms have come into contact and hybridized two different times in the past, most recently during the last deglaciation (Melo-Ferreira <em>et al</em>. 2005, 2012; Ballesteros 2018). No subspecies or geographic variation in <em>L. castroviejoi</em> have been described (Flux and Angermann 1990, Hoffmann and Smith 2005, Ballesteros 2018).</span>"
136503,Plecotus sardus,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Plecotus,sardus,,,,,"Mucedda, Kiefer, Pidinchedda, &amp; Veith, 2002","Identified as a new species by genetic analyses, this species combines morphological features of both <i>P. austriacus</i> and <i>P. auritus</i>."
136536,Microtus brachycercus,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Microtus,brachycercus,,,,,"Lehmann, 1961","The validity of this species needs to be confirmed (Wilson and Reeder 2005, G. Amori pers. comm. 2006)."
155501,Tudorella ferruginea,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,POMATIIDAE,Tudorella,ferruginea,,,,,"(Lamarck, 1822)",
155535,Paludinella sicana,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Paludinella,sicana,,,,,"(Brugnone, 1876)",
155539,Pomatias canariensis,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,POMATIIDAE,Pomatias,canariensis,,,,,"(D'Orbigny, 1840)","At present there are five species of this genus recognized from the Canary Islands. There are no species recognized from Fuerteventura, La Gomera, El Hierro, however on each island at least one undescribed species exists.<br/><br/>With the exception of&#160;<em>P. raricostata</em>, which is easily recognizable, the described species are very similar, and by contrast the shells of the undescribed species are quite distinct. In addition on each island the animal has a different colour.<br/><br/>The taxonomy for these species is confused and the group is in urgent need of a major revision, however, the ability to undertake such a revision is severely limited by a lack of living material. A further problem is that the shell is thick and is able to withstand erosion, hence dead shells may represent a long time period, even centuries under certain conditions."
155663,Pomatias palmensis,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,POMATIIDAE,Pomatias,palmensis,,,,,"(Wollaston, 1878)","At present there are five species of this genus recognized from the Canary Islands. There are no species recognized from Fuerteventura, La Gomera, El Hierro, however on each island at least one undescribed species exists.<br/><br/>With the exception of&#160;<em>P. raricostata</em>, which is easily recognizable, the described species are very similar, and by contrast the shells of the undescribed species are quite distinct. In addition on each island the animal has a different colour.<br/><br/>The taxonomy for these species is confused and the group is in urgent need of a major revision, however, the ability to undertake such a revision is severely limited by a lack of living material. A further problem is that the shell is thick and is able to withstand erosion, hence dead shells may represent a long time period, even centuries under certain conditions."
155672,Pomatias lanzarotensis,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,POMATIIDAE,Pomatias,lanzarotensis,,,,,"(Wollaston, 1878)","At present there are five species of this genus recognized from the Canary Islands. There are no species recognized from Fuerteventura, La Gomera, El Hierro, however on each island at least one undescribed species exists.<br/><br/>With the exception of&#160;<em>P. raricostata</em>, which is easily recognizable, the described species are very similar, and by contrast the shells of the undescribed species are quite distinct. In addition on each island the animal has a different colour.<br/><br/>The taxonomy for these species is confused and the group is in urgent need of a major revision, however, the ability to undertake such a revision is severely limited by a lack of living material. A further problem is that the shell is thick and is able to withstand erosion, hence dead shells may represent a long time period, even centuries under certain conditions."
155943,Pomatias laevigatus,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,POMATIIDAE,Pomatias,laevigatus,,,,,"(Webb &amp; Berthelot, 1833)","At present there are five species of this genus recognized from the Canary Islands. There are no species recognized from Fuerteventura, La Gomera, El Hierro, however, at least one undescribed species exists on each island.<br/><br/>With the exception of&#160;<em>P. raricostata</em>, which is easily recognizable, the described species are very similar, and by contrast the shells of the undescribed species are quite distinct. In addition on each island the animal has a different colour.<br/><br/>The taxonomy for these species is confused and the group is in urgent need of a major revision, however, the ability to undertake such a revision is severely limited by a lack of living material. A further problem is that the shell is thick and is able to withstand erosion, hence dead shells may represent a long time period, even centuries under certain conditions."
156067,Tarraconia rolani,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Tarraconia,rolani,,,,,"Ramos, Arconada &amp; Moreno, 2000",
157118,Theba macandrewiana,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICIDAE,Theba,macandrewiana,,,,,"(L. Pfeiffer, 1853)",
157938,Narthecium reverchonii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,DIOSCOREALES,NARTHECIACEAE,Narthecium,reverchonii,,,,,Čelak.,
162144,Anthyllis hystrix,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Anthyllis,hystrix,,,,,"(Willk. ex F.Barceló) Cardona, Contandr. &amp; E.Sierra",
