assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
518549,136503,Plecotus sardus,2.2.3,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,5.3.5,Motivation Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,7.3,Other ecosystem modifications,1.2,Ecosystem degradation,,,,,,,Ongoing,
518549,136503,Plecotus sardus,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Ongoing,
731349,155501,Tudorella ferruginea,1.1,Housing & urban areas,1.2|1.3|2.1|2.2,Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
731349,155501,Tudorella ferruginea,1.3,Tourism & recreation areas,1.2|1.3|2.1|2.2,Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
731349,155501,Tudorella ferruginea,7.1.1,Increase in fire frequency/intensity,1.2|1.3|2.1|2.2,Ecosystem degradation|Indirect ecosystem effects|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
731349,155501,Tudorella ferruginea,11.2,Droughts,1.3|2.2,Indirect ecosystem effects|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
731349,155501,Tudorella ferruginea,11.3,Temperature extremes,1.3|2.2,Indirect ecosystem effects|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
731349,155501,Tudorella ferruginea,5.1.1,Intentional use (species is the target),1.3|2.1|2.2,Indirect ecosystem effects|Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
732242,155535,Paludinella sicana,9.2.3,Type Unknown/Unrecorded,"","",,,,,,,,
732242,155535,Paludinella sicana,9.2.1,Oil spills,"","",,,,,,,,
733138,155539,Pomatias canariensis,2.1.1,Shifting agriculture,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
733138,155539,Pomatias canariensis,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
