assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
3368483,12649,Macrothele cretica,Data Deficient,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Terrestrial,,Palearctic,,false,false,Global
4460769,14794,Niphargobates lefkodemonaki,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Freshwater (=Inland waters),,Palearctic,,false,false,Global
5102180,157591,Brachygonus meraculus,Near Threatened,,2010,2009-06-05 00:00:00 UTC,3.1,English,"<p>



</p><p>



</p><p></p>European regional assessment: listed as Near Threatened because its Extent of Occurrence
is probably less than 20,000 km², 

and it occurs in several small, widely separated
sub-populations, thus making the species close to qualifying for Vulnerable.

<p>



</p>

<p></p>

EU 27 regional assessment: 



listed as Near Threatened because its Extent of Occurrence
is probably less than 20,000 km², 

and it occurs in several small, widely separated
sub-populations, thus making the species close to qualifying for Vulnerable.

<p>



</p>

<p></p>

<p></p>",This is an obligate saproxylic species. There is little information about the ecology of this species. It lives in deciduous forests.,"<p>



</p><p>The main overall threat is likely to be degradation or loss
of habitat quality, involving structural changes in the tree populations arising
from changing land use – affecting age structures and tree density.
Exploitation from forestry is often a key immediate issue, but equally damaging
can be long-term changes towards canopy closure and loss of ancient trees as a
result of non- or minimum-intervention management systems which all too often
exclude grazing by large herbivores. Fragmentation and increasing isolation of
beetle populations are also key factors. The decline of forest is a major threat to this species.&#160;</p><p></p>","<p>There is little information
available on the abundance of this species. <br/></p>",Unknown,"This species is known only from Greece. It has been recorded from Aghios Nikolaos, Karpenissi, Varetadha, Amphilochia, Mount Ossa, Larissa but it is possibly present also elsewhere. One specimen has been collected from Mount Taygetos and four from Peloponnesus Peninsula (P. Cate collection, Vienna).","Saproxylic Coleoptera tend to be popular with beetle collectors although trade is rarely an issue, the only exceptions being a few larger species of more dramatic form or colour.",Terrestrial,"<p>There are no direct conservation measures in place for this
species. The species occurs in one protected area. Additional
studies are needed into the distribution, abundance, general
ecology and threats to this little-known species, especially into its conservation management needs.</p>

<p></p>",Palearctic,,false,false,Global & Europe
6983441,173273,Polyommatus eleniae,Data Deficient,,2010,2009-01-29 00:00:00 UTC,3.1,English,There is no information on the trend or population size and insufficient information on the distribution of this species. Therefore it is listed as Data Deficient.,"This species occurs in low-intensity grazed or recently abandoned clearings and bushy grasslands with sparse trees. The main host plants are <span style=""font-style: italic;"">Onobrychis </span>spp., and probably <span style=""font-style: italic;"">O. ebenoides </span>(Lafranchis <span style=""font-style: italic;"">et al</span>., 2005). Detailed habitat descriptions are not available.","This species is a rare endemic, and not much is known about threats. The species is probably sensitive to overgrazing by sheep (Lafranchis <span style=""font-style: italic;"">et al</span>., 2005).","A local species, restricted to (semi-) natural areas.",Unknown,"This species is only known from Mt. Falakró and its immediate surroundings in the northwest of Greece (Coutsis & De Prins, 2005). This is a European endemic species.","All butterflies are collected to some extent, but only for the extremely rare species it can be a problem and the trade in Europe is generally at a low level compared to other continents. There is no specific trade information for this species.",Terrestrial,"On Mt. Falakró (northeastern Greece), the number of sheep has dramatically decreased since 2000 and been replaced with cattle. This has led to the expansion of <span style=""font-style: italic;"">Onobrychis </span>spp. in the extensive sub-alpine grasslands, which could be favourable for this butterfly species. However, much more research is needed on the distribution and ecology of this butterfly. Since this species has a restricted global range, its distribution and trend should be closely monitored, for example by a Butterfly Monitoring Scheme.",Palearctic,,false,false,Global & Europe
9237349,20938,Strongylognathus silvestrii,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Terrestrial,,Palearctic,,false,false,Global
10360341,40730,Epimyrma adlerzi,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Terrestrial,,Palearctic,,false,false,Global
13309447,13304723,Colletes creticus,Near Threatened,,2013,2013-07-11 00:00:00 UTC,3.1,English,"Listed as Near Threatened because its extent of occurrence (EOO) is 7,185 km², its area of occupancy (AOO) is 136 km² and there seems to be a continuous decline in the likely habitats of the species (open grasslands and Mediterranean shrublands) due to touristic developments and agriculture but populations are likely to be stable, thus making this species close to qualifying for Vulnerable under Criterion B.","The habitats used by <em>Colletes creticus </em>are largely unknown but likely are open vegetation types (e.g., Mediterranean shrub lands, grasslands). The species is a flower visitor without a preference for a certain group of plants (it is polylectic, taking pollen from a wide variety of plants) (Müller and Kuhlmann 2008).","Likely threats are the anthropogenic loss (e.g. agriculture, habitat destruction, change of land use, touristic developments) of habitat (e.g. open vegetation types with bare soil), nesting sites and host plants.","The populations of <em>Colletes creticus </em>are likely to be small and fragmented given the extent of agricultural land transformation and  touristic developments in large parts of Crete, but  little information is currently available. The population trend of the species is unknown.",Unknown,"<em>Colletes creticus </em>is endemic to the island of Crete (Kuhlmann <em>et al</em>. 2012). The extent of occurrence (EOO) in Europe and the EU 27 is 7,185 km² and the area of occupancy (AOO) is 136 km².",This species is not utilized.,Terrestrial,"<p></p><p>This species is not listed in any National Red List or Red Data Book, and is not the subject of any targeted conservation action.&#160;It is recommended to conserve suitable habitats (e.g. open vegetation types with bare soil), nesting sites and the host plants of this species.</p>    <p>Further research is required to establish the current status of the species throughout its range and to identify the existing threats.</p>    It is not known if the species occurs in any protected area.",Palearctic,,false,false,Global & Europe
13309607,13307748,Colletes standfussi,Data Deficient,,2013,2013-07-11 00:00:00 UTC,3.1,English,"Listed as Data Deficient because this species has been recently described and too little is known about its taxonomy, distribution and ecology.","The habitats used by <em>Colletes standfussi </em>are unknown but likely are open vegetation types (e.g. Mediterranean shrub lands, grasslands). No information is available on flower visitation (Müller and Kuhlmann 2008).","Likely threats are the anthropogenic (e.g. agriculture, habitat destruction, change of land use) loss of habitat (e.g. open vegetation types with bare soil), nesting sites and host plants.",Nothing is known about the population or population trends of <em>Colletes standfussi</em>.,Unknown,"<em>Colletes standfussi</em> has been described recently and is only known from a single specimen from the type locality in Greece (Kuhlmann 2003, Kuhlmann <em>et al</em>. 2012). The extent of occurrence (EOO) is 4 km² and the area of occupancy (AOO) is 4 km².",This species is not utilized.,Terrestrial,"<p></p><p>This species is not listed in any National Red List or Red Data Book, and is not the subject of any targeted conservation action.&#160;It is recommended to conserve suitable habitats (e.g. open vegetation types with bare soil), nesting sites and the host plants of this species.</p>      <p>Further research is required to establish the current status of the species throughout its range and to identify the existing threats and trends. <br/></p>  It is not known if the species occurs in any protected area.",Palearctic,,false,false,Global & Europe
13318550,13317994,Panurginus schwarzi,Data Deficient,,2013,2012-09-24 00:00:00 UTC,3.1,English,"<p>Listed as Data Deficient in view of the absence of information on its status, population size and trend, ecological requirements and threats.</p>",<p>There is no information about the habitat and ecology for this species.</p>,The threats to this species are unknown.,<p>Populations are small but there is no information available on the population trend of this species.</p>,Unknown,<em>Panurginus schwarzi</em>&#160;is recorded from two localities in Greece. The extent of occurrence (EOO) and the area of occupancy (AOO) are 4 km²<sup></sup>.,This species is not traded or exploited commercially.,Terrestrial,"<p>Additional studies are needed into taxonomy, abundance, trends, general ecology and threats to this species.</p>",Palearctic,,false,false,Global & Europe
13321552,13320615,Ceratina teunisseni,Data Deficient,,2013,2012-05-22 00:00:00 UTC,3.1,English,Listed as Data Deficient in view of the absence of information on the population size and threats to this species.,"<span style=""font-style: italic;"">Ceratina teunisseni </span><span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span><span><span class=""""><span><span class=""hps"">nests<span class=""hps""> <span class=""hps"">in dry stems <span class=""hps"">of <span style=""font-style: italic;"">Rubus</span> <span class=""hps""><span class=""hps atn""><span>and visits flowers of <span style=""font-style: italic;"">Echium italicum</span> L. (Boraginaceae) and <span style=""font-style: italic;"">Satureia thymbra</span> L. (Lamiaceae)<span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span><span><span class=""""><span><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""> <span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span><span><span class=""""><span><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span><span><span class=""""><span><span class=""hps""><span class=""hps""><span class=""hps"">(<span class=""hps""><span class=""hps atn""><span>Terzo 1997, 2000<span>)<span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span><span><span class=""""><span><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps atn""><span><span>. <span class=""hps""><span class=""hps"">So, within its limited distribution range, it can live in any place where <span style=""font-style: italic;"">Rubus</span>      can be found such as in natural habitats with   Mediterranean-type      shrubby vegetation and also in rural and   suburban habitats.</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span>","<span id=""result_box"" class="""" lang=""en""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps""><span class=""hps"">The threats to this species are unknown.<br/><span id=""result_box"" class="""" lang=""en""><span class=""hps"">Traditional human activities <span class=""hps atn"">(<span class="""">extensive agriculture<span class="""">, <span class=""hps"">construction and maintenance of <span class=""hps"">roadsides <span class=""hps"">and paths<span class="""">) <span class=""hps"">are rather favourable <span class=""hps"">to the species <span class=""hps"">because they <span class=""hps"">are usually followed by <span class=""hps"">the appearance <span class=""hps"">of <span class=""hps"">brambles (<em>Rubus</em>) and their <span class=""hps"">cutting&#160;<span class=""hps"">offers <span class=""hps alt-edited"">many <span class=""hps"">possible nesting sites<span class="""">. On the other hand, intensive agriculture and roadside clearing can reduce the nesting possibilities.</span></span></span></span></span></span></span></span></span></span></span></span></span></span>","Because the species has been recently described (Terzo 1997), there is not enough data to estimate the current population size and trend.",Unknown,"<span id=""result_box"" class="""" lang=""en""><em>Ceratina teunisseni</em> <span class=""hps"">is endemic to <span class=""hps"">Crete<span>. The species<span class=""hps""> <span class=""hps"">seems to live <span class=""hps"">everywhere in the island <span class=""hps"">up to<span class=""hps""> <span class=""hps"">1,250 <span class=""hps"">m altitude. The extent of occurrence (EOO) is 7,270 km² and the area of occupancy (AOO) is 100 km².</span></span></span></span></span>",The species is not utilized.,Terrestrial,There are no direct conservation measures in place for this species. It is not known if the species is present within any protected areas. Further studies are needed into the abundance and threats of this species.,Palearctic,,false,false,Global & Europe
