assessmentId,internalTaxonId,scientificName,code,name,note
5102180,157591,Brachygonus meraculus,2.1,Site/area management,
6983441,173273,Polyommatus eleniae,4.3,Awareness & communications,
6983441,173273,Polyommatus eleniae,2.1,Site/area management,
6983441,173273,Polyommatus eleniae,1.1,Site/area protection,
13309447,13304723,Colletes creticus,1.2,Resource & habitat protection,""
13309447,13304723,Colletes creticus,1.1,Site/area protection,""
13309607,13307748,Colletes standfussi,1.2,Resource & habitat protection,""
13309607,13307748,Colletes standfussi,1.1,Site/area protection,""
17046366,17046314,Dolichopoda hussoni,1.2,Resource & habitat protection,""
17891947,16084525,Oropodisma chelmosi,2.3,Habitat & natural process restoration,""
17891947,16084525,Oropodisma chelmosi,2.1,Site/area management,""
18053580,16084523,Oropodisma willemsei,2.1,Site/area management,""
18053580,16084523,Oropodisma willemsei,1.2,Resource & habitat protection,""
18053580,16084523,Oropodisma willemsei,1.1,Site/area protection,""
18407506,16084420,Oropodisma karavica,2.1,Site/area management,""
42463679,42463645,Nomada cretensis,1.2,Resource & habitat protection,""
43114098,19198726,Andrena grossella,1.1,Site/area protection,""
43959301,157814,Anaglyptus luteofasciatus,2.1,Site/area management,
43959301,157814,Anaglyptus luteofasciatus,5.1.3,Sub-national level,
43959900,157893,Anaglyptus praecellens,2.1,Site/area management,
43959900,157893,Anaglyptus praecellens,5.1.2,National level,
43996816,157864,Isotomus jarmilae,2.1,Site/area management,
44113885,157668,Ampedus karneri,2.1,Site/area management,
45462578,45462525,Eupholidoptera leucasi,2.1,Site/area management,""
45463215,45463212,Eupholidoptera forcipata,2.1,Site/area management,""
45463226,45463223,Eupholidoptera icariensis,2.1,Site/area management,""
45463236,45463233,Eupholidoptera jacquelinae,2.1,Site/area management,""
45463288,45463281,Eupholidoptera spinigera,2.1,Site/area management,""
45463288,45463281,Eupholidoptera spinigera,1.2,Resource & habitat protection,""
45463288,45463281,Eupholidoptera spinigera,1.1,Site/area protection,""
45463334,45463331,Eupholidoptera annamariae,2.1,Site/area management,""
45463334,45463331,Eupholidoptera annamariae,1.1,Site/area protection,""
45463431,45463340,Eupholidoptera astyla,2.1,Site/area management,""
45463466,45463463,Eupholidoptera feri,2.1,Site/area management,""
45463466,45463463,Eupholidoptera feri,1.2,Resource & habitat protection,""
45463505,45463502,Eupholidoptera mariannae,2.1,Site/area management,""
45463505,45463502,Eupholidoptera mariannae,1.2,Resource & habitat protection,""
45463505,45463502,Eupholidoptera mariannae,1.1,Site/area protection,""
45466681,45466678,Poecilimon pindos,2.1,Site/area management,""
45811388,157538,Pseudosphegesthes bergeri,2.1,Site/area management,
45811388,157538,Pseudosphegesthes bergeri,5.1.3,Sub-national level,
45811388,157538,Pseudosphegesthes bergeri,1.1,Site/area protection,
45823371,157798,Stenopterus creticus,2.1,Site/area management,
45823371,157798,Stenopterus creticus,5.1.3,Sub-national level,
45826874,157771,Trichoferus bergeri,2.1,Site/area management,
45826874,157771,Trichoferus bergeri,1.1,Site/area protection,
47350001,47262019,Ampedus cretensis,1.2,Resource & habitat protection,""
47708524,17182027,Poecilimon ikariensis,2.1,Site/area management,""
48031475,47943578,Agoliinus pittinoi,2.1,Site/area management,""
48031475,47943578,Agoliinus pittinoi,1.2,Resource & habitat protection,""
48031890,47944402,Nobius rhodiensis,2.1,Site/area management,""
48031890,47944402,Nobius rhodiensis,1.2,Resource & habitat protection,""
48032062,47945322,Paracoptochirus vignai,2.1,Site/area management,""
48032062,47945322,Paracoptochirus vignai,1.2,Resource & habitat protection,""
69638033,69637992,Chorthippus ferdinandi,2.1,Site/area management,""
69638033,69637992,Chorthippus ferdinandi,1.2,Resource & habitat protection,""
69668556,69668544,Ovaliptila kinzelbachi,1.2,Resource & habitat protection,""
69668556,69668544,Ovaliptila kinzelbachi,1.1,Site/area protection,""
69668802,69668788,Ovaliptila nana,2.1,Site/area management,""
70432562,14870997,Chorthippus lacustris,2.3,Habitat & natural process restoration,""
70432562,14870997,Chorthippus lacustris,2.1,Site/area management,""
70432562,14870997,Chorthippus lacustris,5.1.2,National level,""
70432562,14870997,Chorthippus lacustris,5.1.1,International level,""
70432562,14870997,Chorthippus lacustris,1.1,Site/area protection,""
70565847,16084479,Chorthippus pulloides,2.1,Site/area management,""
70566490,16084417,Oropodisma kyllinii,2.1,Site/area management,""
70566509,16084623,Oropodisma lagrecai,2.1,Site/area management,""
70566636,16084516,Oropodisma parnassica,2.1,Site/area management,""
70566653,16084561,Oropodisma taygetosi,2.1,Site/area management,""
70566762,16084584,Oropodisma tymphrestosi,2.1,Site/area management,""
70568039,44698010,Glyphanus obtusus,1.1,Site/area protection,""
