assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
3368483,12649,Macrothele cretica,GR,Greece,Extant,Native,,
4460769,14794,Niphargobates lefkodemonaki,GR,Greece,Extant,Native,,
5102180,157591,Brachygonus meraculus,GR,Greece,Extant,Native,"[""Resident""]",
6983441,173273,Polyommatus eleniae,GR,Greece,Extant,Native,"[""Resident""]",
9237349,20938,Strongylognathus silvestrii,GR,Greece,Extant,Native,,
10360341,40730,Epimyrma adlerzi,GR,Greece,Extant,Native,,
13309447,13304723,Colletes creticus,GR,Greece,Extant,Native,"[""Resident""]",
13309607,13307748,Colletes standfussi,GR,Greece,Extant,Native,"[""Resident""]",
13318550,13317994,Panurginus schwarzi,GR,Greece,Extant,Native,"[""Resident""]",
13321552,13320615,Ceratina teunisseni,GR,Greece,Extant,Native,"[""Resident""]",
13340046,13338039,Halictus holomelaenus,GR,Greece,Extant,Native,"[""Resident""]",
13340050,13338042,Seladonia inpilosa,GR,Greece,Extant,Native,"[""Resident""]",
17046366,17046314,Dolichopoda hussoni,GR,Greece,Extant,Native,"[""Resident""]",Yes
17891947,16084525,Oropodisma chelmosi,GR,Greece,Extant,Native,"[""Resident""]",
18053580,16084523,Oropodisma willemsei,GR,Greece,Extant,Native,"[""Resident""]",
18407506,16084420,Oropodisma karavica,GR,Greece,Extant,Native,"[""Resident""]",Yes
19201320,19198562,Andrena olympica,GR,Greece,Extant,Native,"[""Resident""]",
19201795,19198587,Andrena standfussorum,GR,Greece,Extant,Native,"[""Resident""]",
19201930,19199004,Andrena trikalensis,GR,Greece,Extant,Native,"[""Resident""]",
19881752,19199804,Hylaeus hellenicus,GR,Greece,Extant,Native,"[""Resident""]",
19881954,19199635,Hylaeus koenigsmanni,GR,Greece,Extant,Native,"[""Resident""]",
19882034,19199942,Hylaeus milossus,GR,Greece,Extant,Native,"[""Resident""]",
21145860,19198984,Epeolus sigillatus,GR,Greece,Extant,Native,"[""Resident""]",
21152247,19199770,Chelostoma hellenicum,GR,Greece,Extant,Native,"[""Resident""]",
21152252,19198822,Chelostoma laticaudum,GR,Greece,Extant,Native,"[""Resident""]",
21153573,19199179,Hoplitis cretaea,GR,Greece,Extant,Native,"[""Resident""]",
21153678,19198606,Hoplitis fabrei,GR,Greece,Extant,Native,"[""Resident""]",
21153856,19199563,Hoplitis graeca,GR,Greece,Extant,Native,"[""Resident""]",
21154657,19198429,Hoplitis parnesica,GR,Greece,Extant,Native,"[""Resident""]",
21154906,19199889,Osmia ariadne,GR,Greece,Extant,Native,"[""Resident""]",
21156032,19199847,Osmia mirhiji,GR,Greece,Extant,Native,"[""Resident""]",
21156038,19199916,Osmia moreensis,GR,Greece,Extant,Native,"[""Resident""]",
21461772,19198560,Nomada gruenwaldti,GR,Greece,Extant,Native,"[""Resident""]",
21462412,19199805,Nomada priesneri,GR,Greece,Extant,Native,"[""Resident""]",
21462605,19199755,Nomada standfussi,GR,Greece,Extant,Native,"[""Resident""]",
42461359,42428291,Atyaephyra strymonensis,GR,Greece,Extant,Native,"[""Resident""]",
42461459,42428293,Atyaephyra thyamisensis,GR,Greece,Extant,Native,"[""Resident""]",
