assessmentId,internalTaxonId,scientificName,type,text,full,value,order
3368483,12649,Macrothele cretica,RedListAssessors,World Conservation Monitoring Centre,World Conservation Monitoring Centre,,""
4460769,14794,Niphargobates lefkodemonaki,RedListAssessors,"Sket, B.","Sket, B.",,""
5102180,157591,Brachygonus meraculus,RedListAssessors,"Nieto, A., Petrakis, P., Schmidl, J. & Pettersson, R.","Nieto, A., Petrakis, P., Schmidl, J. & Pettersson, R.",,0
5102180,157591,Brachygonus meraculus,RedListEvaluators,"","Alexander, K. & Nieto, A.",Keith Alexander (Ancient Tree Forum)|Ana Nieto (IUCN),"186,212"
6983441,173273,Polyommatus eleniae,RedListAssessors,"van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J.","van Swaay, C., Wynhoff, I., Verovnik, R., Wiemers, M., López Munguira, M., Maes, D., Sasic, M., Verstrael, T., Warren, M. & Settele, J.",,0
6983441,173273,Polyommatus eleniae,RedListEvaluators,"Lewis, O. (Butterfly RLA) & Cuttelod, A. (IUCN Red List Unit)","Lewis, O. (Butterfly RLA) & Cuttelod, A. (IUCN Red List Unit)",,0
9237349,20938,Strongylognathus silvestrii,RedListAssessors,Social Insects Specialist Group,Social Insects Specialist Group,,""
10360341,40730,Epimyrma adlerzi,RedListAssessors,Social Insects Specialist Group,Social Insects Specialist Group,,""
13309447,13304723,Colletes creticus,RedListAssessors,"Kuhlmann, M.","Kuhlmann, M.","Michael Kuhlmann (Natural History Museum, London)",16511696
13309447,13304723,Colletes creticus,RedListEvaluators,"Miller, R.M., Nieto, A. & Roberts, S.","Miller, R.M., Nieto, A. & Roberts, S.","Ana Nieto (IUCN)|Rebecca Miller (IUCN Red List of Ecosystems)|Stuart Roberts (Bees, Wasps & Ants Recording Society)","423,212,13152896"
13309607,13307748,Colletes standfussi,RedListAssessors,"Kuhlmann, M.","Kuhlmann, M.","Michael Kuhlmann (Natural History Museum, London)",16511696
