assessmentId,scientificName,internalTaxonId,doi
3368483,Macrothele cretica,12649,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T12649A3368483.en
4460769,Niphargobates lefkodemonaki,14794,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T14794A4460769.en
5102180,Brachygonus meraculus,157591,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157591A5102180.en
6983441,Polyommatus eleniae,173273,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173273A6983441.en
9237349,Strongylognathus silvestrii,20938,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T20938A9237349.en
10360341,Epimyrma adlerzi,40730,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T40730A10360341.en
13309447,Colletes creticus,13304723,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T13304723A13309447.en
13309607,Colletes standfussi,13307748,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T13307748A13309607.en
13318550,Panurginus schwarzi,13317994,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T13317994A13318550.en
13321552,Ceratina teunisseni,13320615,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T13320615A13321552.en
13340046,Halictus holomelaenus,13338039,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T13338039A13340046.en
13340050,Seladonia inpilosa,13338042,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T13338042A13340050.en
17046366,Dolichopoda hussoni,17046314,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T17046314A17046366.en
17891947,Oropodisma chelmosi,16084525,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084525A17891947.en
18053580,Oropodisma willemsei,16084523,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084523A18053580.en
18407506,Oropodisma karavica,16084420,https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T16084420A18407506.en
19201320,Andrena olympica,19198562,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T19198562A19201320.en
19201795,Andrena standfussorum,19198587,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T19198587A19201795.en
19201930,Andrena trikalensis,19199004,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199004A19201930.en
19881752,Hylaeus hellenicus,19199804,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T19199804A19881752.en
19881954,Hylaeus koenigsmanni,19199635,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T19199635A19881954.en
19882034,Hylaeus milossus,19199942,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T19199942A19882034.en
21145860,Epeolus sigillatus,19198984,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T19198984A21145860.en
21152247,Chelostoma hellenicum,19199770,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199770A21152247.en
21152252,Chelostoma laticaudum,19198822,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19198822A21152252.en
21153573,Hoplitis cretaea,19199179,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199179A21153573.en
21153678,Hoplitis fabrei,19198606,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19198606A21153678.en
21153856,Hoplitis graeca,19199563,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199563A21153856.en
21154657,Hoplitis parnesica,19198429,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19198429A21154657.en
21154906,Osmia ariadne,19199889,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199889A21154906.en
21156032,Osmia mirhiji,19199847,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199847A21156032.en
21156038,Osmia moreensis,19199916,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T19199916A21156038.en
21461772,Nomada gruenwaldti,19198560,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T19198560A21461772.en
21462412,Nomada priesneri,19199805,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T19199805A21462412.en
21462605,Nomada standfussi,19199755,https://dx.doi.org/10.2305/IUCN.UK.2014-2.RLTS.T19199755A21462605.en
42461359,Atyaephyra strymonensis,42428291,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42428291A42461359.en
