assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
5102180,157591,Brachygonus meraculus,1.4,Forest - Temperate,,,Suitable
6983441,173273,Polyommatus eleniae,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
6983441,173273,Polyommatus eleniae,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
13309447,13304723,Colletes creticus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
13309607,13307748,Colletes standfussi,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
13318550,13317994,Panurginus schwarzi,18,Unknown,,,
13321552,13320615,Ceratina teunisseni,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,,Suitable
13321552,13320615,Ceratina teunisseni,14.4,Artificial/Terrestrial - Rural Gardens,No,,Suitable
13340046,13338039,Halictus holomelaenus,18,Unknown,,,
13340050,13338042,Seladonia inpilosa,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Yes,,Suitable
17046366,17046314,Dolichopoda hussoni,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,Yes,resident,Suitable
17891947,16084525,Oropodisma chelmosi,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,resident,Marginal
17891947,16084525,Oropodisma chelmosi,4.4,Grassland - Temperate,Yes,resident,Suitable
18053580,16084523,Oropodisma willemsei,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,resident,Marginal
18053580,16084523,Oropodisma willemsei,4.4,Grassland - Temperate,Yes,resident,Suitable
18407506,16084420,Oropodisma karavica,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,resident,Marginal
18407506,16084420,Oropodisma karavica,4.4,Grassland - Temperate,Yes,resident,Suitable
19201320,19198562,Andrena olympica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Marginal
19201795,19198587,Andrena standfussorum,4.4,Grassland - Temperate,Yes,resident,Suitable
19201795,19198587,Andrena standfussorum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
19201930,19199004,Andrena trikalensis,18,Unknown,,resident,Suitable
19881752,19199804,Hylaeus hellenicus,18,Unknown,,,
19881954,19199635,Hylaeus koenigsmanni,18,Unknown,,,
19882034,19199942,Hylaeus milossus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
21145860,19198984,Epeolus sigillatus,18,Unknown,,,Suitable
21152247,19199770,Chelostoma hellenicum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21152252,19198822,Chelostoma laticaudum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21153573,19199179,Hoplitis cretaea,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21153678,19198606,Hoplitis fabrei,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21153856,19199563,Hoplitis graeca,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21154657,19198429,Hoplitis parnesica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21154906,19199889,Osmia ariadne,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21156032,19199847,Osmia mirhiji,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21156038,19199916,Osmia moreensis,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
21461772,19198560,Nomada gruenwaldti,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
21461772,19198560,Nomada gruenwaldti,17,Other,Yes,resident,Suitable
21462412,19199805,Nomada priesneri,4.4,Grassland - Temperate,Yes,resident,Suitable
21462605,19199755,Nomada standfussi,18,Unknown,,resident,Suitable
42461359,42428291,Atyaephyra strymonensis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,resident,Suitable
42461459,42428293,Atyaephyra thyamisensis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,resident,Suitable
42463679,42463645,Nomada cretensis,14.4,Artificial/Terrestrial - Rural Gardens,Yes,resident,Suitable
42463679,42463645,Nomada cretensis,14.3,Artificial/Terrestrial - Plantations,Yes,resident,Suitable
43114098,19198726,Andrena grossella,3.4,Shrubland - Temperate,Yes,resident,Suitable
43364385,19199403,Lasioglossum leucomontanum,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43365979,19199243,Lasioglossum ariadne,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43365979,19199243,Lasioglossum ariadne,4.4,Grassland - Temperate,Yes,resident,Suitable
43509253,19199653,Andrena chelma,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43509688,21138032,Andrena ebmerella,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43509986,19199759,Andrena helenica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43510530,19198891,Andrena muscaria,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
43510570,19199467,Andrena neovirida,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Suitable
43959301,157814,Anaglyptus luteofasciatus,1.4,Forest - Temperate,Yes,resident,Suitable
43959900,157893,Anaglyptus praecellens,1.4,Forest - Temperate,Yes,resident,Suitable
43996816,157864,Isotomus jarmilae,1.4,Forest - Temperate,Yes,resident,Suitable
44113885,157668,Ampedus karneri,1.4,Forest - Temperate,,,Suitable
44114151,157643,Ampedus macedonicus,18,Unknown,,,
44114577,157495,Ampedus minos,18,Unknown,,,
44149210,157759,Procraerus cretensis,18,Unknown,,unknown,Unknown
45462306,45462302,Eupholidoptera cephalonica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45462306,45462302,Eupholidoptera cephalonica,14.4,Artificial/Terrestrial - Rural Gardens,No,resident,Suitable
45462306,45462302,Eupholidoptera cephalonica,4.4,Grassland - Temperate,No,resident,Suitable
45462379,45462354,Eupholidoptera epirotica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45462379,45462354,Eupholidoptera epirotica,3.4,Shrubland - Temperate,Yes,resident,Suitable
45462578,45462525,Eupholidoptera leucasi,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45462686,45462624,Eupholidoptera megastyla,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463162,45463146,Eupholidoptera uvarovi,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463215,45463212,Eupholidoptera forcipata,3.4,Shrubland - Temperate,Yes,resident,Suitable
45463226,45463223,Eupholidoptera icariensis,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463236,45463233,Eupholidoptera jacquelinae,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463253,45463250,Eupholidoptera kykladica,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463288,45463281,Eupholidoptera spinigera,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463334,45463331,Eupholidoptera annamariae,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463431,45463340,Eupholidoptera astyla,3.4,Shrubland - Temperate,Yes,resident,Suitable
45463466,45463463,Eupholidoptera feri,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463477,45463473,Eupholidoptera giuliae,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463496,45463493,Eupholidoptera latens,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463496,45463493,Eupholidoptera latens,3.4,Shrubland - Temperate,Yes,resident,Suitable
45463505,45463502,Eupholidoptera mariannae,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45463505,45463502,Eupholidoptera mariannae,14.3,Artificial/Terrestrial - Plantations,,resident,Unknown
45466681,45466678,Poecilimon pindos,4.4,Grassland - Temperate,Yes,resident,Suitable
45466681,45466678,Poecilimon pindos,3.4,Shrubland - Temperate,,resident,Marginal
45811388,157538,Pseudosphegesthes bergeri,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45811388,157538,Pseudosphegesthes bergeri,1.4,Forest - Temperate,Yes,resident,Suitable
45812940,157493,Purpuricenus graecus,1.4,Forest - Temperate,Yes,resident,Suitable
45812940,157493,Purpuricenus graecus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45823371,157798,Stenopterus creticus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
45826874,157771,Trichoferus bergeri,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
47350001,47262019,Ampedus cretensis,1.4,Forest - Temperate,,resident,Suitable
47350709,47262622,Ampedus vignai,18,Unknown,,unknown,Unknown
47353318,47263254,Elater asmodaius,18,Unknown,,,Suitable
47353453,47265114,Podeonius subcyaneus,18,Unknown,,unknown,Unknown
47708524,17182027,Poecilimon ikariensis,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,resident,Unknown
47708697,17181950,Poecilimon deplanatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
47726171,17182043,Poecilimon klausgerhardi,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
