internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
157591,Brachygonus meraculus,"Ampedus meraculus (Reitter, 1889)",Ampedus,meraculus,"(Reitter, 1889)",,
40730,Epimyrma adlerzi,"Epimymra adlerzi Douwes, Jessen & Buschinger, 1988 [orth. error]",Epimymra,adlerzi,"Douwes, Jessen & Buschinger, 1988 [orth. error]",,
13338042,Seladonia inpilosa,"Halictus inpilosus Ebmer, 1975",Halictus,inpilosus,"Ebmer, 1975",,
19199942,Hylaeus milossus,"Prosopis hyalinata ssp. milossa Warncke, 1981",Prosopis,hyalinata,,subspecies,"Warncke, 1981"
157814,Anaglyptus luteofasciatus,"Anaglyptus  moreanus  Demelt, 1970",Anaglyptus ,moreanus ,"Demelt, 1970",,
45462354,Eupholidoptera epirotica,"Pholidoptera epirotica Ramme, 1927",Pholidoptera,epirotica,"Ramme, 1927",,
45462624,Eupholidoptera megastyla,"Pholidoptera megastyla Ramme, 1939",Pholidoptera,megastyla,"Ramme, 1939",,
45463146,Eupholidoptera uvarovi,"Pholidoptera uvarovi Karabag, 1952",Pholidoptera,uvarovi,"Karabag, 1952",,
45463281,Eupholidoptera spinigera,"Pholidoptera spinigera Ramme, 1930",Pholidoptera,spinigera,"Ramme, 1930",,
45463340,Eupholidoptera astyla,"Pholidoptera astyla Ramme, 1927",Pholidoptera,astyla,"Ramme, 1927",,
47943578,Agoliinus pittinoi,"Aphodius pittinoi Carpaneto, 1986",Aphodius,pittinoi,"Carpaneto, 1986",,
47944402,Nobius rhodiensis,"Aphodius rhodiensis Baraud, 1976",Aphodius,rhodiensis,"Baraud, 1976",,
173274,Kretania psylorita,"Lycaena psylorita Freyer, 1845",Lycaena,psylorita,"Freyer, 1845",,
173274,Kretania psylorita,"Plebejus psyloritus (Freyer, 1845)",Plebejus,psyloritus,"(Freyer, 1845)",,
173287,Hipparchia cretica,"Satyrus cretica Rebel, 1916",Satyrus,cretica,"Rebel, 1916",,
173214,Coenonympha thyrsis,"Hipparchia thyrsis Freyer, 1845",Hipparchia,thyrsis,"Freyer, 1845",,
173225,Pseudochazara graeca,"Satyrus graeca Staudinger, 1870",Satyrus,graeca,"Staudinger, 1870",,
173219,Zerynthia cretica,"Thais cretica Rebel, 1904",Thais,cretica,"Rebel, 1904",,
69668544,Ovaliptila kinzelbachi,"Discoptila kinzelbachi Harz, 1971",Discoptila,kinzelbachi,"Harz, 1971",,
69668585,Ovaliptila krueperi,"Gryllomorpha krueperi Pantel, 1890",Gryllomorpha,krueperi,"Pantel, 1890",,
69668585,Ovaliptila krueperi,"Gryllomorpha krüperi Pantel, 1890",Gryllomorpha,krüperi,"Pantel, 1890",,
69668679,Ovaliptila lindbergi,"Discoptila lindbergi Chopard, 1957 ssp. lindbergi",Discoptila,lindbergi,"Chopard, 1957",subspecies,
69668788,Ovaliptila nana,"Discoptila lindbergi ssp. nana Baccetti, 1992",Discoptila,lindbergi,,subspecies,"Baccetti, 1992"
69668847,Ovaliptila newmanae,"Discoptila newmanae Harz, 1969",Discoptila,newmanae,"Harz, 1969",,
69669391,Ovaliptila wettsteini,"Gryllomorpha wettsteini Werner, 1934",Gryllomorpha,wettsteini,"Werner, 1934",,
44698100,Rhacocleis silvestrii,"Rhacocleis sylvestrii Ramme, 1939",Rhacocleis,sylvestrii,"Ramme, 1939",,
16084579,Chorthippus biroi,"Stenobothrus biroi Kuthy, 1907",Stenobothrus,biroi,"Kuthy, 1907",,
16084479,Chorthippus pulloides,"Stauroderus pulloides Ramme, 1926",Stauroderus,pulloides,"Ramme, 1926",,
16084530,Chorthippus sangiorgii,"Stenobothrus sangiorgii Finot, 1902",Stenobothrus,sangiorgii,"Finot, 1902",,
16084516,Oropodisma parnassica,"Podisma parnassica Scudder, 1897",Podisma,parnassica,"Scudder, 1897",,
16084574,Pezotettix lagoi,"Pezotettix  silvestrii Jannone, 1936 ",Pezotettix ,silvestrii,"Jannone, 1936 ",,
16084408,Xerohippus solerii,"Eremippus solerii  Jannone, 1936",Eremippus,solerii ,"Jannone, 1936",,
68444850,Orchamus raulinii,"Acinipe raulinii Lucas, 1854",Acinipe,raulinii,"Lucas, 1854",,
17181859,Metaplastes oertzeni,"Barbitistes oertzeni Brunner von Wattenwyl, 1891",Barbitistes,oertzeni,"Brunner von Wattenwyl, 1891",,
