internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12649,Macrothele cretica,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,MACROTHELIDAE,Macrothele,cretica,,,,,"Kulczynski, 1903",According to the World Spider Catalog&#160;<em>Macrothele</em> should be placed in its own family the Macrothelidae.
14794,Niphargobates lefkodemonaki,ANIMALIA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,NIPHARGIDAE,Niphargobates,lefkodemonaki,,,,,"Sket, 1990",
157591,Brachygonus meraculus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Brachygonus,meraculus,,,,,"(Reitter, 1889)",
173273,Polyommatus eleniae,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Polyommatus,eleniae,,,,,"Coutsis &amp; De Prins, 2005",
20938,Strongylognathus silvestrii,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Strongylognathus,silvestrii,,,,,"Menozzi, 1936",
40730,Epimyrma adlerzi,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Epimyrma,adlerzi,,,,,"Douwes, Jessen &amp; Buschinger, 1988",
13304723,Colletes creticus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,creticus,,,,,"Noskiewicz, 1936",
13307748,Colletes standfussi,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Colletes,standfussi,,,,,"Kuhlmann, 2003",
13317994,Panurginus schwarzi,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,schwarzi,,,,,"(Warncke, 1972)",
13320615,Ceratina teunisseni,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,teunisseni,,,,,"Terzo and Rasmont, 1997",
13338039,Halictus holomelaenus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Halictus,holomelaenus,,,,,"Blüthgen, 1936",
13338042,Seladonia inpilosa,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Seladonia,inpilosa,,,,,"(Ebmer, 1975)",
17046314,Dolichopoda hussoni,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,RHAPHIDOPHORIDAE,Dolichopoda,hussoni,,,,,"Chopard, 1934",
16084525,Oropodisma chelmosi,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oropodisma,chelmosi,,,,,"Uvarov, 1942",
16084523,Oropodisma willemsei,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oropodisma,willemsei,,,,,"La Greca &amp; Messina, 1976",
16084420,Oropodisma karavica,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,ACRIDIDAE,Oropodisma,karavica,,,,,"La Greca &amp; Messina, 1977",
19198562,Andrena olympica,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,olympica,,,,,"Grünwaldt, 2005",
19198587,Andrena standfussorum,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,standfussorum,,,,,"Scheuchl, 2010",
19199004,Andrena trikalensis,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,trikalensis,,,,,"Warncke, 1965",
19199804,Hylaeus hellenicus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Hylaeus,hellenicus,,,,,"Dathe, 2000",The taxon is a member of the<em> H. nivalis </em>group (Dathe 2000).
19199635,Hylaeus koenigsmanni,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Hylaeus,koenigsmanni,,,,,"Dathe, 1981",The taxon is a member of the <em>Hylaeus nivalis</em> group (Dathe 2000).
19199942,Hylaeus milossus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,COLLETIDAE,Hylaeus,milossus,,,,,"(Warncke, 1981)","This species belongs to a highly diverse taxonomic group, which is not yet fully understood. It is probably a local variant only and is closely related to <em>Hylaeus hyalinatus.</em>"
19198984,Epeolus sigillatus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Epeolus,sigillatus,,,,,"Alfken, 1930",
19199770,Chelostoma hellenicum,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Chelostoma,hellenicum,,,,,"(Benoist, 1938)",
19198822,Chelostoma laticaudum,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Chelostoma,laticaudum,,,,,"(Benoist, 1938)",
19199179,Hoplitis cretaea,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Hoplitis,cretaea,,,,,"(Tkalců, 1992)",
19198606,Hoplitis fabrei,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Hoplitis,fabrei,,,,,"van der Zanden, 1987",
19199563,Hoplitis graeca,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Hoplitis,graeca,,,,,"(Tkalců, 2000)",
19198429,Hoplitis parnesica,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Hoplitis,parnesica,,,,,"(Mavromoustakis, 1958)",
19199889,Osmia ariadne,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Osmia,ariadne,,,,,"Peters, 1978",
19199847,Osmia mirhiji,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Osmia,mirhiji,,,,,"Mavromoustakis, 1957",
19199916,Osmia moreensis,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,MEGACHILIDAE,Osmia,moreensis,,,,,"van der Zanden, 1984",
19198560,Nomada gruenwaldti,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,gruenwaldti,,,,,"Schwarz, 1979",
19199805,Nomada priesneri,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,priesneri,,,,,"Schwarz, 1965",
19199755,Nomada standfussi,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,standfussi,,,,,"Schwarz, 2007",
42428291,Atyaephyra strymonensis,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Atyaephyra,strymonensis,,,,,"Christodoulou, Antoniou, Magoulas &amp; Koukouras, 2012",
42428293,Atyaephyra thyamisensis,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Atyaephyra,thyamisensis,,,,,"Christodoulou, Antoniou, Magoulas &amp; Koukouras, 2012",
42463645,Nomada cretensis,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Nomada,cretensis,,,,,"Schulz, 1906",
19198726,Andrena grossella,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,grossella,,,,,"Grünwaldt, 1976",
19199403,Lasioglossum leucomontanum,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,leucomontanum,,,,,"Ebmer, 1981",
19199243,Lasioglossum ariadne,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,HALICTIDAE,Lasioglossum,ariadne,,,,,"Ebmer, 1981",
19199653,Andrena chelma,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,chelma,,,,,"Warncke, 1975",
21138032,Andrena ebmerella,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,ebmerella,,,,,"Scheuchl, 2011",The subgeneric attribution of&#160;<em>Andrena ebmerella</em>&#160;is uncertain.
19199759,Andrena helenica,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,helenica,,,,,"Warncke, 1965",
19198891,Andrena muscaria,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,muscaria,,,,,"Warncke, 1965",
19199467,Andrena neovirida,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,neovirida,,,,,"Grünwaldt, 2005",
157814,Anaglyptus luteofasciatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Anaglyptus,luteofasciatus,,,,,"Pic, 1905",
157893,Anaglyptus praecellens,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Anaglyptus,praecellens,,,,,"Holzschuh, 1981",
157864,Isotomus jarmilae,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Isotomus,jarmilae,,,,,"Slama, 1982",
157668,Ampedus karneri,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,karneri,,,,,"Schimmel , 1996",
157643,Ampedus macedonicus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,macedonicus,,,,,"Schimmel , 1996",
157495,Ampedus minos,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Ampedus,minos,,,,,"Wurst, 1997",
157759,Procraerus cretensis,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,ELATERIDAE,Procraerus,cretensis,,,,,"Platia &amp; Gudenzi, 1996",
45462302,Eupholidoptera cephalonica,ANIMALIA,ARTHROPODA,INSECTA,ORTHOPTERA,TETTIGONIIDAE,Eupholidoptera,cephalonica,,,,,"Willemse &amp; Willemse, 2004",
