subspeciesname	Order	n_locations	n_sites	eoo	natura_eoo	aoo_area	aoo_overlap_area	Potentially_VU	Potentially_EN	Potentially_CR	potential_status
Dendarus falassarnensis	Coleoptera	1	2	NA	NA	4.00353111348992	0.0958269968221382	TRUE	TRUE	TRUE	Potentially_CR
Dendarus grampusanus	Coleoptera	1	4	0	0	3.99856615602106	0.693880936557149	TRUE	TRUE	TRUE	Potentially_CR
Amauronyx occidens	Coleoptera	1	2	NA	NA	8.02173547777118	7.87068966488637	TRUE	TRUE	TRUE	Potentially_CR
Gabrius candicus	Coleoptera	1	1	NA	NA	4.01036008584657	4.01036008584724	TRUE	TRUE	TRUE	Potentially_CR
Pogonocherus perroudi brevipilosus	Coleoptera	1	1	NA	NA	4.01129841481321	0.387555143149122	TRUE	TRUE	TRUE	Potentially_CR
Cephennium selinonum	Coleoptera	1	1	NA	NA	4.01276386761072	0	TRUE	TRUE	TRUE	Potentially_CR
Bembidion minoum	Coleoptera	1	2	NA	NA	4.01349892414435	4.01349892414468	TRUE	TRUE	TRUE	Potentially_CR
Amauronyx chanianus	Coleoptera	1	1	NA	NA	4.01141848191527	0.024895978604988	TRUE	TRUE	TRUE	Potentially_CR
Amauronyx paganettii	Coleoptera	1	1	NA	NA	4.00856758423604	0.261564789884292	TRUE	TRUE	TRUE	Potentially_CR
Cephennium meybohmi	Coleoptera	1	1	NA	NA	4.00978546487607	0.0030660742318179	TRUE	TRUE	TRUE	Potentially_CR
Cretotyphlus chanianus	Coleoptera	1	1	NA	NA	4.00867139869195	1.01481413905125	TRUE	TRUE	TRUE	Potentially_CR
Stenichnus hummleri	Coleoptera	1	4	8.05773973455989	0.327669797016526	16.0356668231333	0.437793548652502	TRUE	TRUE	TRUE	Potentially_CR
Tychus chanianus	Coleoptera	1	2	NA	NA	4.0107535771824	0	TRUE	TRUE	TRUE	Potentially_CR
Afropselaphus assingi	Coleoptera	1	2	NA	NA	4.01302963067332	4.01302963067367	TRUE	TRUE	TRUE	Potentially_CR
Afropselaphus dornfeldae	Coleoptera	1	1	NA	NA	4.01479620742301	4.01479620742248	TRUE	TRUE	TRUE	Potentially_CR
Anthaxia brodskyi	Coleoptera	1	1	NA	NA	4.01214374995527	4.01214374995469	TRUE	TRUE	TRUE	Potentially_CR
Bellatheta albimontis	Coleoptera	1	3	0.222624516962994	0.222624516962994	16.052399351644	16.0523993516436	TRUE	TRUE	TRUE	Potentially_CR
Faronus albimontium	Coleoptera	1	3	0	0	4.01342498393042	4.01342498393039	TRUE	TRUE	TRUE	Potentially_CR
