assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
785848,173805983,Enallagma cyathigerum,Least Concern,,2020,2020-04-28 00:00:00 UTC,3.1,English,"<em>Enallagma cyathigerum</em> is a widespread, common and abundant species and its habitats are not threatened. The species is therefore assessed as Least Concern.","<em>Enallagma cyathigerum</em> commonly occurs at standing and slow-flowing waters (lakes, ponds, pools, marshes, peat bogs). The species is especially common at sites lacking of fish such as acid bogs or at sites where the vegetation provides shelter from fishes. The species can occur in slightly brackish waters. It is one of several species which commonly reproduces in the Baltic Sea itself.",There are no major threats to this species.,The species is common and widespread in its European range and only in the south populations are more scattered. The sizes of the populations are generally high. It can occur in very high densities in central and northern Europe.,Stable,"<em>Enallagma cyathigerum</em> is one of the most widespread damselflies in the world. Its range covers Europe, Asia and northwest Africa. Older studies include North America within its range, but recent studies have shown that the North American populations belong to <em>E. annexum</em> (Stocks <em>et al</em>. 2005, Boudot and Kalkman, 2015). The species is widespread and common in the European part of its range occurring to the far north of Scandinavia. It becomes scarcer towards the Mediterranean being absent from many of the islands and being rare in the low and dry regions of Spain, Italy and Greece. Populations from the northernmost parts of Europe and from Siberia are more melanic than those from the temperate European regions but are not considered as a distinct subspecies (Kosterin and Zaika 2003, 2010). It is replaced by <em>E. circulatum</em> on the island of Sakhalin (Russia) and Japan (Stock <em>et al</em>. 2005). <em>Enallagma cyathigerum risi</em>  (sometimes considered a good species, but there is no consensus in this respect) occurs in large parts of Central Asia. It is unclear whether the populations of <em>Enallagma </em>from the West Caucasus area pertain to <em>E. c. cyathigerum</em> or to <em>E. c. risi.</em> Currently, it is considered as a subspecies (Kalkman <em>et al</em>. 2020), because they produce hybrids in the meeting and overlapping areas.<br/><br/>Figure 1 in the Supplementary Information shows the available locality data for this species.",,Terrestrial|Freshwater (=Inland waters),There are no conservation measures needed.,Palearctic,,false,false,Global
1095700,165512,Sympetrum depressiusculum,Least Concern,,2020,2019-12-04 00:00:00 UTC,3.1,English,"<em>Sympetrum depressiusculum</em> has a trans-Palearctic range and is found in the temperate regions of Eurasia from the Atlantic to Japan. Globally the species is assessed LC based on its wide distribution. However, it has a near disjunct distribution and is missing in the steppe and desert areas in Central Asia. It is declining in its European range, where its AOO has been reduced to about 2,100 km², and has been assessed as Vulnerable in Europe based on an estimated decline of over 30 % over ten years that might be over 30 % in the next ten years. Oppositely, the status of the species is not thought to be alarming in the easternmost part of its range but details are hardly available in East Asia.<br/><br/><span style=""""></span>","The species shows strong regional differences in habitat preferences. The key factor seems to be that it needs temporary unshaded, often shallow and warm waters. Typically they become dry towards the end of the summer until next spring. Those situations can be found in Europe at borders of large lakes and in marshes, in&#160; traditional fishponds managaed for carp breeding in the past and former rice paddies in southern Europe. In other parts of the species range habitat preferences are not known, though in Japan, upland forest habitats are needed for maturation. <em>Sympetrum depressiusculum</em> has been recorded estivating in Japanese urban cities like Tokyo, hypothetically mistaking  the highest buildings for their usual summer upland forests (Miyakawa, 1994).","Major threats to this species are changes in rice cultivation in southern Europe and abandonment of traditional fish aquaculture in northern and central Europe, making the temporary flooded breeding habitats of the species lost<span class=""addmd"">. In permanent habitats, larval competition <span class=""addmd"">with other dragonflies species <span class=""addmd""><span class=""addmd"">is higher <span class=""addmd""><span class=""addmd"">and predation by fish is strong. Climate change will probably impact this species but it is difficult to predict if this will be positive or negative. Impacts of climate change and other threats in the non-European parts of the species range are not known.<br/></span></span></span>","<em>Sympetrum depressisuculum</em> is presently scarce throughout its European range and population numbers have dropped in many areas in Europe. In the past the species was locally very abundant. In Belgium, France, Germany, and Italy the number of sites and populations has dramatically decreased due to changes in rice cultivation practices, drainage of temporary wetlands and abandonment of traditional carp farming in many countries&#160; (Schmidt 2012). However, in Poland, the species seems to be stable. Population trends in other parts of the species range are not known.",Unknown,"<em>Sympetrum depressiusculum</em> has a trans-Palearctic distribution. It is found from the Atlantic through Central Asia, South Siberia and Mongolia to East Asia (Pacific coast of the Russian Far East (Ussuri, Primorye), Kamchatka, Manchuria, Kuril Islands, North and South Korea, Japan from Hokkaido to the Ryukyu Islands [formerly refered to as <em>S. frequens</em>, a junior synonym of <em>S. depressisuculum</em>]), northeastern China. In Japan, it is for most of the individuals a two-way migrating species giving rise to exchanges within Japanese localities (lowlands to forest in hills and highlands for maturation in spring and highlands to lowlands to breed in autumn)  (Miyakawa 1994) and between Japan and the Asian mainland. A similar behaviour has not been recorded in Europe.<br/><br/>The European range of <em>S. depressisuculum </em>covers mostly central and northwesterm Europe (Boudot and Kalkman 2015). The species has a patchy distribution and there are large areas within its main range where it is rare to absent. In Europe, a strong decline has taken place nearly everywhere from the second half of the 20<sup>th</sup> century onwards, due to changes in rice cultivation processes (Giuliano and Bogliani, 2019). The species is very rare (close to extinction) in Italy and southern France with the last record from the Camargue dating back to 1987, although secondary habitats have been found in the surrounding motorways sedimentation tanks (Iorio 2012). The main known present populations in France are found in the Rhone and Rhine Valleys although small isolated populations subsist on man-made dam lakes with strong and regular water level changes. Strong declines and regional extinctions are also known from Austria, Belgium, Germany, the Netherlands and Switzerland.<br/><br/>Presently (1990 onwards), the European AOO of the species is rather low and is <em>ca</em> 2,100 km². Its Asian area of occupancy is undetermined as the details of the species in Japan are not known although the species is presently common in this country.<br/><br/>Figure 1 in the Supplementary Information shows the available locality data for this species.<br/><span style=""""><span style=""""></span>",,Terrestrial|Freshwater (=Inland waters),"Considering the relatively low number of strong populations in most parts of&#160; European range of the species, it is advisable that for each of these the conservation status is determined and, if necessary, management plans are made. Protection of remaining breeding sites is absolutely needed, through the prevention of intensive use of ponds for angling and through regulation of rice field management. The current agricultural practices at rice fields in southern Europe make them unsuitable for the species.",Palearctic,,false,false,Global
1281221,169975,Palinurus elephas,Vulnerable,A2bd,2014,2013-09-26 00:00:00 UTC,3.1,English,"<p><em>Palinurus elephas</em>&#160;has been assessed as Vulnerable under criteria A2bd. This species is commercially exploited throughout its range where it is estimated to have undergone a decline of between 30-50% over the last 27 years (three generation lengths). While the trends in Spanish and Croatian fisheries have remained stable for the last 10 years, catch per unit effort in Corsica and Sardinia (two of the largest fisheries) has declined by 25% in 15 years and 60% in 25 years respectively. While these trends only run up until the late 1990s/ early 2000s these trends are thought to be ongoing. Recent FAO data for the entire Mediterranean reports an increase in landings from 165 t to 404 t between 2000 and 2009, however this includes the landings of&#160;<em>P. mauritanicus</em>.<em>&#160;</em>Future research effort should focus on monitoring the catch per unit effort for this species separately from&#160;<em>P. mauritanicus</em>&#160;to improve the accuracy of future assessments.&#160;</p><em></em>",<p>This species lives on rocky and coralligenous habitats from the coast down to 200 m of depth (Ceccaldi and Latrouite 1994) although in the Mediterranean it has been recorded down to 260 m (R. Goñi pers. comm.)</p>,<p>Over-exploitation by fisheries is a major threat to this species.</p>,"<p><em>Palinurus elephas</em> has been heavily harvested throughout its range and is generally considered to be overexploited, although long-term catch per unit effort (CPUE) data are not available for most fisheries (Goñi and Latrouite 2005). Traditionally, <em>P. elephas</em> was captured by means of baited traps until the development of new materials and hauling techniques in the 1960s led to the introduction of trammel-nets, which virtually eliminated trap fishing (Goñi <em>et al</em>. 2003).</p>  <p>In the Atlantic, catch rates from the Welsh fishery showed a decline of 92% between 1980 and 1997 (Hunter 1999). A sevenfold decline in CPUE was registered in the SW Irish fishery between 1972 and 1999 (Tully 2011). In the Mediterranean, CPUE in the Corsican fishery declined by 25% between 1984 and 1999, associated with a 38% increase in effort (fewer boats but more nets fished) (Ruitort 1999). In NW Sardinia, CPUE declined by 70% between 1976 and 2001, along with a 60% increase in the number of boats. Catch rates of two Spanish Mediterranean fisheries have remained stable during the last decade at levels about eight times lower than in a population protected in a MPA (Groeneveld <em>et al</em>. 2013).</p>  <p>Official landing statistics of 2009 from the FAO Global Capture Production summary (FAO 2009) for Atlantic fisheries of <em>P. elephas</em> and <em>P. mauritanicus</em> combined, show a dramatic decline from 900 t in 1966 to 56 t in 2009. For the Mediterranean, the two species are reported separately. Landings of <em>P. elephas</em> peaked in the 1960s and 1970s at near 1000 t, declined to 165 t in 2000, and increased to 404 t in 2009. Unfortunately, irregular reporting by most countries, and the mistaken inclusion of <em>Palinurus mauritanicus</em> or other species (e.g. <em>Homarus gammarus</em> in Greece or <em>Panulirus regius</em> in Morocco) in some records, renders the data useless (Goñi and Latrouite 2005). Also, in fisheries where <em>P. elephas</em> is sold locally (e.g. southern Europe and Mediterranean) a potentially significant proportion of the catch may go unrecorded. A recent reconstruction of Corsican landings (1950–2008) suggested that 16 times more lobster were landed than are reflected in the data reported to the FAO (Harper and Zeller 2011). Nevertheless, a decline from 300 t in 1954 to 80 t in 2008 was still apparent.</p>  <p>A recent assessment of the Balearic, Corsican and Sardinian fisheries (LANCONNECT project; http://www.ba.ieo.es/lanconnect/) showed that fleets of 170–220 boats target <em>P. elephas</em> in each region with trammel nets during the 5 to 8-month fishing season. The estimated landings of each of these fisheries in 2009 ranged between 60 and 100 t, amounting to a total of 280–300 t, or 70% of the official FAO landings (404 t) for the entire Mediterranean in 2009. Tunisia has a reliable series of landing statistics because nearly all catches of <em>P. elephas</em> are exported for foreign consumption. Annual landings between 1990 and 2002 peaked at 74 t in 1993 and declined gradually to 33 t in 2002 (Quetglas <em>et al</em>. 2004), representing a decline of 44% in nine years.&#160; In Croatia reported annual landings were highest in 1953 and declined to 23-43 tons between 1985 – 1998, remaining stable the following decade (A. Soldo pers. comm. in Goñi and Latrouite 2005).</p>  <p>French Atlantic fisheries landed up to 1000 t in the 1950s, but only 25 t in 2010 (Laurans <em>et al</em>. 2011). Presently, <em>P. elephas</em> is considered to be a bycatch of some 100 finfish netting vessels. Irish <em>P. elephas</em> exports fluctuated from a high of 271 t in 1959 declining to current landings of around 20 t by 30 boats (Tully 2011). &#160;Portuguese stocks (mainly along the southwest coast) are also overfished with consistent declines in abundance and present landings down to 10% of those in the late 1980s and 1990s (Galhardo <em>et al</em>. 2006); annual official landings in 2006-2007 amounted to 12 t (Barrento <em>et al</em>. 2008). &#160;In combination, and despite under-reporting, the trends shown above reflect strong declines of lobster stocks in the Atlantic, where some fisheries are commercially extinct, although returning in some areas (i.e. Ireland), but also in the Mediterranean where viable fisheries operate. The cause appears to be primarily fishing mortality.</p>",Decreasing,"<p>This species&#160;is distributed in the Eastern Atlantic from Norway to Morocco and throughout the Mediterranean, except in the extreme eastern and south-eastern regions (Holthuis 1991). It is also present in the Canary Islands (R. Herrera pers. comm.), the Azores (d'Udekem d'Acoz, 1999), and probably also in the Madeira Islands (Goñi and Latrouite 2005).</p><p><br/></p><p>&#160;</p>",This species is harvested throughout its range by recreational and commercial fisheries.,Marine,"<p>There are a number of measures in place for the management of this species, including: prohibition of landing berried females, minimum size limits, restrictions on gear type and number of nets and pots per boat. Closed seasons, where in force, appear to be the most effective management measure for the species.&#160; There are several marine protected areas that are closed or limit lobster fishing within their boundaries in the Mediterranean and the Atlantic, although most of them are small.&#160; The exception is the MPA of Columbretes Islands, a 23-year old, no-take area of 55 km<sup>2</sup> off eastern Spain, where <em>P. elephas</em> has reached biomass levels 14 times higher than in fished areas, regional reproductive potential has increased by six (Diaz <em>et al</em>. 2010) and an annual net contribution of spillover from the MPA to local fishery yields of 13% has been estimated (Goñi <em>et al</em>. 2006, 2010).</p>  <p>Information is needed on catches and effort in the major fisheries and how these have changed with time. Monitoring of CPUE data across all fisheries associated with this species is essential to determine the level of impact harvesting is having on local populations, as well as the species as a whole. It is recommended that a species action plan is developed linking all fisheries associated with this species in order to cease population decline and allow sustainable practices (e.g. LANCONNECT Initiative: http://www.ba.ieo.es/lanconnect).</p>",Palearctic,,false,false,Global
1413852,174425,Maniola halicarnassus,Endangered,B1ab(iii)+2ab(iii),2015,2013-02-28 00:00:00 UTC,3.1,English,"Halicarnas Brown (<span style=""font-style: italic;"">Maniola halicarnassus</span>) is restricted to the Bodrum Peninsula, Mugla, Turkey and Nisyros Island, Greece, with the majority of the population in Turkey. These two subpopulations are situated 16 km apart, separated by the Aegean Sea (Olivier and Coutsis 1995). The butterfly thus has a very restricted range with a total extent of occurrence (EOO) of less than 700 km<sup>2</sup> (approximately 600 km<sup>2</sup> in Turkey) and an area of occupancy (AOO) of 498 km<sup>2</sup> (456 km<sup>2</sup> in Turkey and 42 km<sup>2</sup> in Greece). The European Red List of Butterflies lists the subpopulation in Greece as Near Threatened because of the species’ extremely restricted range in Europe (only one location) and lack of specific threats (van Swaay <span style=""font-style: italic;"">et al.</span> 2009). The subpopulation in Turkey is located on the Bodrum peninsula, a popular centre for tourism. The major threat here is ongoing tourism-related building developments, as local urban development plans ignore the need to conserve this species and its habitat. Also, despite the fact that there is no threat associated with the site in Greece, if there is gene flow between the Greek and Turkish subpopulations, a decline in Turkey would be expected to have a negative influence on the Greek subpopulation. The species is therefore listed as Endangered (EN B1ab(iii) + 2ab(iii)).","In Turkey, the butterfly occurs at low altitude (0-100 m asl), in moist and shaded grassy places in the close vicinity of bushes and trees.&#160;They have a rapid flight.&#160;The flight period is from early May to early June, then after aestivation until August (Hesselbarth <span style=""font-style: italic;"">et al. </span>1995). However, on Nisyros in 1987 G. Thomson found fresh males and females right up to the 17th July, even when it had been very hot for some time. Whether this was an early break from aestivation or a normal pattern of behaviour is not known, but it was notably different from Eastern Meadow Brown which was aestivating at that time (but could be disturbed from its hiding places). It therefore appears that the flight times of Halicarnas Brown are worth investigating and may have some bearing on its speciation.<br/><br/>In Greece the butterfly is recorded at low altitude throughout the island in dry, open scrub and near agricultural land (van Swaay <span style=""font-style: italic;"">et al.</span> 2009) and in the town. The larvae feed on grasses and the adults are often observed nectaring on oregano (<span style=""font-style: italic;"">Origanum</span> spp.) (Hesselbarth <span style=""font-style: italic;"">et al.</span> 1995).&#160;This species is single-brooded.&#160;The eggs are laid on meadow-grasses (Poaceae) (Karaçetin and Welch 2011).","The Bodrum Peninsula has a warmer and drier climate than the rest of the Aegean Coast and is one of the most popular tourism centres in Turkey. The main threat to this butterfly is thus the spread of new houses and tourism facilities which are steadily reducing the amount and quality of natural habitat available. Since conservation of the butterfly and its habitat are not considered in urban development plans this situation can be expected to worsen&#160;(Karaçetin and Welch 2011).<br/><br/>The European Red List of Butterflies does not identify any specific threat for the Greek subpopulation (van Swaay <span style=""font-style: italic;"">et al.</span> 2009). However, as this species has a small range in Greece (extent of occurrence of 40 km<sup>2</sup>) it is vulnerable to environmental change.","The range of Halicarnas Brown is very restricted. In Turkey, the records are from six adjacent 10 x 10 km squares which are all facing the same threat (expansion of settlements and general building developments, much of it related to tourism). The species is thus considered to exist at a single location in Turkey (Red List Working Group 2009). In Greece, the size of the population is small and very restricted and considered to comprise one location (van Swaay <span style=""font-style: italic;"">et al.</span> 2009). Thus, globally the species thus occurs at just two locations.",Unknown,"the Halicarnas Brown is recorded from Greece (Nisyros Island) and Turkey (Mugla province) (Kudrna 2002). In Turkey, where the larger subpopulation is located, it occurs only on the Bodrum Peninsula. However, experts consider it may also occur on other southwest coast peninsular areas but as yet there is no evidence to support this (G. Thomson pers. comm. 2010). The Greek and Turkish subpopulations are separated by about 16 km of the Aegean Sea (Hesselbarth <span style=""font-style: italic;"">et al. </span>1995, Olivier and Coutsis 1995) and it is not known if they are connected. Seven (2008) mentions <em>Maniola halicarnassus</em> from Gökceada island. As no data are provided for this species, the record appears unsubstantiated. This record appears doubtful and needs verification. It is found from sea level to 100 m asl (Karaçetin and Welch 2011). This is a Mediterranean endemic species.",This species is not utilized.,Terrestrial,"There is no conservation status or legal protection of Halicarnas Brown and the only known sites are not protected. Further research is needed to understand its ecology and how it uses the habitat, while long-term monitoring would provide information on population trends. In Turkey the butterfly’s habitats should be protected by including them in local urban development plans&#160;(Karaçetin and Welch 2011).",Palearctic,,false,false,Global & Mediterranean
2443143,196248,Hasarius adansoni,Least Concern,,2014,2012-11-01 00:00:00 UTC,3.1,English,This species is adaptable and widespread and there are no current threats thought to be significant enough to put this species at risk of extinction in the foreseeable future.,"This species is present in lowland habitats, ranging from semi-natural woodland to inside buildings.",This is a highly adaptable species that currently has no known threats.,There are no quantitative data on the current population but this species is commonly observed in suburban environments.,Stable,"This is a cosmopolitan species, which has been widely introduced to greenhouses.",,Terrestrial,No specific conservation actions have been taken or are needed for this species.,Afrotropical|Australasian|Indomalayan|Oceanian|Palearctic,,false,false,Global
2506191,197950,Palaemonetes antennarius,Least Concern,,2013,2012-07-17 00:00:00 UTC,3.1,English,"The species is known to occur in Italy and eastwards to Turkey,  including Slovenia, Croatia and Greece (incl. the larger Greek islands)  (d'Udekem d'Acoz 1999), living in rivers and lakes, and although a typical freshwater  form has been observed in slightly brackish areas (d'Udekem d'Acoz 1999).&#160; As the species is widespread and in the absence of any known major threats, it is considered to be of Least Concern.","The species lives in rivers and lakes, and although a typical freshwater form has been observed in slightly brackish areas (d'Udekem d'Acoz 1999).",No threats to the species could be identified.,"No information is available on population trends, but the species is considered to be abundant.",Unknown,"The species is known to occur in Italy and eastwards to Turkey, including Slovenia, Croatia and Greece (incl. the larger Greek islands) (d'Udekem d'Acoz 1999).",The species is not utilised.,Freshwater (=Inland waters),No specific conservation actions are in place.,Palearctic,,false,false,Global
2521594,198337,Atyaephyra stankoi,Least Concern,,2013,2013-01-17 00:00:00 UTC,3.1,English,"The species is widespread in west-central Greece, ranging northwards to southern Macedonia (Christoudoulou <em>et al. </em>2012), living in rivers, lakes and streams. &#160;In view of the widespread nature of the species and in the absence of any known, major threats the species is considered to be of Least Concern.","The species lives in marginal areas of rivers, lakes and streams.",No threats to the species could be identified.,"No information is available on population densities, although the species is considered to be abundant where it occurs.",Unknown,"The species is widespread in west-central Greece, ranging northwards to southern Macedonia (Christoudoulou <em>et al.</em> 2012).",The species is not utilised.,Freshwater (=Inland waters),No specific conservation actions are in place.,Palearctic,,false,false,Global
3198676,10542,Hyles hippophaes,Data Deficient,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Terrestrial,,Indomalayan|Palearctic,,false,false,Global
3209604,10713,Euphydryas maturna,Data Deficient,,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,,,Terrestrial,,Palearctic,,false,false,Global
3347854,12433,Lycaena dispar,Lower Risk/near threatened,,1996,1996-08-01 00:00:00 UTC,2.3,English,,Grows in a wide range of damp habitats (wetlands).,,,,"Locally but widely distributed in central Europe as far north as southern Finland, and across to Asia. Divided into three races: <em>dispar</em> formerly in Britain, <em>batavus</em> in the Netherlands (both single brooded), and <em>rutilus</em> (double brooded). The latter is declining in many European countries while <em>batavus</em> is reduced to two sites.",,Terrestrial,,Palearctic,,false,false,Global
