assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
1281221,169975,Palinurus elephas,GI,Gibraltar,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,AL,Albania,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,EG,Egypt,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,ES,Spain,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,GR,Greece,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,LB,Lebanon,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,SY,Syrian Arab Republic,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,FR,France,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,DZ,Algeria,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,TR,Turkey,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,TN,Tunisia,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,HR,Croatia,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,GB,United Kingdom,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,LY,Libya,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,MC,Monaco,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,MA,Morocco,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,IE,Ireland,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,IL,Israel,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,SI,Slovenia,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,IT,Italy,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,BA,Bosnia and Herzegovina,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,MT,Malta,Extant,Native,"[""Resident""]",
1281221,169975,Palinurus elephas,PT,Portugal,Extant,Native,"[""Resident""]",
1413852,174425,Maniola halicarnassus,TR,Turkey,Extant,Native,"[""Resident""]",
1413852,174425,Maniola halicarnassus,GR,Greece,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,SC,Seychelles,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,AU,Australia,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,CN,China,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,JP,Japan,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,CF,Central African Republic,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,IL,Israel,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,ID,Indonesia,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,IN,India,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,YE,Yemen,Extant,Native,"[""Resident""]",
2443143,196248,Hasarius adansoni,TR,Turkey,Extant,Native,"[""Resident""]",
