assessmentId,scientificName,internalTaxonId,doi
785848,Enallagma cyathigerum,173805983,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T173805983A785848.en
1095700,Sympetrum depressiusculum,165512,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T165512A1095700.en
1281221,Palinurus elephas,169975,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T169975A1281221.en
1413852,Maniola halicarnassus,174425,https://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T174425A1413852.en
2443143,Hasarius adansoni,196248,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T196248A2443143.en
2506191,Palaemonetes antennarius,197950,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T197950A2506191.en
2521594,Atyaephyra stankoi,198337,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T198337A2521594.en
3198676,Hyles hippophaes,10542,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T10542A3198676.en
3209604,Euphydryas maturna,10713,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T10713A3209604.en
3347854,Lycaena dispar,12433,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T12433A3347854.en
3368483,Macrothele cretica,12649,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T12649A3368483.en
3371159,Phengaris arion,12659,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T12659A3371159.en
3390729,Anergates atratulus,1285,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T1285A3390729.en
3933275,Potamon fluviatile,134293,https://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T134293A3933275.en
3965427,Potamon rhodium,134492,https://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T134492A3965427.en
3997379,Potamon ibericum,134681,https://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T134681A3997379.en
4061032,Potamon potamios,135117,https://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T135117A4061032.en
4460769,Niphargobates lefkodemonaki,14794,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T14794A4460769.en
4526314,Pacifastacus leniusculus,153648,https://dx.doi.org/10.2305/IUCN.UK.2010-3.RLTS.T153648A4526314.en
5077434,Stenopterus similatus,157474,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157474A5077434.en
5098302,Microrhagus pyrenaeus,157571,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157571A5098302.en
5098645,Chlorophorus glabromaculatus,157573,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157573A5098645.en
5098836,Osmoderma lassallei,157575,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157575A5098836.en
5102180,Brachygonus meraculus,157591,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157591A5102180.en
5112566,Ropalopus insubricus,157631,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157631A5112566.en
5114760,Ceruchus chrysomelinus,157641,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157641A5114760.en
5115632,Tritoma bipustulata,157645,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157645A5115632.en
5116249,Dolocerus reichii,157647,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157647A5116249.en
5119169,Clytus lama,157659,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157659A5119169.en
5126247,Ampedus hjorti,157692,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157692A5126247.en
5126672,Lioderina linearis,157695,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157695A5126672.en
5127501,Ampedus coenobita,157698,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157698A5127501.en
5130390,Pseudotriphyllus suturalis,157714,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157714A5130390.en
5133820,Grynocharis oblonga,157730,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157730A5133820.en
5148186,Clytus tropicus,157795,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157795A5148186.en
5149054,Ampedus cardinalis,157800,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157800A5149054.en
5149490,Dacne notata,157802,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157802A5149490.en
5151090,Ampedus melanurus,157810,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157810A5151090.en
5158233,Porthmidius gelineki,157847,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157847A5158233.en
5158380,Ropalopus femoratus,157848,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157848A5158380.en
5165889,Chlorophorus aegyptiacus,157886,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157886A5165889.en
5169119,Osmoderma barnabita,157901,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157901A5169119.en
5171713,Hylis cariniceps,157914,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157914A5171713.en
5175297,Callimus abdominalis,157928,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T157928A5175297.en
5358607,Pontia daplidice,160251,https://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T160251A5358607.en
5364211,Hipparchia statilinus,160360,https://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T160360A5364211.en
5372859,Erebia cassioides,160590,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T160590A5372859.en
5938416,Purpuricenus globulicollis,164918,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T164918A5938416.en
6022090,Anax immaculifrons,165463,https://dx.doi.org/10.2305/IUCN.UK.2010-4.RLTS.T165463A6022090.en
6690609,Scyllarus arctus,169949,https://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T169949A6690609.en
6698918,Scyllarides latus,169983,https://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T169983A6698918.en
6722688,Scyllarus pygmaeus,170056,https://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T170056A6722688.en
6809917,Archon apollinus,171925,https://dx.doi.org/10.2305/IUCN.UK.1996.RLTS.T171925A6809917.en
6974162,Hipparchia fagi,173209,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173209A6974162.en
6974668,Lysandra coridon,173211,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173211A6974668.en
6977611,Hipparchia volgensis,173233,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173233A6977611.en
6977748,Erebia rhodopensis,173234,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173234A6977748.en
6979486,Erebia oeme,173246,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173246A6979486.en
6983131,Polyommatus orphicus,173271,https://dx.doi.org/10.2305/IUCN.UK.2010-1.RLTS.T173271A6983131.en
