assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
1281221,169975,Palinurus elephas,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,,,Suitable
1413852,174425,Maniola halicarnassus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,,Suitable
1413852,174425,Maniola halicarnassus,4.4,Grassland - Temperate,Yes,,Suitable
2443143,196248,Hasarius adansoni,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,,Suitable
2443143,196248,Hasarius adansoni,16,Introduced vegetation,,,Marginal
2443143,196248,Hasarius adansoni,14.5,Artificial/Terrestrial - Urban Areas,Yes,,Suitable
2443143,196248,Hasarius adansoni,14.3,Artificial/Terrestrial - Plantations,No,,Suitable
2506191,197950,Palaemonetes antennarius,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,,Suitable
2506191,197950,Palaemonetes antennarius,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,,Suitable
2506191,197950,Palaemonetes antennarius,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,,Suitable
2521594,198337,Atyaephyra stankoi,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,resident,Suitable
2521594,198337,Atyaephyra stankoi,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,resident,Suitable
2521594,198337,Atyaephyra stankoi,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,resident,Suitable
2521594,198337,Atyaephyra stankoi,15.9,"Artificial/Aquatic - Canals and Drainage Channels, Ditches",Yes,resident,Suitable
3933275,134293,Potamon fluviatile,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),,,Marginal
3933275,134293,Potamon fluviatile,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Yes,,Suitable
3933275,134293,Potamon fluviatile,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),,,Marginal
3933275,134293,Potamon fluviatile,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,,Suitable
3933275,134293,Potamon fluviatile,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,,Suitable
3933275,134293,Potamon fluviatile,5.9,Wetlands (inland) - Freshwater Springs and Oases,Yes,,Suitable
3965427,134492,Potamon rhodium,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),,,Marginal
3965427,134492,Potamon rhodium,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,,Suitable
3965427,134492,Potamon rhodium,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,,Suitable
3965427,134492,Potamon rhodium,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,,,Marginal
3965427,134492,Potamon rhodium,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,,Suitable
