assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
785848,173805983,Enallagma cyathigerum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Enallagma,cyathigerum,,,,"(Charpentier, 1840)",Least Concern,,3.1,Stable,Global
1095700,165512,Sympetrum depressiusculum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Sympetrum,depressiusculum,,,,"(Selys, 1841)",Least Concern,,3.1,Unknown,Global
1281221,169975,Palinurus elephas,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALINURIDAE,Palinurus,elephas,,,,"(Fabricius, 1787)",Vulnerable,A2bd,3.1,Decreasing,Global
1413852,174425,Maniola halicarnassus,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Maniola,halicarnassus,,,,"Thomson, 1990",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global & Mediterranean
2443143,196248,Hasarius adansoni,ANIMALIA,ARTHROPODA,ARANEAE,ARACHNIDA,SALTICIDAE,Hasarius,adansoni,,,,"(Audouin, 1826)",Least Concern,,3.1,Stable,Global
2506191,197950,Palaemonetes antennarius,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Palaemonetes,antennarius,,,,"(H. Milne Edwards, 1837)",Least Concern,,3.1,Unknown,Global
2521594,198337,Atyaephyra stankoi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Atyaephyra,stankoi,,,,"Karaman, 1972",Least Concern,,3.1,Unknown,Global
3198676,10542,Hyles hippophaes,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,SPHINGIDAE,Hyles,hippophaes,,,,"(Esper, 1793)",Data Deficient,,2.3,,Global
3209604,10713,Euphydryas maturna,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Euphydryas,maturna,,,,"(Linnaeus, 1758)",Data Deficient,,2.3,,Global
3347854,12433,Lycaena dispar,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Lycaena,dispar,,,,"(Haworth, 1802)",Lower Risk/near threatened,,2.3,,Global
3368483,12649,Macrothele cretica,ANIMALIA,ARTHROPODA,ARANEAE,ARACHNIDA,MACROTHELIDAE,Macrothele,cretica,,,,"Kulczynski, 1903",Data Deficient,,2.3,,Global
3371159,12659,Phengaris arion,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Phengaris,arion,,,,"(Linnaeus, 1758)",Lower Risk/near threatened,,2.3,,Global
3390729,1285,Anergates atratulus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Anergates,atratulus,,,,"(Schenck, 1852)",Vulnerable,D2,2.3,,Global
3933275,134293,Potamon fluviatile,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,POTAMIDAE,Potamon,fluviatile,,,,"(Herbst, 1785)",Near Threatened,,3.1,Decreasing,Global & Mediterranean
3965427,134492,Potamon rhodium,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,POTAMIDAE,Potamon,rhodium,,,,"Parisi, 1913",Near Threatened,,3.1,Decreasing,Global & Mediterranean
3997379,134681,Potamon ibericum,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,POTAMIDAE,Potamon,ibericum,,,,"(Bieberstein, 1808)",Near Threatened,,3.1,Decreasing,Global & Mediterranean
4061032,135117,Potamon potamios,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,POTAMIDAE,Potamon,potamios,,,,"(Olivier, 1804)",Near Threatened,,3.1,Decreasing,Global & Mediterranean
4460769,14794,Niphargobates lefkodemonaki,ANIMALIA,ARTHROPODA,AMPHIPODA,MALACOSTRACA,NIPHARGIDAE,Niphargobates,lefkodemonaki,,,,"Sket, 1990",Vulnerable,D2,2.3,,Global
4526314,153648,Pacifastacus leniusculus,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ASTACIDAE,Pacifastacus,leniusculus,,,,"(Dana, 1852)",Least Concern,,3.1,Unknown,Global
5077434,157474,Stenopterus similatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Stenopterus,similatus,,,,"Holzschuh, 1979",Data Deficient,,3.1,Unknown,Global & Europe
5098302,157571,Microrhagus pyrenaeus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,EUCNEMIDAE,Microrhagus,pyrenaeus,,,,"Bonvouloir, 1872",Near Threatened,,3.1,Unknown,Global & Europe
5098645,157573,Chlorophorus glabromaculatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Chlorophorus,glabromaculatus,,,,"(Goeze, 1777)",Least Concern,,3.1,Stable,Global & Europe
5098836,157575,Osmoderma lassallei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CETONIIDAE,Osmoderma,lassallei,,,,"Baraud &amp; Tauzin, 1991",Endangered,"B2ab(ii,iii)",3.1,Decreasing,Global & Europe
5102180,157591,Brachygonus meraculus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Brachygonus,meraculus,,,,"(Reitter, 1889)",Near Threatened,,3.1,Unknown,Global & Europe
5112566,157631,Ropalopus insubricus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Ropalopus,insubricus,,,,"(Germar, 1824)",Near Threatened,,3.1,Unknown,Global & Europe
5114760,157641,Ceruchus chrysomelinus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,LUCANIDAE,Ceruchus,chrysomelinus,,,,"(Hochenwart, 1785)",Near Threatened,,3.1,Decreasing,Global & Europe
5115632,157645,Tritoma bipustulata,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,EROTYLIDAE,Tritoma,bipustulata,,,,"Fabricius, 1775",Least Concern,,3.1,Stable,Global & Europe
5116249,157647,Dolocerus reichii,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Dolocerus,reichii,,,,"Mulsant, 1862",Least Concern,,3.1,Unknown,Global & Europe
5119169,157659,Clytus lama,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Clytus,lama,,,,"Mulsant, 1847",Least Concern,,3.1,Unknown,Global & Europe
5126247,157692,Ampedus hjorti,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,hjorti,,,,"(Rye, 1905)",Vulnerable,A4c,3.1,Decreasing,Global & Europe
5126672,157695,Lioderina linearis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Lioderina,linearis,,,,"(Hampe, 1870)",Data Deficient,,3.1,Decreasing,Global & Europe
5127501,157698,Ampedus coenobita,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,ELATERIDAE,Ampedus,coenobita,,,,"(Costa, 1881)",Near Threatened,,3.1,Unknown,Global & Europe
