internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
173805983,Enallagma cyathigerum,"Agrion cyathigerum Charpentier, 1840",Agrion,cyathigerum,"Charpentier, 1840",,
173805983,Enallagma cyathigerum,"Agrion charpentieri Selys, 1840",Agrion,charpentieri,"Selys, 1840",,
173805983,Enallagma cyathigerum,"Agrion pulchrum Hagen, 1840",Agrion,pulchrum,"Hagen, 1840",,
173805983,Enallagma cyathigerum,"Agrion brunnea Evans, 1845",Agrion,brunnea,"Evans, 1845",,
173805983,Enallagma cyathigerum,"Enallagma nigrothorax Le Roi, 1914",Enallagma,nigrothorax,"Le Roi, 1914",,
173805983,Enallagma cyathigerum,"Enallagma ornatiformis Le Roi, 1914",Enallagma,ornatiformis,"Le Roi, 1914",,
173805983,Enallagma cyathigerum,"Enallagma rotundatum Bartenev, 1929",Enallagma,rotundatum,"Bartenev, 1929",,
173805983,Enallagma cyathigerum,"Enallagma continentale Belyshev, 1956",Enallagma,continentale,"Belyshev, 1956",,
173805983,Enallagma cyathigerum,"Enallagma strouhali St. Quentin, 1962",Enallagma,strouhali,"St. Quentin, 1962",,
173805983,Enallagma cyathigerum,"Enallagma mongolicum Benedek, 1968",Enallagma,mongolicum,"Benedek, 1968",,
173805983,Enallagma cyathigerum,"Enallagma possompesi Heymer, 1968",Enallagma,possompesi,"Heymer, 1968",,
173805983,Enallagma cyathigerum,"Enallagma nigrolineatum Belyshev & Haritonov, 1975",Enallagma,nigrolineatum,"Belyshev & Haritonov, 1975",,
165512,Sympetrum depressiusculum,"Sympetrum frequens (Selys, 1883)",Sympetrum,frequens,"(Selys, 1883)",,
165512,Sympetrum depressiusculum,"Libellula depressiuscula Selys, 1841",Libellula,depressiuscula,"Selys, 1841",,
169975,Palinurus elephas,"Astacus elephas Fabricius, 1787",Astacus,elephas,"Fabricius, 1787",,
196248,Hasarius adansoni,"Attus adansonii Audouin, 1826",Attus,adansonii,"Audouin, 1826",,
10713,Euphydryas maturna,"Hypodryas maturna (Linnaeus, 1758)",Hypodryas,maturna,"(Linnaeus, 1758)",,
10713,Euphydryas maturna,"Papilio maturna Linnaeus, 1758",Papilio,maturna,"Linnaeus, 1758",,
12433,Lycaena dispar,"Papilio dispar Haworth, 1802",Papilio,dispar,"Haworth, 1802",,
12659,Phengaris arion,"Maculinea arion (Linnaeus, 1758)",Maculinea,arion,"(Linnaeus, 1758)",,
12659,Phengaris arion,"Papilio arion Linnaeus, 1758",Papilio,arion,"Linnaeus, 1758",,
134293,Potamon fluviatile,"Potamon fluviatilis (Herbst, 1785) [orth. error] ssp. fluviatilis",Potamon,fluviatilis,"(Herbst, 1785) [orth. error]",subspecies,
134293,Potamon fluviatile,"Potamon fluviatilie Capolongo & Cilia, 1990 ssp. lanfrancoi",Potamon,fluviatilie,"Capolongo & Cilia, 1990",subspecies,
134293,Potamon fluviatile,"Potamophilus edule Latreille, 1818",Potamophilus,edule,"Latreille, 1818",,
134492,Potamon rhodium,"Potamon potamios Pretzmann, 1986 ssp. aspoecki",Potamon,potamios,"Pretzmann, 1986",subspecies,
134492,Potamon rhodium,"Potamon potamios Ghighi, 1929 ssp. hippocratis",Potamon,potamios,"Ghighi, 1929",subspecies,
134492,Potamon rhodium,"Potamon potamios (Parisi, 1913) ssp. rhodium",Potamon,potamios,"(Parisi, 1913)",subspecies,
134681,Potamon ibericum,"Potamon albanicum Starobogatov & Vassilenko, 1979",Potamon,albanicum,"Starobogatov & Vassilenko, 1979",,
134681,Potamon ibericum,"Potamon ibericum Pretzmann, 1963 ssp. meandris",Potamon,ibericum,"Pretzmann, 1963",subspecies,
134681,Potamon ibericum,"Thelphusa fluviatilis Czerniavsky, 1884 ssp. taurica",Thelphusa,fluviatilis,"Czerniavsky, 1884",subspecies,
135117,Potamon potamios,"Potamon potamios Pretzmann, 1962 ssp. karamani",Potamon,potamios,"Pretzmann, 1962",subspecies,
135117,Potamon potamios,"Potamon potamios Ghiavarini, 1934 ssp. kretaion",Potamon,potamios,"Ghiavarini, 1934",subspecies,
135117,Potamon potamios,"Potamon potamios Pretzmann, 1986 ssp. schoenmanni",Potamon,potamios,"Pretzmann, 1986",subspecies,
