internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
173805983,Enallagma cyathigerum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Enallagma,cyathigerum,,,,,"(Charpentier, 1840)","The species is often confused with <em>Enallagma deserti</em>.<br/><br/>Up until 2005, <em>Enallagma cyathigerum </em>was thought to be a single species with a circumpolar distribution. However, Turgeon <em>et al</em>. (2005) demonstrated that the Nearctic and Palearctic populations were really two species: <em>E. cyathigerum</em> (occurring in the Palearctic) and <em>E. annexum</em> (occurring in the Nearctic)."
165512,Sympetrum depressiusculum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,LIBELLULIDAE,Sympetrum,depressiusculum,,,,,"(Selys, 1841)","<span>The Japanese species <em>Sympetrum frequens</em> (Selys, 1883) was considered as  the insular vicariant of <em>S. depressiusculum</em> (Selys, 1841). Recent  phylogenetic analyses showed that both taxa pertain to a single species.  Therefore <em>Sympetrum frequens</em> is treated a junior synonym of <em>S. depressisuculum</em>  (Sawabe <em>et al</em>. 2004)."
169975,Palinurus elephas,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALINURIDAE,Palinurus,elephas,,,,,"(Fabricius, 1787)",
174425,Maniola halicarnassus,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Maniola,halicarnassus,,,,,"Thomson, 1990",
196248,Hasarius adansoni,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,SALTICIDAE,Hasarius,adansoni,,,,,"(Audouin, 1826)","species known both sexes, illustrated."
197950,Palaemonetes antennarius,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PALAEMONIDAE,Palaemonetes,antennarius,,,,,"(H. Milne Edwards, 1837)",
198337,Atyaephyra stankoi,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ATYIDAE,Atyaephyra,stankoi,,,,,"Karaman, 1972",
10542,Hyles hippophaes,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,SPHINGIDAE,Hyles,hippophaes,,,,,"(Esper, 1793)",
10713,Euphydryas maturna,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Euphydryas,maturna,,,,,"(Linnaeus, 1758)",
12433,Lycaena dispar,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lycaena,dispar,,,,,"(Haworth, 1802)",The Large Copper has several subspecies in Europe.
12649,Macrothele cretica,ANIMALIA,ARTHROPODA,ARACHNIDA,ARANEAE,MACROTHELIDAE,Macrothele,cretica,,,,,"Kulczynski, 1903",According to the World Spider Catalog&#160;<em>Macrothele</em> should be placed in its own family the Macrothelidae.
12659,Phengaris arion,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Phengaris,arion,,,,,"(Linnaeus, 1758)",
1285,Anergates atratulus,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Anergates,atratulus,,,,,"(Schenck, 1852)",
134293,Potamon fluviatile,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMIDAE,Potamon,fluviatile,,,,,"(Herbst, 1785)","Subfamily Potaminae. Pretzmann (1983) recognised five subpopulations for this species (as <i>Potamon</i> (<i>Telphusa</i>) <i>fluviatilis fluviatilis</i>, which he called nations), mainly for populations that inhabit islands in the Aegean and Mediterranean. The subspecies <i>Potamon fluviatile lanfrancoi</i> Capolongo and Cilia, 1990 was also not recognised by Brandis <i>et al</i>. (2000). This species was revised to <i>Potamon</i> (<i>Eutelphusa</i>) <i>fluviatile</i> by Brandis <i>et al</i>. (2000) and is treated here as <i>Potamon fluviatile</i>."
134492,Potamon rhodium,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMIDAE,Potamon,rhodium,,,,,"Parisi, 1913","Subfamily Potaminae. Pretzmann (1962, 1983, 1986) recognised four subpopulations for this species (as subspecies and nations), mainly for populations that inhabit islands. This taxon was most recently revised as <i>Potamon</i> (<i>Potamon</i>) <i>rhodium</i> by Brandis <i>et al</i>. (2000) and it is treated here as <i>Potamon rhodium</i>."
134681,Potamon ibericum,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMIDAE,Potamon,ibericum,,,,,"(Bieberstein, 1808)","Subfamily Potaminae. Pretzmann (1983) recognised three subpopulations for this species (as <i>Potamon</I> (<i>Pontipotamon</i>) <i>ibericum tauricum</i>, which he called nations), mainly for populations that inhabit islands. The subspecies <i>Potamon ibericum meandris</i> Pretzmann, 1963 and <i>Potamon albanicum</i> Starobogatov and Vassilenko (1979) were also not recognised by Brandis <i>et al</i>. (2000). This species was revised to <i>Potamon</i> (<i>Pontipotamon</i>) <i>ibericum</i> by Brandis <i>et al</i>. (2000) and is treated here as <i>Potamon ibericum</i>."
135117,Potamon potamios,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMIDAE,Potamon,potamios,,,,,"(Olivier, 1804)","Subfamily Potaminae. Seven subspecies of <i>P. potamios</i> have been recognised over the years (Ghiavarini 1934; Pretzmann 1962, 1984, 1986; Bott 1967) mainly to recognise subpopulations of this species that inhabit islands. This taxon was most recently revised as <i>Potamon</i> (<i>Potamon</i>) <i>potamios</i> by Brandis <i>et al</i>. (2000) and it is treated here as <i>Potamon potamios</i>."
14794,Niphargobates lefkodemonaki,ANIMALIA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,NIPHARGIDAE,Niphargobates,lefkodemonaki,,,,,"Sket, 1990",
153648,Pacifastacus leniusculus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,ASTACIDAE,Pacifastacus,leniusculus,,,,,"(Dana, 1852)","Sub species: <br/><em>leniusculus</em> (Signal crayfish): <em>Astacus leniusculus</em> was placed on the Official List of Specific Names in Zoology, name number 2244, in Opinion 855 of the International Commission on Zoological Nomenclature. (See Melville, 1968: 84). <br/><em>klamathensis</em> (Klamath Signal Crayfish) <br/><em>trowbridgii</em>: (Columbia River Signal Crayfish)<br/><br/>Recent genetic studies (Crandall lab) suggest that these different subspecies are in fact distinct.&#160; Thus the <em>P. klamathensis</em> and <em>P. trowbridgii </em>might themselves be endangered whereas the <em>P. leniusculus</em> is more broad spread and indeed an invasive."
157474,Stenopterus similatus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CERAMBYCIDAE,Stenopterus,similatus,,,,,"Holzschuh, 1979","<p>This species has two subspecies; the nominal subspecies from the Greek island Ikaria (<em>Stenopterus similatus similatus</em>), and <em>S. s.&#160;</em><em>mehli</em>&#160;Sama, 1995, from the island of Cyprus.</p>"
