assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
1281221,169975,Palinurus elephas,5.4.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,,Majority (50-90%),Unknown,,Ongoing,
1413852,174425,Maniola halicarnassus,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),,,Ongoing,
1413852,174425,Maniola halicarnassus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Majority (50-90%),,,Ongoing,
3933275,134293,Potamon fluviatile,6.1,Recreational activities,2.2,Species disturbance,,,,,,,Future,
3933275,134293,Potamon fluviatile,8.1.1,Unspecified species,2.3.2,Competition,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,5.4.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,2.1.2,Small-holder farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Future,
3933275,134293,Potamon fluviatile,1.3,Tourism & recreation areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.3.2,"Soil erosion, sedimentation",1.2,Ecosystem degradation,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.4,Garbage & solid waste,2.1,Species mortality,,,,,,,Ongoing,
3933275,134293,Potamon fluviatile,9.1.1,Sewage,1.2,Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,1.2,Commercial & industrial areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,9.3.4,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,9.1.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,9.2.3,Type Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
3965427,134492,Potamon rhodium,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
