internalTaxonId,scientificName,name,language,main
12953,Megalagrion jugorum,Maui Upland Damselfly,English,true
12958,Megalagrion oceanicum,Oceanic Hawaiian Damselfly,English,true
12959,Megalagrion pacificum,Pacific Hawaiian Damselfly,English,true
12960,Megalagrion xanthomelas,Orangeblack Hawaiian Damselfly,English,true
12961,Megalagrion oahuense,Oahu Damselfly,English,true
137751,Canthon columbianus,Escarabajo Coprófago,Spanish; Castilian,false
137751,Canthon columbianus,Dung Beetle,English,true
15511,Ornithoptera aesacus,Obi Island Birdwing,English,true
15516,Ornithoptera chimaera,La chimère,French,false
15516,Ornithoptera chimaera,Ornithoptère chimère,French,false
15516,Ornithoptera chimaera,Chimaera Birdwing,English,true
15517,Ornithoptera croesus,Wallace's Golden Birdwing,English,true
15520,Ornithoptera paradisea,Butterfly of Paradise,English,false
15520,Ornithoptera paradisea,Tailed Birdwing,English,false
15520,Ornithoptera paradisea,Ornithoptère de paradis,French,false
15520,Ornithoptera paradisea,Paradise Birdwing,English,true
173805983,Enallagma cyathigerum,Common Bluet,English,false
173805983,Enallagma cyathigerum,Agrion Enallagma,Spanish; Castilian,false
173805983,Enallagma cyathigerum,Agrion Porte-Coupe,French,false
173805983,Enallagma cyathigerum,Azzurrina portacalice,Italian,false
173805983,Enallagma cyathigerum,Bleščeči zmotec,Slovenian,false
173805983,Enallagma cyathigerum,Gemeine Becherjungfer,German,false
173805983,Enallagma cyathigerum,L’agrion Porte-coupe,French,false
173805983,Enallagma cyathigerum,Patge de copa,Catalan; Valencian,false
173805983,Enallagma cyathigerum,Plavetna devica,Serbian,false
173805983,Enallagma cyathigerum,Plavetna kosjenka,Croatian,false
173805983,Enallagma cyathigerum,Sjöflickslända,Swedish,false
173805983,Enallagma cyathigerum,Tigrasti plavac,Bosnian,false
173805983,Enallagma cyathigerum,Watersnuffel,Dutch; Flemish,false
173805983,Enallagma cyathigerum,Common Blue Damselfly,English,true
15885,Palaemonetes antrorum,Balcones Cave Shrimp,English,false
15885,Palaemonetes antrorum,Texas Cave Shrimp,English,false
15886,Palaemonetes cummingi,Squirrel Chimney Cave Shrimp,English,false
15886,Palaemonetes cummingi,Florida Cave Shrimp,English,true
15887,Palaemonias alabamae,Alabama Cave Shrimp,English,true
15888,Palaemonias ganteri,Kentucky Cave Shrimp,English,false
159775,Battus belus,Belus Swallowtail,English,true
15982,Papilio aristor,Scarce Haitian Swallowtail,English,true
160029,Euchrysops osiris,African Blue,English,false
160029,Euchrysops osiris,African Cupid,English,false
160029,Euchrysops osiris,Osiris-dowwebloutjie,Afrikaans,false
160029,Euchrysops osiris,Osiris Smoky Blue,English,true
160091,Papilio cresphontes,Eastern Giant Swallowtail,English,false
160091,Papilio cresphontes,Orange dog,English,false
160091,Papilio cresphontes,Giant Swallowtail,English,true
160104,Tarucus bowkeri,Bowker’s Blue,English,false
160104,Tarucus bowkeri,Bowker’s Pierrot,English,true
160184,Protographium anaxilaus,Small Kite Swallowtail,English,true
160215,Graphium sarpedon,Common Bluebottle,English,false
160215,Graphium sarpedon,Blue Triangle,English,true
160386,Eurema hecabe,Common Grass Yellow,English,false
160386,Eurema hecabe,Large Grass-yellow,English,false
160386,Eurema hecabe,Grass Yellow,English,true
160397,Limenitis archippus,Viceroy,English,true
160495,Battus ingenuus,Dyar's Swallowtail,English,false
160495,Battus ingenuus,Confused Swallowtail,English,true
160604,Papilio ornythion,Ornythion Swallowtail,English,true
