assessmentId,internalTaxonId,scientificName,code,name,note
519366,137066,Catharsius rhinoceros,1.1,Site/area protection,""
519946,137100,Cryptocanthon nebulinus,1.1,Site/area protection,""
519946,137100,Cryptocanthon nebulinus,2.3,Habitat & natural process restoration,""
520010,137106,Anisocanthon pygmaeus,1.2,Resource & habitat protection,""
520414,137131,Canthon corpulentus,1.1,Site/area protection,""
520862,137165,Cryptocanthon genieri,1.1,Site/area protection,""
521021,137173,Onthophagus lacustris,1.1,Site/area protection,""
522243,137255,Gyronotus mulanjensis,1.1,Site/area protection,""
522928,137301,Onthophagus azusae,1.1,Site/area protection,""
523970,137365,Oniticellus pseudoplanatus,1.1,Site/area protection,""
525429,137459,Onitis nemoralis,1.2,Resource & habitat protection,""
525429,137459,Onitis nemoralis,1.1,Site/area protection,""
526395,137519,Platyonitis bicuariensis,1.2,Resource & habitat protection,""
526395,137519,Platyonitis bicuariensis,1.1,Site/area protection,""
526573,137526,Aulacopris matthewsi,1.1,Site/area protection,""
527115,137562,Scarabaeolus canaliculatus,1.1,Site/area protection,""
527397,137584,Canthon quadripunctatus,1.1,Site/area protection,""
528002,137615,Pedaria cambeforti,1.2,Resource & habitat protection,""
528002,137615,Pedaria cambeforti,1.1,Site/area protection,""
528913,137667,Holocephalus sculptus,1.1,Site/area protection,""
528913,137667,Holocephalus sculptus,2.3,Habitat & natural process restoration,""
531473,137818,Endroedyolus paradoxus,1.1,Site/area protection,""
532560,137878,Canthon zuninoi,1.1,Site/area protection,""
533466,137928,Pedaria dentata,1.2,Resource & habitat protection,""
533466,137928,Pedaria dentata,1.1,Site/area protection,""
533544,137934,Canthonella gomezi,1.1,Site/area protection,""
533544,137934,Canthonella gomezi,2.3,Habitat & natural process restoration,""
533558,137935,Onthophagus arai,1.1,Site/area protection,""
535247,138041,Oxysternon pteroderum,1.1,Site/area protection,""
536036,138095,Copris fidius,1.1,Site/area protection,""
537213,138161,Cryptocanthon altus,1.2,Resource & habitat protection,""
537213,138161,Cryptocanthon altus,1.1,Site/area protection,""
537445,138178,Onoreidium howdeni,2.3,Habitat & natural process restoration,""
537445,138178,Onoreidium howdeni,1.1,Site/area protection,""
538210,138227,Gyronotus dispar,1.1,Site/area protection,""
538982,138275,Copris complexus,1.1,Site/area protection,""
540208,138354,Dichotomius eucranioides,1.1,Site/area protection,""
540208,138354,Dichotomius eucranioides,2.3,Habitat & natural process restoration,""
543185,138528,Cryptocanthon punctatus,1.1,Site/area protection,""
543185,138528,Cryptocanthon punctatus,2.3,Habitat & natural process restoration,""
725553,15511,Ornithoptera aesacus,5.3,Private sector standards & codes,""
725553,15511,Ornithoptera aesacus,1.2,Resource & habitat protection,""
788902,15885,Palaemonetes antrorum,1.2,Resource & habitat protection,""
788902,15885,Palaemonetes antrorum,1.1,Site/area protection,""
788917,15886,Palaemonetes cummingi,1.1,Site/area protection,""
788932,15887,Palaemonias alabamae,1.2,Resource & habitat protection,""
788932,15887,Palaemonias alabamae,1.1,Site/area protection,""
788947,15888,Palaemonias ganteri,2.1,Site/area management,""
1167361,167083,Idionyx claudia,2.1,Site/area management,
1167883,167102,Calicnemia sinensis,1.2,Resource & habitat protection,""
1168785,167114,Chloropetalia soarer,5.2,Policies and regulations,
1169461,167122,Cephalaeschna dinghuensis,1.1,Site/area protection,
1169461,167122,Cephalaeschna dinghuensis,1.2,Resource & habitat protection,
1171478,167155,Chlorogomphus shanicus,5.2,Policies and regulations,
1281221,169975,Palinurus elephas,3.2,Species recovery,
1281221,169975,Palinurus elephas,3.1.1,Harvest management,
1413852,174425,Maniola halicarnassus,5.2,Policies and regulations,
1413852,174425,Maniola halicarnassus,5.1.3,Sub-national level,
1413852,174425,Maniola halicarnassus,5.1.2,National level,
1413852,174425,Maniola halicarnassus,4.3,Awareness & communications,
1413852,174425,Maniola halicarnassus,2.1,Site/area management,
1413852,174425,Maniola halicarnassus,1.1,Site/area protection,
1413852,174425,Maniola halicarnassus,1.2,Resource & habitat protection,
2373805,195050,Eosamon nominathuis,1.2,Resource & habitat protection,""
2376593,195288,Mylothris atewa,1.1,Site/area protection,
2380484,195326,Polyommatus bollandi,5.1.3,Sub-national level,
2380484,195326,Polyommatus bollandi,5.1.2,National level,
2380484,195326,Polyommatus bollandi,5.4.3,Sub-national level,
2380484,195326,Polyommatus bollandi,5.4.2,National level,
2380484,195326,Polyommatus bollandi,1.1,Site/area protection,
2442709,196120,Sason sechellanum,2.1,Site/area management,""
2442716,196122,Idioctis intertidalis,2.1,Site/area management,""
2442716,196122,Idioctis intertidalis,1.1,Site/area protection,""
2442723,196124,Conothele truncicola,2.2,Invasive/problematic species control,""
2442723,196124,Conothele truncicola,3.4.1,Captive breeding/artificial propagation,""
2442730,196126,Nesiergus gardineri,2.2,Invasive/problematic species control,""
2442737,196128,Nesiergus halophilus,2.3,Habitat & natural process restoration,""
2442744,196130,Larinia dasia,3.4.1,Captive breeding/artificial propagation,""
2442758,196134,Prasonicella marsa,3.4.1,Captive breeding/artificial propagation,""
2442772,196138,Clubiona mahensis,2.2,Invasive/problematic species control,""
2442779,196139,Clubiona nigrimaculosa,2.2,Invasive/problematic species control,""
2442786,196143,Paccius quadridentatus,2.2,Invasive/problematic species control,""
2442793,196153,Apolania segmentata,2.2,Invasive/problematic species control,""
2442800,196156,Pritha heikkii,2.1,Site/area management,""
2442807,196158,Microdrassus inaudax,2.2,Invasive/problematic species control,""
2442814,196160,Xerophaeus espoir,2.2,Invasive/problematic species control,""
2442821,196163,Microdipoena elsae,2.2,Invasive/problematic species control,""
2442828,196167,Euso muehlenbergi,2.3,Habitat & natural process restoration,""
2442828,196167,Euso muehlenbergi,2.2,Invasive/problematic species control,""
2442856,196176,Cousinea keeleyi,2.2,Invasive/problematic species control,""
2442863,196178,Farqua quadrimaculata,3.4.1,Captive breeding/artificial propagation,""
2442884,196183,Ischnothyrella jivani,2.1,Site/area management,""
2442884,196183,Ischnothyrella jivani,5.4.2,National level,""
2442884,196183,Ischnothyrella jivani,1.1,Site/area protection,""
2442891,196185,Ischnothyreus serpentinum,2.2,Invasive/problematic species control,""
2442891,196185,Ischnothyreus serpentinum,1.1,Site/area protection,""
2442898,196187,Lionneta gerlachi,2.2,Invasive/problematic species control,""
