assessmentId,scientificName,internalTaxonId,doi
510761,Megalagrion jugorum,12953,https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T12953A510761.en
510839,Megalagrion oceanicum,12958,https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T12958A510839.en
510946,Megalagrion pacificum,12959,https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T12959A510946.en
511063,Megalagrion xanthomelas,12960,https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T12960A511063.en
511184,Megalagrion oahuense,12961,https://dx.doi.org/10.2305/IUCN.UK.2020-1.RLTS.T12961A511184.en
514996,Mictocaris halope,13520,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T13520A514996.en
519366,Catharsius rhinoceros,137066,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137066A519366.en
519435,Deltochilum icarus,137070,https://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T137070A519435.en
519463,Copris victorini,137072,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137072A519463.en
519491,Paraphytus africanus,137074,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137074A519491.en
519505,Coptorhina nitefacta,137075,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137075A519505.en
519628,Anomiopus parallelus,137079,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137079A519628.en
519642,Cheironitis indicus,137080,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137080A519642.en
519678,Ateuchus latus,137083,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137083A519678.en
519692,Onthophagus manya,137084,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137084A519692.en
519714,Canthidium calidum,137086,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137086A519714.en
519862,Onitis parvulus,137094,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137094A519862.en
519876,Canthon divinator,137095,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137095A519876.en
519904,Coptodactyla lesnei,137097,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137097A519904.en
519918,Onitis granulisetosus,137098,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137098A519918.en
519932,Anomiopus bonariensis,137099,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137099A519932.en
519946,Cryptocanthon nebulinus,137100,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137100A519946.en
519968,Scarabaeus namibicus,137103,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137103A519968.en
520010,Anisocanthon pygmaeus,137106,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137106A520010.en
520024,Heliocopris faunus,137107,https://dx.doi.org/10.2305/IUCN.UK.2013-2.RLTS.T137107A520024.en
520038,Ateuchus euchalceus,137108,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137108A520038.en
520094,Canthidium luteum,137112,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137112A520094.en
520178,Canthon gemellatus,137118,https://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T137118A520178.en
520192,Onthophagus lamgalio,137119,https://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T137119A520192.en
