assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
514996,13520,Mictocaris halope,13.2,Marine Coastal/supratidal - Coastal Caves/Karst,,,Suitable
519366,137066,Catharsius rhinoceros,1.5,Forest - Subtropical/Tropical Dry,Yes,resident,Suitable
519435,137070,Deltochilum icarus,1.6,Forest - Subtropical/Tropical Moist Lowland,,resident,Suitable
519463,137072,Copris victorini,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,Yes,resident,Suitable
519491,137074,Paraphytus africanus,1.6,Forest - Subtropical/Tropical Moist Lowland,,resident,Suitable
519505,137075,Coptorhina nitefacta,1.9,Forest - Subtropical/Tropical Moist Montane,,resident,Unknown
519505,137075,Coptorhina nitefacta,2.1,Savanna - Dry,,resident,Unknown
519628,137079,Anomiopus parallelus,1.6,Forest - Subtropical/Tropical Moist Lowland,,resident,Suitable
519628,137079,Anomiopus parallelus,2.2,Savanna - Moist,,resident,Suitable
519628,137079,Anomiopus parallelus,1.5,Forest - Subtropical/Tropical Dry,,resident,Suitable
519642,137080,Cheironitis indicus,2.1,Savanna - Dry,Yes,resident,Suitable
519678,137083,Ateuchus latus,1.6,Forest - Subtropical/Tropical Moist Lowland,,resident,Suitable
519678,137083,Ateuchus latus,2.2,Savanna - Moist,,resident,Suitable
519692,137084,Onthophagus manya,2.1,Savanna - Dry,Yes,,Suitable
519714,137086,Canthidium calidum,18,Unknown,,,
519862,137094,Onitis parvulus,1.9,Forest - Subtropical/Tropical Moist Montane,,resident,Unknown
519876,137095,Canthon divinator,18,Unknown,,,
519904,137097,Coptodactyla lesnei,4.5,Grassland - Subtropical/Tropical Dry,,,Unknown
519904,137097,Coptodactyla lesnei,3.5,Shrubland - Subtropical/Tropical Dry,Yes,,Suitable
519904,137097,Coptodactyla lesnei,2.1,Savanna - Dry,,,Unknown
519918,137098,Onitis granulisetosus,2.1,Savanna - Dry,Yes,resident,Suitable
519932,137099,Anomiopus bonariensis,18,Unknown,,,
519946,137100,Cryptocanthon nebulinus,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,resident,Suitable
519968,137103,Scarabaeus namibicus,2.1,Savanna - Dry,Yes,resident,Suitable
520010,137106,Anisocanthon pygmaeus,18,Unknown,,,
520024,137107,Heliocopris faunus,2.1,Savanna - Dry,,resident,Unknown
520024,137107,Heliocopris faunus,3.5,Shrubland - Subtropical/Tropical Dry,,resident,Unknown
520038,137108,Ateuchus euchalceus,18,Unknown,,,
520094,137112,Canthidium luteum,18,Unknown,,,Suitable
520178,137118,Canthon gemellatus,18,Unknown,,,
520192,137119,Onthophagus lamgalio,1.5,Forest - Subtropical/Tropical Dry,Yes,,Suitable
520220,137121,Scatonomus xanthopygus,18,Unknown,,,
520234,137122,Epirinus gratus,4.5,Grassland - Subtropical/Tropical Dry,Yes,resident,Suitable
520248,137123,Sisyphus macrorubrus,4.5,Grassland - Subtropical/Tropical Dry,Yes,resident,Suitable
520248,137123,Sisyphus macrorubrus,3.5,Shrubland - Subtropical/Tropical Dry,Yes,resident,Suitable
520414,137131,Canthon corpulentus,2.1,Savanna - Dry,Yes,resident,Suitable
520484,137136,Onthophagus rufosignatus,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
520484,137136,Onthophagus rufosignatus,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
520484,137136,Onthophagus rufosignatus,1.4,Forest - Temperate,,,Suitable
520484,137136,Onthophagus rufosignatus,4.5,Grassland - Subtropical/Tropical Dry,,,Unknown
520484,137136,Onthophagus rufosignatus,3.5,Shrubland - Subtropical/Tropical Dry,,,Suitable
520484,137136,Onthophagus rufosignatus,2.1,Savanna - Dry,,,Unknown
