internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
12953,Megalagrion jugorum,"Agrion jugorum Perkins, 1899",Agrion,jugorum,"Perkins, 1899",,
12959,Megalagrion pacificum,"Agrion pacificum McLachlan, 1883",Agrion,pacificum,"McLachlan, 1883",,
12960,Megalagrion xanthomelas,"Agrion xanthomelas Selys, 1876",Agrion,xanthomelas,"Selys, 1876",,
12961,Megalagrion oahuense,"Agrion oahuense Blackburn, 1884",Agrion,oahuense,"Blackburn, 1884",,
137066,Catharsius rhinoceros,"Copris rhinoceros Klug, 1855",Copris,rhinoceros,"Klug, 1855",,
137070,Deltochilum icarus,"Scarabaeus icarus Olivier, 1789",Scarabaeus,icarus,"Olivier, 1789",,
137079,Anomiopus parallelus,"Onthocharis parallela Harold, 1862",Onthocharis,parallela,"Harold, 1862",,
137083,Ateuchus latus,"Choeridium latum Boucomont, 1928",Choeridium,latum,"Boucomont, 1928",,
137095,Canthon divinator,"Coprobius divinator Gistel, 1857",Coprobius,divinator,"Gistel, 1857",,
137099,Anomiopus bonariensis,"Dendropaemon bonariensis Bruch, 1925",Dendropaemon,bonariensis,"Bruch, 1925",,
137103,Scarabaeus namibicus,Ateuchus aeruginosus  Klug 1855,Ateuchus,aeruginosus ,Klug 1855,,
137103,Scarabaeus namibicus,Ateuchus metallicus  Boheman 1857,Ateuchus,metallicus ,Boheman 1857,,
137106,Anisocanthon pygmaeus,"Deltochilum pygmaeum Gillet, 1911",Deltochilum,pygmaeum,"Gillet, 1911",,
137106,Anisocanthon pygmaeus,"Canthon dromedarius Schmidt, 1922",Canthon,dromedarius,"Schmidt, 1922",,
137107,Heliocopris faunus,Heliocopris satyrus Boheman 1860,Heliocopris,satyrus,Boheman 1860,,
137107,Heliocopris faunus,Heliocopris operosus Waterhouse 1891,Heliocopris,operosus,Waterhouse 1891,,
137108,Ateuchus euchalceus,"Choeridium euchalceum Balthasar, 1939",Choeridium,euchalceum,"Balthasar, 1939",,
137123,Sisyphus macrorubrus,"Neosisyphus macrorubrus (Paschalidis, 1974)",Neosisyphus,macrorubrus,"(Paschalidis, 1974)",,
137136,Onthophagus rufosignatus,"Onthophagus kraatzi Harold, 1880",Onthophagus,kraatzi,"Harold, 1880",,
137149,Sulcophanaeus actaeon,"Phanaeus actaeon Erichson, 1847",Phanaeus,actaeon,"Erichson, 1847",,
137150,Anomiopus smaragdinus,"Scatonomus smaragdina Westwood, 1842",Scatonomus,smaragdina,"Westwood, 1842",,
137150,Anomiopus smaragdinus,"Onthocharis bella Waterhouse, 1891",Onthocharis,bella,"Waterhouse, 1891",,
137154,Scarabaeus galenus,Sebasteos adelphus Kolbe 1895,Sebasteos,adelphus,Kolbe 1895,,
137154,Scarabaeus galenus,Sebasteos westwoodi Péringuey 1908,Sebasteos,westwoodi,Péringuey 1908,,
137154,Scarabaeus galenus,Ateuchus paradoxus Boheman 1857,Ateuchus,paradoxus,Boheman 1857,,
137161,Eodrepanus fastiditus,"Drepanocerus fastiditus Péringuey, 1901",Drepanocerus,fastiditus,"Péringuey, 1901",,
137166,Frankenbergerius armatus,"Coptorhina granulifera Harold, 1871",Coptorhina,granulifera,"Harold, 1871",,
137166,Frankenbergerius armatus,"Frankenbergerius mirabilis Balthasar, 1938",Frankenbergerius,mirabilis,"Balthasar, 1938",,
137166,Frankenbergerius armatus,"Ephirinus armata Boheman, 1857",Ephirinus,armata,"Boheman, 1857",,
137172,Dichotomius worontzowi,"Pinotus worontzowi Pereira, 1942",Pinotus,worontzowi,"Pereira, 1942",,
137185,Demarziella storeyi,"Notopedaria storeyi Matthews, 1976",Notopedaria,storeyi,"Matthews, 1976",,
