internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
12953,Megalagrion jugorum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,jugorum,,,,,"(Perkins, 1899)",
12958,Megalagrion oceanicum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,oceanicum,,,,,"McLachlan, 1883",
12959,Megalagrion pacificum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,pacificum,,,,,"(McLachlan, 1883)",
12960,Megalagrion xanthomelas,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,xanthomelas,,,,,"(Selys, 1876)",
12961,Megalagrion oahuense,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,oahuense,,,,,"(Blackburn, 1884)",
13520,Mictocaris halope,ANIMALIA,ARTHROPODA,MALACOSTRACA,MICTACEA,MICTOCARIDIDAE,Mictocaris,halope,,,,,"Bowman &amp; Iliffe, 1985",
137066,Catharsius rhinoceros,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Catharsius,rhinoceros,,,,,"(Klug, 1855)","The Oriental and Afrotropical genus&#160;<em>Catharsius </em>Hope 1837 is currently represented by 80 species in the Afrotropical region (ScarabNet 2009). It is probable that understanding of the genus, species, and their distributional ranges would benefit from a revision."
137070,Deltochilum icarus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Deltochilum,icarus,,,,,"(Olivier, 1789)","<em>Deltochilum</em> was described in 1822 by Eschscholtz. The main diagnostic characteristic is the presence of short carinae or tubercles at the apex of some elitral interstriae. The genus is composed by eight subgenera: <em>Aganhyboma</em> Kolbe, 1893; <em>Calhyboma</em> Kolbe, 1893; <em>Deltochilum</em> s. str.; <em>Deltohyboma</em> Lane, 1946; <em>Euhyboma</em> Kolbe, 1983; <em>Hybomidium</em> Shipp, 1897; <em>Parahyboma</em> Paulian, 1938; <em>Rubrohyboma</em> Paulian, 1938.</span>"
137072,Copris victorini,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Copris,victorini,,,,,"Boheman, 1857","The genus&#160;<em>Copris</em>&#160;shows widespread biogeographical occurrence across the Afrotropical, Palaearctic, Oriental, Nearctic and northern part of the Neotropical regions, with a current total of 105 species known from the Afrotropical region (ScarabNet 2009). This species belongs to a group currently represented by six species that is restricted to the southeast coastline and adjoining highlands of South Africa. There has been much taxonomic confusion between these species."
137074,Paraphytus africanus,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Paraphytus,africanus,,,,,"Boucomont, 1923","The genus&#160;<span class=""SpellE""><em>Paraphytus</em> Harold 1877  is shared between the rainforests of both the <span class=""SpellE"">Afrotropical</span> and Oriental regions, with six species  considered valid in the <span class=""SpellE"">Afrotropical  region."
137075,Coptorhina nitefacta,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,SCARABAEIDAE,Coptorhina,nitefacta,,,,,"Gillet, 1932","The genus&#160;<em>Coptorhina</em>&#160;is restricted to the Afrotropical region where it comprises seven species, all of which are specialized to feeding and breeding using buried fragments of basidomycete fungi."
