assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
514996,13520,Mictocaris halope,9.1.1,Sewage,"","",,,,,,,Ongoing,
514996,13520,Mictocaris halope,6.1,Recreational activities,"","",,,,,,,Ongoing,
514996,13520,Mictocaris halope,3.2,Mining & quarrying,"","",,,,,,,Ongoing,
519366,137066,Catharsius rhinoceros,5.3.4,Unintentional effects: (large scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,"Slow, Significant Declines",,Ongoing,
519491,137074,Paraphytus africanus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519491,137074,Paraphytus africanus,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519642,137080,Cheironitis indicus,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,,,,Minority (<50%),Unknown,,Ongoing,
519862,137094,Onitis parvulus,7.1.1,Increase in fire frequency/intensity,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519862,137094,Onitis parvulus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519904,137097,Coptodactyla lesnei,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519918,137098,Onitis granulisetosus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519918,137098,Onitis granulisetosus,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,,,,Unknown,Unknown,,Ongoing,
519946,137100,Cryptocanthon nebulinus,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
519946,137100,Cryptocanthon nebulinus,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Future,
519946,137100,Cryptocanthon nebulinus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520010,137106,Anisocanthon pygmaeus,2.3.4,Scale Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520010,137106,Anisocanthon pygmaeus,2.1.4,Scale Unknown/Unrecorded,1.2,Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520234,137122,Epirinus gratus,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520234,137122,Epirinus gratus,8.1.1,Unspecified species,1.2,Ecosystem degradation,,,,Unknown,Unknown,A species of mesquite.,Ongoing,
520248,137123,Sisyphus macrorubrus,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520414,137131,Canthon corpulentus,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520722,137155,Frankenbergerius opacus,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520722,137155,Frankenbergerius opacus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520778,137159,Onthophagus villanuevai,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520862,137165,Cryptocanthon genieri,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520862,137165,Cryptocanthon genieri,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520876,137166,Frankenbergerius armatus,2.3.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
520876,137166,Frankenbergerius armatus,1.1,Housing & urban areas,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Ongoing,
