species	aoo	aoo_natura
Acanthopetalum furculigerum transitionis	4.00492249793881	4.00492249793953
Acanthopetalum minotauri	168.714433229373	56.9085112370436
Acinopus creticus	44.0059177802635	43.6086383725263
Acmaeodera bartoni	91.9675501055549	46.9259171034663
Acmaeodera flavolineata piloselloides	188.748109971738	75.0468292153693
Acmaeodera saxicola minoa	152.595338571261	50.6196523607117
Acmaeoderella rezeki	4.0116225349024	0
Acmaeoderella stepaneki	35.9765011495443	12.0165671400758
Acrosternum malickyi	20.0596439802294	3.87687770793128
Aelurillus cretensis	40.0058202857585	15.4074791088244
Aelurillus leipoldae	84.0470766651992	43.8327846358622
Afropselaphus assingi	4.013618959556	4.01361895955546
Afropselaphus diktianus	4.00451485491251	4.00451485491199
Afropselaphus dornfeldae	4.01429046016524	4.01429046016559
Afropselaphus thripticus	4.00676216508959	4.00676216508932
Agapanthia cretica	20.0049750929534	10.1615851164788
Agapanthia cynarae michaeli	68.0448729568916	16.042792715325
Agapanthia probsti	20.0561016366835	5.59376457484
Alevonota cretica	63.9915789896387	38.1862454447409
Allantus nigrolinearis	12.0515406828986	5.52900867572063
Allotyphlus candicus	16.0177212788177	4.02906941710827
Allotyphlus foedatus	76.1949661493227	28.0502488778177
Aloconota brachyptera	19.9951623849367	16.040010034606
Aloconota minoica	20.012033474638798	11.7383074732829
Amaurobius candia	32.0108995058491	15.8665999176696
Amaurobius cretaensis	40.0054702846003	28.4208069559287
Amaurobius geminus	4.00653734750207	4.0065373475018
Amauronyx askifouicus	3.99924021081132	3.99924021081077
Amauronyx chanianus	4.01111072425707	0
Amauronyx occidens	8.02207105762063	7.44219923012673
Amauronyx paganettii	4.009401282488	0.357092052327486
Amblyiulus creticus	32.0418798856168	4.04918478016364
Amischa cretica	8.00107062205142	8.00107062205209
Anaglyptus praecellens	40.131754373474	39.5908106233031
Anamastigona mediterranea	3.99904767495011	3.99904767495034
Anamastigona penicillata	4.01467777963288	1.78225476723099
Anastrangalia montana steineri	8.01518774014763	0
Aneugmenus oertzeni	48.1240485879426	20.7648270594702
Anthaxia ariadna	32.1142202603029	17.7164516602277
Anthaxia brodskyi	4.01234574355971	4.01234574355722
Anthaxia idea	7.99726971688512	6.56278809129208
Anthaxia margotana	20.060530581964	15.1727832220664
Anthaxia nigrojubata inexpectata	55.9461480117767	42.2261898299247
Anthaxia praeclara creticola	48.0701324084175	18.1996203276141
Anthaxia schoenmanni	128.503035843353	28.0030522055935
Anthaxia senicula cretica	12.0406761422866	6.44521193419478
Aphaenogaster balcanicoides	4.00658598290218	0
Aphaenogaster cecconii	104.438294089799	38.8126436709003
Aplocera cretica	68.0141955624507	24.0908257167604
Astenus minos	8.02645805809119	4.01268061709742
Astenus thripticus	4.0064095776331	4.00640957763228
Atheta cretica	15.9904318667552	15.9904318667528
Atheta digitalis	7.99896344814508	7.99896344814676
Athripsodes longispinosus paleochora	27.9913952061869	7.93915353604721
Batrisodes paganettii	31.988483323031	4.35734685562755
Bellatheta albimontis	16.0518028128637	16.0518028128639
Bellatheta idana	3.99884747711881	3.99884747711881
Bembidion minoum	4.013254265955	4.01325426595465
Bembidion subcostatum creticum	24.0837797700927	5.45530600855681
Beraeamyia aphyrte	40.1099549060322	14.6080970592696
Bidessus cretensis	4.01113501869895	0
Blaps cretensis	92.4355015066298	60.9313407081236
Boreaphilus fueschleri	44.0446275059008	38.7997836832989
Boreaphilus meybohmi	36.1144522868035	36.1144522868033
Boyeria cretensis	92.3281754567718	19.2147435588058
Bryaxis meybohmianus	92.2620795927336	38.4936640511849
Bythinus creticus	4.00039597206352	4.00039597206415
Calathus oertzeni jeanne	144.467608536509	118.471522315838
Callimus angulatus glabrescens	51.9962706628028	38.8080514367366
Calopteryx splendens cretensis	44.1676451191338	7.87872973230729
Carabus banoni	612.080709707049	297.181073434495
Cataglyphis cretica	84.0409898448355	48.6291533341863
Cephennium arcuatum	11.9990734415524	2.68179623195866
Cephennium chanianum	36.0847431958555	10.2582539897284
Cephennium curvatum	4.00303629230546	0
Cephennium fortespinosum	4.00514238679848	0
Cephennium hamulatum	4.00322573656192	0
Cephennium idanum	4.01364699490822	2.23536219456742
Cephennium latius	4.01336434100168	0.558653627013495
Cephennium meybohmi	4.00923887675722	0
Cephennium selenanum	3.99886148175702	3.99886148175574
Cephennium selinonum	4.0131193190404	0
Cephennium sinuosum	12.0095882514251	0.516738177708888
Cephennium thripticum	4.00688328190501	4.00688328190571
Chaetopelma lymberakisi	32.1230492046258	25.5632622029764
Chrysis eraklionica	12.0037759179042	11.8245003871305
Chrysis grohmanni cretensis	12.0027715564991	6.97277269393878
Chrysis pseudoscutellaris	51.9962622716959	17.3730031108725
Claviger oertzeni	8.0310271697914	8.03102716979208
Coenagrion intermedium	52.2033728196803	9.66867598992817
Coriomeris brevicornis	4.00074238750444	4.00074238750508
Cousya candica	4.00506230937679	0
Cretotyphlus chanianus	4.00927681900525	0.0472440888750086
Cretotyphlus hamatus	8.005551235713	4.00061015467254
Cretotyphlus idanus	4.01321282496344	1.24048242488183
Crocallis helenaria	11.996634718495	2.80169207888391
Cyclophora ariadne	24.0925548852133	15.2126113185618
Cyllecoris ernsti	12.0530543981005	4.01987478020137
Dailognatha cylindritarsis	112.124159942923	54.5245124025827
Dailognatha quadricollis montana	116.458792919341	113.770014065418
Dailognatha quadricollis plicata	63.973052103146	28.4804510012836
Dailognatha quadricollis pseudobtusangula	16.0475484029586	4.08241689383688
Dailognatha quadricollis rugata	672.290281159031	223.30307137106
Dendarus dragonadanus	20.0588610768563	4.3625098400051
Dendarus falassarnensis	4.00416478822834	0.0161135657564957
Dendarus foraminosus foraminosus	396.227692467944	169.077389305245
Dendarus graecus	259.886696059303	214.090652327778
Dendarus grampusanus	3.9985799530107	0.729358960114943
Dendarus maximus	40.0054027124095	22.2163115340522
Dendarus mylonasi	3.99894458981688	0
Dendarus opacus	244.67295827565	168.372444750695
Dendarus politus	88.0442774983555	83.2721988686898
Dendarus puncticollis	144.20465603296	32.8816110649438
Dendarus wettsteini	56.1962960228268	56.1962960228274
Deroplia troberti cruciata	12.0312689172391	10.2391656028072
Dichillus obenbergeri	8.03081959269988	8.03081959270146
Dichrooscytus impros	3.99956370811988	2.63515575391683
Dionconotus confluens creticus	7.99882286265463	2.1161060480983
Dolichopoda paraskevi	76.0414772723406	30.8426752437587
Drassylus pumiloides	32.0210934132637	16.2790515091018
Drusilla cretica	52.1914997917916	42.485208385508
Dysdera gigas	44.1686840079865	11.9589995741972
Dysdera neocretica	12.0390999533171	0
Dysderocrates marani	64.1956925629725	43.1863121862127
Ennomos duercki	11.9941158179076	9.34689084692052
Erodius orientalis boyeri	8.00663957395384	1.04410807750524
Euconnus zakrius	4.00541557931604	0
Eumannia psyloritaria	16.0581716092901	5.7688545969239
Eupholidoptera annamariae	68.1035461444197	11.2332369743842
Eupholidoptera astyla	212.284977817944	128.953083075189
Eupholidoptera cretica	16.0602200176494	15.5929506290459
Eupholidoptera feri	4.00321343553352	4.00321343553372
Eupholidoptera forcipata	40.0083279495823	38.5542292343274
Eupholidoptera gemellata	12.0058591872894	10.7832346320962
Eupholidoptera giuliae	140.510750412356	64.5092016622946
Eupholidoptera jacquelinae	44.0019912676318	20.8269914089236
Eupholidoptera latens	148.371950628929	88.1642268120057
Eupholidoptera mariannae	80.1336919397806	18.4267201098259
Eupholidoptera marietheresae	4.00517138887161	4.00517138887172
Eupholidoptera pallipes	8.03002824960902	8.03002824960819
Euplectus assingi	24.0147015452358	7.4383541470737
Euscorpius candiota	955.817899579444	437.46125739159
Faronus albimontium	4.01322443844952	4.01322443845115
Faronus lefkamontium	8.02643766047343	8.02643766047286
Faronus meybohmi	64.2091446284475	59.3892173248993
Gabrius candicus	4.01059326778206	4.01059326778288
Geomitopsis cretica	8.01109193801317	0
Geostiba albimontis	32.1151428217935	14.0000559426848
Geostiba diktiana	4.0045835469922	4.00458354699285
Geostiba exsecta	19.996511601427	19.9965116014293
Geostiba icaria	8.02378394797447	4.08013108031162
Geostiba idaea	36.1550976625141	28.1318321296953
Geostiba inexsecta	12.0396985269066	0
Geostiba meybohmi	32.0244007223268	23.4588911860979
Geostiba paulexsecta	11.997501577738	11.9975015777387
Geostiba thryptisensis	4.00677228299962	4.00677228299962
Glossotrophia mentzeri	64.0091680032748	30.6944188946432
Grammoptera auricollis basicornis	20.087780754399	16.0410704512784
Gryllomorpha cretensis	420.172767817237	192.375642971198
Harpactea catholica	44.1242812169759	21.5545987240544
Harpactea coccifera	83.9631226533761	29.8580686949412
Harpactea cressa	127.906382078866	43.0749677124133
Harpalus sulphuripes creticus	111.965272163873	106.102623833964
Heliophanus creticus	132.449419691864	44.904722435995
Helops glabriventris jelineki	44.1680878025217	44.168087802522
Heterarthrus imbrosensis	12.0438796286024	9.95923205639002
Heterocordylus heissi	4.01265450442291	4.01265450442291
Hydraena subinura	51.989404429131	8.51492537233122
Hydropsyche rhadamanthys	124.513042903393	29.6061015011078
Hydropsyche sarpedon	63.9462546623698	20.754631106002
Isotomus jarmilae	28.1015520791446	13.6868719866991
Iurus dekanum	80.0616658136543	42.563667033635
Jekelius brullei creticus	248.830026001355	163.827695561255
Julodis pubescens yvenii	200.073913667526	43.2646180068127
Kalama cretica	8.02752277952185	4.26988136122455
Kenotyphlus creticus	3.99831996325894	0
Kenotyphlus virgatus	36.0958286230183	20.8708078768831
Laena oertzeni	8.0275689659859	5.90206351354069
Laena wittmeri	8.02323314908858	0
Lasius tapinomoides	39.989202371221	7.30271655520949
Latipalpis margotana	44.165796019843	16.4460900179009
Leiopus nebulosus insulanus	4.01246748608346	4.01246748608401
Leptobium creticum	176.022005910039	109.149907092674
Leptobium thryptisense	24.0375012446788	12.0219960810118
Leptodrassus hadjissaranti	24.050177921959	0
Leptomastax cretica	83.9525121161541	69.142934403822
Leptomastax thryptica	4.0062553683999	4.00625536839946
Lesteva longoelytrata cretica	28.0203509907463	28.0203509907438
Lesteva nitidicollis	8.00175508563711	8.00175508563802
Lesteva szekessyi	3.99933058039556	3.99933058039439
Limnephilus minos	24.073026139203	11.2383060283413
Lithobius creticus	156.10457312334	46.1568456777645
Lobrathium candicum	24.0186034025177	6.09088931228796
Macrothele cretica	68.2206620289283	29.7607475154146
Macrotylus soosi	28.0005952254862	4.37741110752961
Maimuna cretica	309.056822604419	86.072418355515
Malthonica daedali	4.01189753669409	0
Malthonica minoa	88.2535843034696	29.702808232968
Maurodactylus fulvus	12.0040090674793	3.99483312885502
Medon beroni	39.9539631937519	5.48914061072024
Medon cerrutii	179.847315903573	25.7173864812582
Megaphyllum cretica	208.061147737264	112.166752424467
Messor concolor	4.00060705073983	1.69716726240053
Messor creticus	24.0132383153364	24.0132383153358
Monomorium creticum	336.086351534869	150.322979964465
Myllaena cretica	4.00404186231266	4.00404186231226
Myrmecopora elisa	20.0043269126687	19.9393686372287
Myrmecopora fornicata	16.0537197587836	0.705453362725292
Myrmecopora idana	16.0003805054087	16.0003805054136
Myrmecopora plana	24.0880258305408	20.8929806204457
Myrmecopora thriptica	4.00667787990812	4.0066778799074
Nebrioporus amicorum	60.2155707764653	7.35019465094684
Nebula schneideraria eteocretica	8.03295095987895	1.16928989095741
Nemesia caranhaci	4.00050387922282	0
Nemesia daedali	16.0474049370593	0.07370104531604
Ocalea cretica	20.0037300489258	16.4134773701506
Odocnemis cretensis	104.042393420624	83.5812231311997
Orchamus raulinii	88.4110681199319	51.5294468199086
Orthonotus creticus	12.0318453744546	0
Orthotylus mariagratiae	8.0005975102755	6.50108392534458
Ovaliptila lindbergi	127.964653445779	48.2430256378579
Oxyethira mithi	51.9955635399912	16.5866359496513
Oxyopomyrmex laevibus	4.00384670404563	0
Oxypoda bimontium	12.0063555176424	11.4598112199593
Oxypoda cretica	8.00583312847944	8.00583312847763
Oxypoda idana	4.01637457813726	4.01637457813766
Oxypoda retunsa	31.993077132987	23.4745005585808
Palliduphantes malickyi	16.0028328439787	6.57508519982388
Palmar cretica	24.0705999908763	8.3645331059489
Pareulype lasithiotica	12.0494562342312	11.4916121898546
Pedostrangalia ariadne	35.9755470681205	14.1623206512765
Pellenes florii	4.01153327667742	0
Periclista cretica	16.0557396160558	4.77981438208604
Perotis margotana	180.719015002636	30.9219251360421
Philodromus johani	8.0043657855187	2.00967093408494
Phlegra theseusi	15.9945171679125	11.3424905646367
Pholcus creticus	28.0971273873972	13.994434805076
Pholcus spiliensis	44.1846477681474	25.6049072293281
Phymatiotris quadricollis cretica	156.197762343269	55.6519638933556
Phytocoris eduardi	12.049010389333	5.35861970914577
Phytocoris malickyi	12.0492819739438	7.22384398115305
Phytocoris parvuloides	4.002562159606	0
Phytoecia coerulescens cretensis	108.441454642007	35.5132141742807
Pimelia phymatodes	40.014623025842	3.92439331268218
Pimelia sericella	28.013476836758	1.82215739321246
Platycleis albopunctata cretica	84.013734571277	79.900841010586
Platyderus jedlickai	140.036001191276	73.3051135688213
Plectrocnemia conspersa keftiu	36.0904448910598	8.97254238822717
Poecilimon cretensis	360.000233993635	189.477719036444
Pogonocherus creticus	12.0181644044366	2.62596629076474
Pogonocherus perroudi brevipilosus	4.01202303074821	0
Prionobius myardi proksi	55.9763517430097	13.3992651776036
Pristiphora cretica	23.9983768147596	19.1558997975644
Pristiphora parnasia	23.9991983139169	9.79603459280667
Pronomaea wunderlei	12.0262778783577	2.22536404578015
Proteinus creticus	132.000750998553	95.5847147479648
Pseudobium creticum	4.00420278491567	3.87983826842682
Pseudosphegesthes bergeri	12.0378439659013	9.09857176113829
Ptosima undecimmaculata metallescens	75.9242763615584	24.1737287538956
Purpuricenus schurmanni	48.165824118317	39.9751267127413
Pyrrhocoris niger	4.0002469126091	4.00024691260976
Quedius praecisus	16.0152879098999	16.0152879099017
Quedius sigwalti	52.1838030549267	17.0417587678258
Raiboscelis corvinus bilyi	24.103829193185	15.9272773611364
Raiboscelis corvinus brodskyi	36.1004632621033	22.0795559970736
Raiboscelis corvinus corvinus	413.844961563704	205.107258652541
