species	aoo_wildlife
Acanthopetalum furculigerum transitionis	0
Acanthopetalum minotauri	29.9425701212777
Acinopus creticus	11.2839806689977
Acmaeodera bartoni	4.1241160796378
Acmaeodera flavolineata piloselloides	11.6326763457171
Acmaeodera saxicola minoa	7.03001655239847
Acmaeoderella rezeki	0
Acmaeoderella stepaneki	0.615591227242041
Acrosternum malickyi	2.50097380726575
Aelurillus cretensis	3.30623684289338
Aelurillus leipoldae	10.4515332067926
Afropselaphus assingi	1.53527035277908
Afropselaphus diktianus	0
Afropselaphus dornfeldae	0
Afropselaphus thripticus	0
Agapanthia cretica	2.73486854964828
Agapanthia cynarae michaeli	4.09739090065929
Agapanthia probsti	1.08050471313443
Alevonota cretica	4.6671839695035
Allantus nigrolinearis	2.50499999981245
Allotyphlus candicus	1.76201886009778
Allotyphlus foedatus	2.98924058126642
Aloconota brachyptera	5.35558686188524
Aloconota minoica	1.23451741702412
Amaurobius candia	2.68268572376163
Amaurobius cretaensis	0.461319933726625
Amaurobius geminus	0
Amauronyx askifouicus	3.33916524168314
Amauronyx chanianus	0
Amauronyx occidens	1.5172790211363
Amauronyx paganettii	0
Amblyiulus creticus	0.0205371157081287
Amischa cretica	0
Anaglyptus praecellens	2.51937824683253
Anamastigona mediterranea	0
Anamastigona penicillata	0
Anastrangalia montana steineri	1.9339683262187
Aneugmenus oertzeni	0.256733823551115
Anthaxia ariadna	0.476920470685432
Anthaxia brodskyi	0
Anthaxia idea	1.86182071701856
Anthaxia margotana	3.04575311104577
Anthaxia nigrojubata inexpectata	6.08887407319281
Anthaxia praeclara creticola	4.47557793132256
Anthaxia schoenmanni	6.38024390538314
Anthaxia senicula cretica	5.72950137433301
Aphaenogaster balcanicoides	0
Aphaenogaster cecconii	16.6126989668
Aplocera cretica	6.62077045746992
Astenus minos	0.241271662567556
Astenus thripticus	0
Atheta cretica	2.86142602557902
Atheta digitalis	0.0999324491106527
Athripsodes longispinosus paleochora	0.277760031352061
Batrisodes paganettii	2.11612841004295
Bellatheta albimontis	0.460740247753741
Bellatheta idana	0
Bembidion minoum	0
Bembidion subcostatum creticum	0.34244484845097
Beraeamyia aphyrte	0.533042021055539
Bidessus cretensis	0
Blaps cretensis	20.0544405940585
Boreaphilus fueschleri	3.69564121693816
Boreaphilus meybohmi	2.00448705233001
Boyeria cretensis	1.63754018746304
Bryaxis meybohmianus	3.408522079174
Bythinus creticus	1.42132590228531
