gbif	kingdom	phylum	genus	species	class	order	family
10007921	Animalia	Arthropoda	Chrysoritis	Chrysoritis pyroeis	Insecta	Lepidoptera	Lycaenidae
10011198	Animalia	Arthropoda	Coeliccia	Coeliccia nemoricola	Insecta	Odonata	Platycnemididae
10027223	Animalia	Arthropoda	Asiagomphus	Asiagomphus kosterini	Insecta	Odonata	Gomphidae
10036229	Animalia	Arthropoda	Chrysoritis	Chrysoritis felthami	Insecta	Lepidoptera	Lycaenidae
10037056	Animalia	Arthropoda	Podolestes	Podolestes parvus	Insecta	Odonata	Megapodagrionidae
10038003	Animalia	Arthropoda	Gomphidia	Gomphidia podhigai	Insecta	Odonata	Gomphidae
10049976	Animalia	Arthropoda	Rhinocypha	Rhinocypha flavipoda	Insecta	Odonata	Chlorocyphidae
10055091	Animalia	Arthropoda	Copera	Copera sikassoensis	Insecta	Odonata	Platycnemididae
10066982	Animalia	Arthropoda	Copelatus	Copelatus kely	Insecta	Coleoptera	Dytiscidae
10068467	Animalia	Arthropoda	Igneocnemis	Igneocnemis flammea	Insecta	Odonata	Platycnemididae
10068686	Animalia	Arthropoda	Matticnemis	Matticnemis doi	Insecta	Odonata	Platycnemididae
10070174	Animalia	Arthropoda	Copelatus	Copelatus betampona	Insecta	Coleoptera	Dytiscidae
10092424	Animalia	Arthropoda	Desmolycaena	Desmolycaena mazoensis	Insecta	Lepidoptera	Lycaenidae
10101801	Animalia	Arthropoda	Madaglymbus	Madaglymbus semifactus	Insecta	Coleoptera	Dytiscidae
10107389	Animalia	Arthropoda	Anotogaster	Anotogaster kuchenbeiseri	Insecta	Odonata	Cordulegastridae
10108535	Animalia	Arthropoda	Trimenia	Trimenia wykehami	Insecta	Lepidoptera	Lycaenidae
10115783	Animalia	Arthropoda	Euphaea	Euphaea ornata	Insecta	Odonata	Euphaeidae
10123288	Animalia	Arthropoda	Idiocnemis	Idiocnemis milou	Insecta	Odonata	Platycnemididae
10148149	Animalia	Arthropoda	Allocnemis	Allocnemis nigripes	Insecta	Odonata	Platycnemididae
10184321	Animalia	Arthropoda	Porpacithemis	Porpacithemis dubia	Insecta	Odonata	Libellulidae
10185957	Animalia	Arthropoda	Madaglymbus	Madaglymbus menalamba	Insecta	Coleoptera	Dytiscidae
10186869	Animalia	Arthropoda	Poecilmitis	Poecilmitis aureus	Insecta	Lepidoptera	Lycaenidae
10217687	Animalia	Arthropoda	Copelatus	Copelatus safiotra	Insecta	Coleoptera	Dytiscidae
10220858	Animalia	Arthropoda	Copelatus	Copelatus ankaratra	Insecta	Coleoptera	Dytiscidae
10237851	Animalia	Arthropoda	Indolestes	Indolestes birmanus	Insecta	Odonata	Lestidae
10239440	Animalia	Arthropoda	Blakistonia	Blakistonia bassi	Arachnida	Araneae	Idiopidae
10244711	Animalia	Arthropoda	Luzonargiolestes	Luzonargiolestes baltazarae	Insecta	Odonata	Argiolestidae
10268205	Animalia	Arthropoda	Coeliccia	Coeliccia lecongcoi	Insecta	Odonata	Platycnemididae
10294037	Animalia	Arthropoda	Rhinocypha	Rhinocypha pelengensis	Insecta	Odonata	Chlorocyphidae
10299163	Animalia	Arthropoda	Platycnemis	Platycnemis nyansana	Insecta	Odonata	Platycnemididae
10299238	Animalia	Arthropoda	Indocnemis	Indocnemis marijanmatoki	Insecta	Odonata	Platycnemididae
10309522	Animalia	Arthropoda	Telosticta	Telosticta bidayuh	Insecta	Odonata	Platystictidae
10315836	Animalia	Arthropoda	Crudaria	Crudaria wykehami	Insecta	Lepidoptera	Lycaenidae
10345127	Animalia	Arthropoda	Chrysoritis	Chrysoritis zonarius	Insecta	Lepidoptera	Lycaenidae
10369964	Animalia	Arthropoda	Heliogomphus	Heliogomphus bidentatus	Insecta	Odonata	Gomphidae
10370530	Animalia	Arthropoda	Igneocnemis	Igneocnemis tendipes	Insecta	Odonata	Platycnemididae
10373589	Animalia	Arthropoda	Zeritis	Zeritis chrysaor	Insecta	Lepidoptera	Lycaenidae
