subspeciesname	Order	n_locations	n_sites	eoo	eoo_overlap	eoo_natura	eoo_wildlife	aoo	aoo_natura	aoo_wildlife	potentially_VU	potentially_EN	potentially_CR	paca	iucn	threatened	gbif	gbif_id	class	family	genus	kingdom	order	phylum	species	subspecies
Blaps cretensis	Coleoptera	17	34	5762.15605335928	4834.44057575979	1620.87606129596	358.553443730641	76.3593608677002	46.8190192970483	10.4386899863337	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	8279505	8279505	Insecta	Tenebrionidae	Blaps	Animalia	Coleoptera	Arthropoda	NA	NA
Calathus oertzeni jeanne	Coleoptera	17	135	4718.91780986944	4168.88692221302	1333.99630465989	302.852255574748	136.462433638346	118.048183615876	22.076746172788	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	5755389	5755389	Insecta	Carabidae	Calathus	Animalia	Coleoptera	Arthropoda	Calathus oertzeni	NA
Carabus banoni	Coleoptera	63	407	14226.0492082031	8023.80935333498	2210.44252681348	560.445301352638	552.227646582206	264.342756514946	72.3045842406122	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chaetopelma lymberakisi	Araneae	6	11	3540.05275830531	3380.30219231142	1351.03995392442	253.937376998136	28.1065698298014	19.195241879776	3.12892831133846	TRUE	FALSE	FALSE	PT	VU	TRUE	10380830	10380830	Arachnida	Theraphosidae	Chaetopelma	Animalia	Araneae	Arthropoda	Chaetopelma lymberakisi	NA
Dailognatha cylindritarsis	Coleoptera	19	31	7692.04104201699	4660.58644135251	1637.26200793453	392.280415472293	104.101058572162	46.228726711546	8.81534546249238	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4455360	4455360	Insecta	Tenebrionidae	Dailognatha	Animalia	Coleoptera	Arthropoda	Dailognatha cylindritarsis	NA
Dailognatha quadricollis rugata	Coleoptera	72	260	11963.0282754383	8017.0244902336	2187.16404916671	549.502516441921	684.313843198299	240.431200937155	70.7935521868495	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4455354	4455354	Insecta	Tenebrionidae	Dailognatha	Animalia	Coleoptera	Arthropoda	Dailognatha quadricollis	Dailognatha quadricollis rugata
Dendarus opacus	Coleoptera	22	151	3296.71253624645	2331.18352153885	767.307092332868	126.450700455521	256.740902106054	183.083974279195	18.345260079445	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	8827055	8827055	Insecta	Tenebrionidae	Dendarus	Animalia	Coleoptera	Arthropoda	Dendarus opacus	NA
Dysdera gigas	Araneae	11	11	5741.19392444985	4685.08530490223	1495.76004330327	314.630350309694	44.1691983295657	13.3332111483033	1.67294791177955	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	2139470	2139470	Arachnida	Dysderidae	Dysdera	Animalia	Araneae	Arthropoda	Dysdera gigas	NA
Euscorpius candiota	Scorpiones	88	470	14933.6873970957	8208.94950025874	2277.26019957924	566.345728697524	991.727111474682	454.899635938114	109.102802330349	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	4553812	4553812	Arachnida	Euscorpiidae	Euscorpius	Animalia	Scorpiones	Arthropoda	Euscorpius candiota	NA
Gryllomorpha cretensis	Orthoptera	55	221	11656.2917996594	7179.8078248116	2043.87861693629	533.00801259459	444.173793610767	214.071279642849	67.1826802674675	FALSE	FALSE	FALSE	LNT	NT/LC	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
