scientificName	n_sites	eoo	eoo_overlap
Raiboscelis corvinus corvinus	111	12991.4881381722	8161.70222216583
Acmaeodera flavolineata piloselloides	45	9614.16201985893	7290.18948185011
Anthaxia schoenmanni	32	8813.43737421811	6666.27527011558
Troglophilus spinulosus	111	12156.8803196485	7647.11383537484
Harpactea catholica	10	2011.05234286556	1552.00282522904
Malthonica minoa	19	7514.62264522135	5919.735162256
Walckenaeria cretaensis	22	5532.53464877395	4511.14974793631
Scolopendra cretica	231	16324.9115702599	8246.75188067881
Zelotes chaniaensis	14	6518.83478906708	5087.38325783995
Zelotes daidalus	24	12052.6375948932	7802.49713200824
Zelotes minous	10	11128.5765759652	7029.52942687489
Dailognatha quadricollis plicata	18	2713.41215199314	1519.28509379203
Dendarus opacus	67	3296.61770897974	2331.16186588103
Rhodostrophia cretacaria	12	4240.90954275909	3722.47874686147
Maimuna cretica	71	9303.80695957047	6898.19334810782
Nemesia daedali	4	310.039792321761	211.734747528202
Acmaeodera saxicola minoa	37	6958.59704616506	5811.32571010219
Orthonotus creticus	3	1730.5517735696	1062.83948321433
Acrosternum malickyi	5	1733.26026624356	1090.46697621773
Eupholidoptera latens	37	1189.03870118938	1107.25068852393
Aelurillus leipoldae	20	9101.91925297917	5866.82638147414
Zodarion albipatellarae	3	4219.21320272227	3886.7860372162
Dailognatha quadricollis rugata	165	11963.3104358555	8017.04378452953
Heliophanus creticus	32	4906.03008333934	4413.7841577809
Orchamus raulinii	21	6736.29188712188	5200.3317998993
Dysdera gigas	11	5740.82653559571	4685.00630864457
Harpactea cressa	31	8182.90008833215	6136.42785918152
Theridion helena	35	7673.71929280173	6009.42950251302
Julodis pubescens yvenii	45	12062.4860576338	7246.2412558822
Tentyria rotundata paganettii	13	8238.85544134211	5925.52992417323
Monomorium creticum	73	10403.7444017383	7038.89519990304
Eupholidoptera giuliae	29	1651.44596886731	1391.59440347807
Pholcus creticus	7	3415.14213728109	2973.75165737053
Blaps cretensis	22	5761.95549457927	4834.28710080861
Erodius orientalis boyeri	2	NA	NA
Phymatiotris quadricollis cretica	40	13254.7840021438	6774.38144607378
Pimelia sericella	7	4914.39330224814	3597.68950641362
Rhyparochromus creticus	7	3843.60404273321	2380.25190062531
Nebrioporus amicorum	15	4076.72234342863	3616.48386828936
Sigara nigrolineata mendax	12	3040.60906612498	2700.39176546758
Zodarion spinibarbe	49	8437.76920351367	6715.7542783816
Hydropsyche rhadamanthys	28	6305.18299171489	5648.78392948485
Oxyopomyrmex laevibus	2	NA	NA
Temnothorax daidalosi	14	3241.44129238448	2884.85180089021
Temnothorax proteii	33	5106.79712047588	4609.31294219925
Temnothorax variabilis	14	3125.88919780786	2709.60283136241
Quedius sigwalti	12	2953.82605548609	2715.14900636561
Xantholinus erinaceus	17	3772.66758840799	3416.21223347675
Palmar cretica	6	755.760329987345	738.120120646622
Perotis margotana	43	6652.53443352394	5805.98579020869
Pimelia phymatodes	12	6160.76907775896	4881.41932103648
Poecilimon cretensis	75	12660.9771345678	7677.73140677651
Cataglyphis cretica	20	7751.46557131312	5158.32602432237
Phytoecia coerulescens cretensis	27	4182.19991095832	4070.11201717267
Boyeria cretensis	22	3991.50427631857	3773.65700557101
Dysdera neocretica	3	243.276683141061	192.558997379754
Hydraena subinura	13	6509.30105978638	5835.84298211453
Stictoleptura slamai	5	2138.65979635144	2089.93454401
Aneugmenus oertzeni	13	1305.42685574019	1133.55140086412
Strongylogaster cretensis	15	1823.98085814257	1652.10540326646
Harpactea coccifera	20	6063.16157390473	5400.29103752286
Limnephilus minos	6	1005.57941266193	900.638301249488
Pronomaea wunderlei	3	2.12577824177667	2.1257782417767
Coenagrion intermedium	13	3407.29533094062	3207.15247042538
Ptosima undecimmaculata metallescens	18	5190.65749752181	4554.51613564869
Allotyphlus foedatus	19	653.678944473821	653.678944473821
