scientificName	eoo_wildlife
Raiboscelis corvinus corvinus	587.259100169298
Acmaeodera flavolineata piloselloides	481.610968275724
Anthaxia schoenmanni	435.617928657255
Troglophilus spinulosus	531.938415063651
Harpactea catholica	44.4665764859144
Malthonica minoa	399.522918075929
Walckenaeria cretaensis	309.222986848517
Scolopendra cretica	571.941501802265
Zelotes chaniaensis	311.559138199452
Zelotes daidalus	548.370982146055
Zelotes minous	507.970732565535
Dailognatha quadricollis plicata	116.218834459281
Dendarus opacus	126.450373669156
Rhodostrophia cretacaria	222.34239898331
Maimuna cretica	460.151113194327
Nemesia daedali	6.33375021227697
Acmaeodera saxicola minoa	421.311408978197
Orthonotus creticus	63.2321042808167
Acrosternum malickyi	83.6606738767681
Eupholidoptera latens	72.349615437705
Aelurillus leipoldae	385.035704284975
Zodarion albipatellarae	263.065079170214
Dailognatha quadricollis rugata	549.521499790418
Heliophanus creticus	301.880364099294
Orchamus raulinii	333.095839178372
Dysdera gigas	314.620540406154
Harpactea cressa	377.676438030421
Theridion helena	453.861532678829
Julodis pubescens yvenii	535.291652504364
Tentyria rotundata paganettii	456.789548449012
Monomorium creticum	505.933376024174
Eupholidoptera giuliae	82.0542874474404
Pholcus creticus	172.988416613675
Blaps cretensis	358.547769675849
Erodius orientalis boyeri	NA
Phymatiotris quadricollis cretica	475.447300132158
Pimelia sericella	237.262600265026
Rhyparochromus creticus	113.804531555426
Nebrioporus amicorum	256.794800509906
Sigara nigrolineata mendax	166.219796041046
Zodarion spinibarbe	466.190171301318
Hydropsyche rhadamanthys	395.74909911165
Oxyopomyrmex laevibus	NA
Temnothorax daidalosi	189.676001634851
Temnothorax proteii	281.556968263566
Temnothorax variabilis	163.685090784988
Quedius sigwalti	167.546957916258
Xantholinus erinaceus	245.529156846466
Palmar cretica	22.7916839804345
Perotis margotana	348.573840896224
Pimelia phymatodes	323.34844655527
Poecilimon cretensis	535.315919643958
Cataglyphis cretica	384.334996795778
Phytoecia coerulescens cretensis	297.193642228008
Boyeria cretensis	232.702802522693
Dysdera neocretica	4.48095936905407
Hydraena subinura	413.678707383058
Stictoleptura slamai	199.547262242861
Aneugmenus oertzeni	39.449293686422
Strongylogaster cretensis	84.0610177623461
Harpactea coccifera	415.757080171821
Limnephilus minos	58.531740831853
Pronomaea wunderlei	0.00489808611226915
Coenagrion intermedium	205.112073945437
Ptosima undecimmaculata metallescens	281.52489117276
Allotyphlus foedatus	14.4642982074622
Bryaxis meybohmianus	68.4895410269595
Aphaenogaster cecconii	364.748760228241
Xantholinus creticus	18.661851042378
Aphaenogaster balcanicoides	NA
Dendarus foraminosus foraminosus	302.016997721573
Dendarus puncticollis	212.812596026787
Stenopterus creticus	397.413844815778
Medon cerrutii	259.599917689556
Amaurobius candia	133.487879375265
Aplocera cretica	291.190999597795
Hydropsyche sarpedon	277.790518976697
Oxyethira mithi	338.199925664176
Beraeamyia aphyrte	58.3920379593823
Plectrocnemia conspersa keftiu	33.0517564066163
Tinodes aligi	4.11354380397917
Stenichnus hummleri	0
Saitis ariadneae	167.292146612098
Deroplia troberti cruciata	0
Ryacophila gudrunae	26.1007188852973
Cephennium chanianum	0
Kenotyphlus virgatus	0.398077427600642
Tychus reitterianus	181.539621406636
Stenichnus aegialioides	134.520365517537
Scydmoraphes minotauri	99.9744616739464
Acmaeoderella stepaneki	273.375999367608
Tinodes reisseri	431.431034028631
Periclista cretica	33.1752888413764
Dysderocrates marani	115.753272403353
Agapanthia cynarae michaeli	325.032737999174
Agapanthia probsti	0.0135472927112453
Pedostrangalia ariadne	76.5863164833635
Prionobius myardi proksi	293.78298167649
Trichoferus bergeri	331.414113173657
Amauronyx paganettii	NA
Leptobium creticum	318.838248343759
Medon beroni	117.996607371824
Proteinus creticus	184.409816358138
Typhlocyptus creticus	33.6845422519895
Cretotyphlus chanianus	NA
