user_supplied_name	submitted_name	matched_name	data_source_title	score
Blaps cretensis	Blaps cretensis	Blaps cretensis	uBio NameBank	0.988
Blaps cretensis	Blaps cretensis	Blaps cretensis (Koch 1944)	Index to Organism Names	0.988
Blaps cretensis	Blaps cretensis	Blaps cretensis Crete	Index to Organism Names	0.988
Blaps cretensis	Blaps cretensis	Blaps cretensis (Koch 1944)	uBio NameBank	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus (Calathus) oertzeni Jeanne & F.Battoni, 1987	Catalogue of Life Checklist	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni	Wikispecies	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni Jeanne & F.Battoni, 1987	GBIF Backbone Taxonomy	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni	Encyclopedia of Life	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni Jeanne & F. Battoni, 1988	EUNIS	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni Jeanne & F. Battoni, 1988	BioLib.cz	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni Jeanne & Battoni 1987	Index to Organism Names	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni Jeanne & Battoni 1987	uBio NameBank	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni	uBio NameBank	0.988
Calathus oertzeni jeanne	Calathus oertzeni jeanne	Calathus oertzeni	Open Tree of Life Reference Taxonomy	0.988
Carabus banoni	Carabus banoni	Carabus banoni	Encyclopedia of Life	0.988
Carabus banoni	Carabus banoni	Carabus banoni Dejean, 1829	BioLib.cz	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi	Wikispecies	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi	Encyclopedia of Life	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi	Open Tree of Life Reference Taxonomy	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi Chatzaki & Komnenov, 2019	Catalogue of Life Checklist	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi Chatzaki & Komnenov, 2019	Integrated Taxonomic Information SystemITIS	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi Chatzaki & Komnenov, 2019	GBIF Backbone Taxonomy	0.988
Chaetopelma lymberakisi	Chaetopelma lymberakisi	Chaetopelma lymberakisi Chatzaki & Koivinenov 2019	Index to Organism Names	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis	Encyclopedia of Life	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis	Open Tree of Life Reference Taxonomy	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis Koch, 1948	GBIF Backbone Taxonomy	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis Koch, 1948	EUNIS	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis Koch, 1948	BioLib.cz	0.988
Dailognatha cylindritarsis	Dailognatha cylindritarsis	Dailognatha cylindritarsis Koch 1948	Index to Organism Names	0.988
Dailognatha quadricollis rugata	Dailognatha quadricollis rugata	Dailognatha quadricollis rugata	Encyclopedia of Life	0.999
Dailognatha quadricollis rugata	Dailognatha quadricollis rugata	Dailognatha quadricollis rugata Solier, 1835	GBIF Backbone Taxonomy	0.999
Dailognatha quadricollis rugata	Dailognatha quadricollis rugata	Dailognatha quadricollis rugata Solier, 1835	EUNIS	0.999
Dailognatha quadricollis rugata	Dailognatha quadricollis rugata	Dailognatha quadricollis rugata Solier, 1835	BioLib.cz	0.999
Dendarus opacus	Dendarus opacus	Dendarus opacus	National Center for Biotechnology Information	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus	Encyclopedia of Life	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus	uBio NameBank	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus Koch, 1948	GBIF Backbone Taxonomy	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus Koch, 1948	EUNIS	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus Koch, 1948	BioLib.cz	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus Koch 1948	Index to Organism Names	0.988
Dendarus opacus	Dendarus opacus	Dendarus opacus Koch 1948	uBio NameBank	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas	Encyclopedia of Life	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas	Index to Organism Names	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas	uBio NameBank	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas	Arctos	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas	Open Tree of Life Reference Taxonomy	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	Catalogue of Life Checklist	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	Integrated Taxonomic Information SystemITIS	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	The Interim Register of Marine and Nonmarine Genera	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	GBIF Backbone Taxonomy	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	EUNIS	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	BioLib.cz	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	nlbif	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer 1928	Index to Organism Names	0.988
Dysdera gigas	Dysdera gigas	Dysdera gigas Roewer, 1928	uBio NameBank	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota	Encyclopedia of Life	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota	Index to Organism Names	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula, 1903	Catalogue of Life Checklist	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula, 1903	GBIF Backbone Taxonomy	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula, 1900	EUNIS	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula, 1900	BioLib.cz	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius (Euscorpius) candiota Birula 1903	Index to Organism Names	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula 1903	Index to Organism Names	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius (Euscorpius) candiota Birula 1903	uBio NameBank	0.988
Euscorpius candiota	Euscorpius candiota	Euscorpius candiota Birula 1903	PLAZI treatments	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis	uBio NameBank	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis	Arctos	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis	Open Tree of Life Reference Taxonomy	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	Catalogue of Life Checklist	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha (Gryllomorphella) cretensis Ramme, 1927	Catalogue of Life Checklist	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	The Interim Register of Marine and Nonmarine Genera	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	GBIF Backbone Taxonomy	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	EUNIS	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha (Gryllomorpha) cretensis Ramme, 1927	Orthoptera Species File	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	BioLib.cz	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	nlbif	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme 1927	Index to Organism Names	0.988
Gryllomorpha cretensis	Gryllomorpha cretensis	Gryllomorpha cretensis Ramme, 1927	uBio NameBank	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera	Wikispecies	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera	Encyclopedia of Life	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera	uBio NameBank	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera	Arctos	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera	Open Tree of Life Reference Taxonomy	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	Catalogue of Life Checklist	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	Integrated Taxonomic Information SystemITIS	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	The Interim Register of Marine and Nonmarine Genera	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	GBIF Backbone Taxonomy	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	EUNIS	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	BioLib.cz	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	nlbif	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli 1984	Index to Organism Names	0.988
Harpactea coccifera	Harpactea coccifera	Harpactea coccifera Brignoli, 1984	uBio NameBank	0.988
Megaphyllum cretica	Megaphyllum cretica	Megaphyllum cretica	uBio NameBank	0.988
Megaphyllum cretica	Megaphyllum cretica	Megaphyllum cretica	Arctos	0.988
Megaphyllum cretica	Megaphyllum cretica	Megaphyllum cretica (Strasser, 1976)	Catalogue of Life Checklist	0.988
Megaphyllum cretica	Megaphyllum cretica	Megaphyllum cretica (Strasser, 1976)	World Register of Marine Species	0.988
