internalTaxonId	scientificName	kingdomName	phylumName	className	orderName	familyName	genusName	speciesName	infraType	infraName	infraAuthority	subpopulationName	authority	taxonomicNotes
197702	Typhlatya miravetensis	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Typhlatya	miravetensis	NA	NA	NA	NA	Sanz &amp; Platvoet, 1995	NA
197723	Troglocaris bosnica	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Troglocaris	bosnica	NA	NA	NA	NA	Sket &amp; Zakšek, 2009	NA
197798	Troglocaris neglecta	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Troglocaris	neglecta	NA	NA	NA	NA	Sket &amp; Zakšek, 2009	NA
197826	Typhlocaris salentina	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	TYPHLOCARIDIDAE	Typhlocaris	salentina	NA	NA	NA	NA	Caroli, 1923	NA
197851	Dugastella valentina	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Dugastella	valentina	NA	NA	NA	NA	(Ferrer Galdiano, 1924)	NA
198142	Troglocaris kapelana	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Troglocaris	kapelana	NA	NA	NA	NA	Sket &amp; Zakšek, 2009	NA
198319	Gallocaris inermis	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Gallocaris	inermis	NA	NA	NA	NA	(Fage, 1937)	NA
198354	Troglocaris anophthalma ssp. intermedia	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Troglocaris	anophthalma	subspecies	intermedia	NA	NA	Babić, 1922	NA
198366	Troglocaris anophthalma ssp. anophthalma	ANIMALIA	ARTHROPODA	MALACOSTRACA	DECAPODA	ATYIDAE	Troglocaris	anophthalma	subspecies	anophthalma	NA	NA	(Kollar, 1848)	NA
10338	Hydrotarsus compunctus	ANIMALIA	ARTHROPODA	INSECTA	COLEOPTERA	DYTISCIDAE	Hydrotarsus	compunctus	NA	NA	NA	NA	(Wollaston, 1865)	NA
10339	Hydrotarsus pilosus	ANIMALIA	ARTHROPODA	INSECTA	COLEOPTERA	DYTISCIDAE	Hydrotarsus	pilosus	NA	NA	NA	NA	Guignot, 1949	NA
10808	Imnadia panonica	ANIMALIA	ARTHROPODA	BRANCHIOPODA	DIPLOSTRACA	LIMNADIIDAE	Imnadia	panonica	NA	NA	NA	NA	Marinček &amp; Petrov, 1984	NA
10806	Imnadia cristata	ANIMALIA	ARTHROPODA	BRANCHIOPODA	DIPLOSTRACA	LIMNADIIDAE	Imnadia	cristata	NA	NA	NA	NA	Marinček, 1972	NA
10807	Imnadia banatica	ANIMALIA	ARTHROPODA	BRANCHIOPODA	DIPLOSTRACA	LIMNADIIDAE	Imnadia	banatica	NA	NA	NA	NA	Marinček &amp; Valvajter, 1982	NA
11356	Lasius reginae	ANIMALIA	ARTHROPODA	INSECTA	HYMENOPTERA	FORMICIDAE	Lasius	reginae	NA	NA	NA	NA	Faber, 1967	NA
11759	Leptothorax buschingeri	ANIMALIA	ARTHROPODA	INSECTA	HYMENOPTERA	FORMICIDAE	Leptothorax	buschingeri	NA	NA	NA	NA	Kutter, 1967	NA
12649	Macrothele cretica	ANIMALIA	ARTHROPODA	ARACHNIDA	ARANEAE	MACROTHELIDAE	Macrothele	cretica	NA	NA	NA	NA	Kulczynski, 1903	According to the World Spider Catalog&#160;<em>Macrothele</em> should be placed in its own family the Macrothelidae.
1276	Androniscus stygius ssp. dentatus	ANIMALIA	ARTHROPODA	MALACOSTRACA	ISOPODA	TRICHONISCIDAE	Androniscus	stygius	subspecies	dentatus	NA	NA	Strouhal, 1939	NA
13014	Meladema imbricata	ANIMALIA	ARTHROPODA	INSECTA	COLEOPTERA	DYTISCIDAE	Meladema	imbricata	NA	NA	NA	NA	Wollaston, 1871	NA
13015	Meladema lanio	ANIMALIA	ARTHROPODA	INSECTA	COLEOPTERA	DYTISCIDAE	Meladema	lanio	NA	NA	NA	NA	Falkenstrom, 1938	NA
13259	Metacyclops gasparoi	ANIMALIA	ARTHROPODA	HEXANAUPLIA	CYCLOPOIDA	CYCLOPIDAE	Metacyclops	gasparoi	NA	NA	NA	NA	Stoch, 1987	NA
13260	Metacyclops postojnae	ANIMALIA	ARTHROPODA	HEXANAUPLIA	CYCLOPOIDA	CYCLOPIDAE	Metacyclops	postojnae	NA	NA	NA	NA	Brancelj, 1987	NA
13706	Monolistra bolei	ANIMALIA	ARTHROPODA	MALACOSTRACA	ISOPODA	SPHAEROMATIDAE	Monolistra	bolei	NA	NA	NA	NA	(Sket, 1960)	NA
13708	Monolistra calopyge	ANIMALIA	ARTHROPODA	MALACOSTRACA	ISOPODA	SPHAEROMATIDAE	Monolistra	calopyge	NA	NA	NA	NA	Sket, 1982	NA
13709	Monolistra schottlaenderi	ANIMALIA	ARTHROPODA	MALACOSTRACA	ISOPODA	SPHAEROMATIDAE	Monolistra	schottlaenderi	NA	NA	NA	NA	Stammer, 1930	NA
