sci_name	gbifid.ids	gbifid.class	gbifid.match	gbifid.multiple_matches	gbifid.pattern_match	gbifid.uri
Typhlatya miravetensis	4309719	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4309719
Troglocaris bosnica	5862980	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5862980
Troglocaris neglecta	6454800	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6454800
Typhlocaris salentina	4417571	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4417571
Dugastella valentina	4417566	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4417566
Troglocaris kapelana	6454802	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6454802
Gallocaris inermis	6454743	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6454743
Troglocaris anophthalma ssp. intermedia	NA	gbifid	NA due to ask=FALSE & > 1 result	TRUE	FALSE	NA
Troglocaris anophthalma ssp. anophthalma	NA	gbifid	NA due to ask=FALSE & > 1 result	TRUE	FALSE	NA
Hydrotarsus compunctus	5791516	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5791516
Hydrotarsus pilosus	4470014	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4470014
Imnadia panonica	5789881	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5789881
Imnadia cristata	5789883	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/5789883
Imnadia banatica	5789882	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5789882
Lasius reginae	5035822	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5035822
Leptothorax buschingeri	1323810	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1323810
Macrothele cretica	2145076	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/2145076
Androniscus stygius ssp. dentatus	6284145	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6284145
Meladema imbricata	4469758	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4469758
Meladema lanio	4469756	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4469756
Metacyclops gasparoi	4326878	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4326878
Metacyclops postojnae	4326805	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4326805
Monolistra bolei	2207172	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/2207172
Monolistra calopyge	2207185	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/2207185
Monolistra schottlaenderi	2207177	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/2207177
Monolistra racovitzai ssp. conopyge	6283758	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/6283758
Monolistra spinosissima	2207187	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/2207187
Moserius percoi	2208332	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/2208332
Myrmica bibikoffi	1318964	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1318964
Myrmica faniensis	1318962	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1318962
Myrmica hirsuta	1318807	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1318807
Myrmica myrmicoxena	1318963	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1318963
Myrmica samnitica	1318942	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1318942
Myrmica laurae	1318818	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/1318818
Myrmica winterae	1318840	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1318840
Myrmica symbiotica	1318907	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/1318907
Niphargobates orophobata	4417482	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4417482
Niphargobates lefkodemonaki	4417483	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/4417483
Niphargus aberrans	5789903	gbifid	found	FALSE	FALSE	https://www.gbif.org/species/5789903
Niphargus hadzii	4417374	gbifid	found	TRUE	TRUE	https://www.gbif.org/species/4417374
