sbspcsn,Order,familis,long,lat,SITECODE,SITENAME,RELEASE_DA,MS,SITETYPE,INSPIRE_ID,PER.x,Code_18,Remark,Area_Ha,ID,GRID_CODE,LABEL1,LABEL2,LABEL3,RGB,hex,PER.y,elevation,hilda_transition,hilda_2018,hilda_1998
Acanthopetalum furculigerum transitionis,Diplopoda,Schizopetalidae,25.4779,35.1292,GR4320002,"DIKTI: OROPEDIO LASITHIOU, KATHARO, SELENA, SELAKANO, CHALASMENI KORYFI",2021/12/14,GR,B,,ะ. สัวิวำ,"333",,2997.21310537014,EU_672571,32,Forest and semi natural areas,Open spaces with little or no vegetation,Sparsely vegetated areas,204-255-204,#CCFFCC,ะ. สัวิวำ,1457.58984375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.1404,35.5852,,,,,,,,"323",,1542.78973991518,EU_662543,28,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,#A6E64D,ะ. สัวิวำ,266.420379638672,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.279,35.3269,GR4340010,DRAPANO (VOREIOANATOLIKES AKTES) โ€“ PARALIA GEORGIOUPOLIS โ€“ LIMNI KOURNA - SPILAIO PSIMAKI,2021/12/14,GR,B,,ะ. สัวิวำ,"512",,67.6812584999794,EU_674255,41,Water bodies,Inland waters,Water bodies,128-242-230,#80F2E6,ะ. สัวิวำ,10.6300001144409,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.9945,35.3893,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,2037.60870749492,EU_658563,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,844.95703125,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,23.9885,35.4406,,,,,,,,"321",,924.404157724946,EU_658595,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,422.976440429688,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
Acanthopetalum minotauri,Diplopoda,Schizopetalidae,24.0844,35.2422,GR4340008,LEFKA ORI KAI PARAKTIA ZONI,2021/12/14,GR,B,,ะ. สัวิวำ,"321",,13167.4076025997,EU_658510,26,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,#CCF24D,ะ. สัวิวำ,864.060302734375,33,33,33
