order	family	genus	scientificName	decimalLatitude	decimalLongitude	SITECODE	SITENAME	RELEASE_DA	MS	SITETYPE	INSPIRE_ID	PER.x	Code_18	Remark	Area_Ha	ID	GRID_CODE	LABEL1	LABEL2	LABEL3	RGB	hex	PER.y	elevation	hilda_transition	hilda_2018	hilda_1998	hilda_transition.1	hilda_2018.1	hilda_1998.1
Coleoptera	Tenebrionidae	Raiboscelis	Raiboscelis corvinus corvinus	35.6923	23.7376	GR4340003	CHERSONISOS RODOPOU โ€“ PARALIA MALEME -KOLPOS CHANION	2021-12-14	GR	B	NA	ะ. สัวิวำ	323	NA	4708.914016419948	EU_662548	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	133.26573181152344	0	0	0	0	0	0
Coleoptera	Buprestidae	Acmaeodera	Acmaeodera flavolineata piloselloides	35.591	24.0899	NA	NA	NA	NA	NA	NA	NA	112	NA	85.87531083998721	EU_630149	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	2.8270440101623535	0	0	0	0	0	0
Coleoptera	Buprestidae	Anthaxia	Anthaxia schoenmanni	35.591	24.0899	NA	NA	NA	NA	NA	NA	NA	112	NA	85.87531083998721	EU_630149	2	Artificial surfaces	Urban fabric	Discontinuous urban fabric	255-000-000	#FF0000	ะ. สัวิวำ	2.8270440101623535	0	0	0	0	0	0
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.591	24.144	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	148.18203735351562	33	33	33	33	33	33
Araneae	Dysderidae	Harpactea	Harpactea catholica	35.5903	24.1025	NA	NA	NA	NA	NA	NA	NA	333	NA	151.40565865998565	EU_672605	32	Forest and semi natural areas	Open spaces with little or no vegetation	Sparsely vegetated areas	204-255-204	#CCFFCC	ะ. สัวิวำ	204.06414794921875	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5903	24.1025	NA	NA	NA	NA	NA	NA	NA	333	NA	151.40565865998565	EU_672605	32	Forest and semi natural areas	Open spaces with little or no vegetation	Sparsely vegetated areas	204-255-204	#CCFFCC	ะ. สัวิวำ	204.06414794921875	33	33	33	33	33	33
Araneae	Agelenidae	Malthonica	Malthonica minoa	35.59	24.1461	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	136.97247314453125	33	33	33	33	33	33
Araneae	Linyphiidae	Walckenaeria	Walckenaeria cretaensis	35.59	24.1461	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	136.97247314453125	33	33	33	33	33	33
Chilopoda	Scolopendridae	Scolopendra	Scolopendra cretica	35.5895	24.1464	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	155.64459228515625	33	33	33	33	33	33
Orthoptera	Rhaphidophoridae	Troglophilus	Troglophilus spinulosus	35.5895	24.1464	NA	NA	NA	NA	NA	NA	NA	323	NA	1542.7897399151764	EU_662543	28	Forest and semi natural areas	Scrub and/or herbaceous vegetation associations	Sclerophyllous vegetation	166-230-077	#A6E64D	ะ. สัวิวำ	155.64459228515625	33	33	33	33	33	33
