order	threatened	n	source
Araneae	FALSE	1	endemic_crete_redlist
Coleoptera	FALSE	3	endemic_crete_redlist
Coleoptera	TRUE	5	endemic_crete_redlist
Odonata	TRUE	2	endemic_crete_redlist
Orthoptera	FALSE	5	endemic_crete_redlist
Orthoptera	TRUE	13	endemic_crete_redlist
Amphipoda	TRUE	1	endemic_greek_redlist
Araneae	FALSE	1	endemic_greek_redlist
Coleoptera	FALSE	28	endemic_greek_redlist
Coleoptera	TRUE	7	endemic_greek_redlist
Decapoda	FALSE	1	endemic_greek_redlist
Decapoda	TRUE	1	endemic_greek_redlist
Diptera	FALSE	1	endemic_greek_redlist
Diptera	TRUE	23	endemic_greek_redlist
Hymenoptera	FALSE	38	endemic_greek_redlist
Hymenoptera	TRUE	2	endemic_greek_redlist
Lepidoptera	FALSE	7	endemic_greek_redlist
Lepidoptera	TRUE	1	endemic_greek_redlist
Odonata	TRUE	6	endemic_greek_redlist
Orthoptera	FALSE	68	endemic_greek_redlist
Orthoptera	TRUE	71	endemic_greek_redlist
Actiniaria	FALSE	1	endemic_europe_redlist
Actiniaria	TRUE	2	endemic_europe_redlist
Agaricales	TRUE	4	endemic_europe_redlist
Alismatales	FALSE	2	endemic_europe_redlist
Alismatales	TRUE	2	endemic_europe_redlist
Allogastropoda	FALSE	3	endemic_europe_redlist
Allogastropoda	TRUE	2	endemic_europe_redlist
Amphipoda	FALSE	1	endemic_europe_redlist
Amphipoda	TRUE	11	endemic_europe_redlist
Anguilliformes	FALSE	4	endemic_europe_redlist
Anostraca	TRUE	3	endemic_europe_redlist
Anura	FALSE	4	endemic_europe_redlist
Anura	TRUE	4	endemic_europe_redlist
Apiales	FALSE	8	endemic_europe_redlist
Apiales	TRUE	18	endemic_europe_redlist
Araneae	FALSE	54	endemic_europe_redlist
Araneae	TRUE	33	endemic_europe_redlist
Archaeognatha	FALSE	1	endemic_europe_redlist
Archaeognatha	TRUE	2	endemic_europe_redlist
Architaenioglossa	FALSE	62	endemic_europe_redlist
Architaenioglossa	TRUE	18	endemic_europe_redlist
Arecales	FALSE	1	endemic_europe_redlist
Asparagales	FALSE	81	endemic_europe_redlist
Asparagales	TRUE	62	endemic_europe_redlist
Aspidochirotida	FALSE	7	endemic_europe_redlist
Asterales	FALSE	33	endemic_europe_redlist
Asterales	TRUE	80	endemic_europe_redlist
Bartramiales	TRUE	1	endemic_europe_redlist
Bathyteuthida	FALSE	2	endemic_europe_redlist
Boraginales	FALSE	5	endemic_europe_redlist
Boraginales	TRUE	18	endemic_europe_redlist
Brassicales	FALSE	26	endemic_europe_redlist
Brassicales	TRUE	35	endemic_europe_redlist
Bryales	FALSE	1	endemic_europe_redlist
Bryoxiphiales	TRUE	1	endemic_europe_redlist
Calanoida	FALSE	2	endemic_europe_redlist
Calanoida	TRUE	1	endemic_europe_redlist
Carnivora	TRUE	1	endemic_europe_redlist
Caryophyllales	FALSE	21	endemic_europe_redlist
Caryophyllales	TRUE	44	endemic_europe_redlist
Caudata	FALSE	6	endemic_europe_redlist
Caudata	TRUE	10	endemic_europe_redlist
Celastrales	FALSE	2	endemic_europe_redlist
Cetartiodactyla	FALSE	1	endemic_europe_redlist
Charadriiformes	FALSE	1	endemic_europe_redlist
Chimaeriformes	FALSE	1	endemic_europe_redlist
Chiroptera	TRUE	3	endemic_europe_redlist
Chordeumatida	FALSE	1	endemic_europe_redlist
Clupeiformes	TRUE	3	endemic_europe_redlist
Coleoptera	FALSE	96	endemic_europe_redlist
Coleoptera	TRUE	124	endemic_europe_redlist
Columbiformes	FALSE	3	endemic_europe_redlist
Cycloneritida	FALSE	2	endemic_europe_redlist
Cycloneritida	TRUE	2	endemic_europe_redlist
Cyclopoida	TRUE	3	endemic_europe_redlist
Cypriniformes	FALSE	21	endemic_europe_redlist
Cypriniformes	TRUE	60	endemic_europe_redlist
Cyprinodontiformes	TRUE	4	endemic_europe_redlist
Decapoda	FALSE	6	endemic_europe_redlist
Decapoda	TRUE	6	endemic_europe_redlist
Dicranales	FALSE	2	endemic_europe_redlist
Dicranales	TRUE	4	endemic_europe_redlist
Dioscoreales	FALSE	1	endemic_europe_redlist
Dioscoreales	TRUE	1	endemic_europe_redlist
Diplostraca	TRUE	6	endemic_europe_redlist
Dipsacales	FALSE	1	endemic_europe_redlist
Dipsacales	TRUE	5	endemic_europe_redlist
Diptera	FALSE	51	endemic_europe_redlist
Diptera	TRUE	69	endemic_europe_redlist
Ellobiida	FALSE	20	endemic_europe_redlist
Ellobiida	TRUE	1	endemic_europe_redlist
Entomobryomorpha	FALSE	2	endemic_europe_redlist
Ericales	FALSE	11	endemic_europe_redlist
Ericales	TRUE	6	endemic_europe_redlist
Eulipotyphla	FALSE	2	endemic_europe_redlist
Eulipotyphla	TRUE	2	endemic_europe_redlist
Fabales	FALSE	43	endemic_europe_redlist
Fabales	TRUE	41	endemic_europe_redlist
