gbif	n	class	family	genus	kingdom	order	phylum	species	subspecies	NA
10041995	1	Insecta	Staphylinidae	Sunius	Animalia	Coleoptera	Arthropoda	Sunius diktianus	NA	NA
10043124	1	Insecta	Staphylinidae	Geostiba	Animalia	Coleoptera	Arthropoda	Geostiba paulexsecta	NA	NA
10048846	1	Insecta	Staphylinidae	Lobrathium	Animalia	Coleoptera	Arthropoda	Lobrathium candicum	NA	NA
10065782	1	Insecta	Formicidae	Lasius	Animalia	Hymenoptera	Arthropoda	Lasius tapinomoides	NA	NA
10113904	1	Insecta	Staphylinidae	Sunius	Animalia	Coleoptera	Arthropoda	Sunius thripticus	NA	NA
1011788	1	Diplopoda	Schizopetalidae	Acanthopetalum	Animalia	Callipodida	Arthropoda	Acanthopetalum minotauri	NA	NA
1012218	1	Diplopoda	Julidae	Amblyiulus	Animalia	Julida	Arthropoda	Amblyiulus creticus	NA	NA
1016612	1	Diplopoda	Paradoxosomatidae	Stosatea	Animalia	Polydesmida	Arthropoda	Stosatea cretica	NA	NA
10177879	1	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes minotauri	NA	NA
10217541	1	Insecta	Staphylinidae	Proteinus	Animalia	Coleoptera	Arthropoda	Proteinus creticus	NA	NA
1022773	1	Diplopoda	Anthroleucosomatidae	Anamastigona	Animalia	Chordeumatida	Arthropoda	Anamastigona mediterranea	NA	NA
1022774	1	Diplopoda	Anthroleucosomatidae	Anamastigona	Animalia	Chordeumatida	Arthropoda	Anamastigona penicillata	NA	NA
10261584	1	Insecta	Staphylinidae	Tychus	Animalia	Coleoptera	Arthropoda	Tychus lagrecai	NA	NA
10306494	1	Insecta	Staphylinidae	Myrmecopora	Animalia	Coleoptera	Arthropoda	Myrmecopora thriptica	NA	NA
10313218	1	Insecta	Staphylinidae	Scydmoraphes	Animalia	Coleoptera	Arthropoda	Scydmoraphes fuelscheri	NA	NA
10332019	1	Insecta	Staphylinidae	Aloconota	Animalia	Coleoptera	Arthropoda	Aloconota brachyptera	NA	NA
10354297	1	Insecta	Staphylinidae	Tectusa	Animalia	Coleoptera	Arthropoda	Tectusa thriptica	NA	NA
10369394	1	Insecta	Staphylinidae	Bellatheta	Animalia	Coleoptera	Arthropoda	Bellatheta idana	NA	NA
10380830	1	Arachnida	Theraphosidae	Chaetopelma	Animalia	Araneae	Arthropoda	Chaetopelma lymberakisi	NA	NA
10389093	1	Insecta	Staphylinidae	Pronomaea	Animalia	Coleoptera	Arthropoda	Pronomaea wunderlei	NA	NA
10392162	1	Insecta	Staphylinidae	Boreaphilus	Animalia	Coleoptera	Arthropoda	Boreaphilus meybohmi	NA	NA
