families	subspeciesname
Schizopetalidae	Acanthopetalum furculigerum transitionis
Schizopetalidae	Acanthopetalum minotauri
Carabidae	Acinopus creticus
Buprestidae	Acmaeodera bartoni
Buprestidae	Acmaeodera flavolineata piloselloides
Buprestidae	Acmaeodera saxicola minoa
Buprestidae	Acmaeoderella rezeki
Buprestidae	Acmaeoderella stepaneki
Pentatomidae	Acrosternum malickyi
Salticidae	Aelurillus cretensis
Salticidae	Aelurillus leipoldae
Staphylinidae	Afropselaphus assingi
Staphylinidae	Afropselaphus diktianus
Staphylinidae	Afropselaphus dornfeldae
Staphylinidae	Afropselaphus thripticus
Cerambycidae	Agapanthia cretica
Cerambycidae	Agapanthia cynarae michaeli
Cerambycidae	Agapanthia probsti
Staphylinidae	Alevonota cretica
Tenthredinidae	Allantus nigrolinearis
Staphylinidae	Allotyphlus candicus
Staphylinidae	Allotyphlus foedatus
Staphylinidae	Aloconota brachyptera
Staphylinidae	Aloconota minoica
Amaurobiidae	Amaurobius candia
Amaurobiidae	Amaurobius cretaensis
Amaurobiidae	Amaurobius geminus
Staphylinidae	Amauronyx askifouicus
Staphylinidae	Amauronyx chanianus
Staphylinidae	Amauronyx occidens
Staphylinidae	Amauronyx paganettii
Julidae	Amblyiulus creticus
Staphylinidae	Amischa cretica
Cerambycidae	Anaglyptus praecellens
"Anthroleucosomatidae

Anthroleucosomatidae"	Anamastigona mediterranea
"Anthroleucosomatidae

Anthroleucosomatidae"	Anamastigona penicillata
Cerambycidae	Anastrangalia montana steineri
Tenthredinidae	Aneugmenus oertzeni
Buprestidae	Anthaxia ariadna
Buprestidae	Anthaxia brodskyi
Buprestidae	Anthaxia idea
Buprestidae	Anthaxia margotana
Buprestidae	Anthaxia nigrojubata inexpectata
Buprestidae	Anthaxia praeclara creticola
Buprestidae	Anthaxia schoenmanni
Buprestidae	Anthaxia senicula cretica
Formicidae	Aphaenogaster balcanicoides
Formicidae	Aphaenogaster cecconii
Geometridae	Aplocera cretica
Staphylinidae	Astenus minos
Staphylinidae	Astenus thripticus
Staphylinidae	Atheta cretica
Staphylinidae	Atheta digitalis
Leptoceridae	Athripsodes longispinosus paleochora
Staphylinidae	Batrisodes paganettii
Staphylinidae	Bellatheta albimontis
Staphylinidae	Bellatheta idana
Carabidae	Bembidion minoum
Carabidae	Bembidion subcostatum creticum
Leptoceridae	Beraeamyia aphyrte
Dytiscidae	Bidessus cretensis
Tenebrionidae	Blaps cretensis
Staphylinidae	Boreaphilus fueschleri
Staphylinidae	Boreaphilus meybohmi
Aeshnidae	Boyeria cretensis
Staphylinidae	Bryaxis meybohmianus
Staphylinidae	Bythinus creticus
Carabidae	Calathus oertzeni jeanne
Cerambycidae	Callimus angulatus glabrescens
"Calopterygidae

Calopterygidae"	Calopteryx splendens cretensis
Carabidae	Carabus banoni
Formicidae	Cataglyphis cretica
Staphylinidae	Cephennium arcuatum
Staphylinidae	Cephennium chanianum
Staphylinidae	Cephennium curvatum
Staphylinidae	Cephennium fortespinosum
Staphylinidae	Cephennium hamulatum
Staphylinidae	Cephennium idanum
Staphylinidae	Cephennium latius
Staphylinidae	Cephennium meybohmi
Staphylinidae	Cephennium selenanum
Staphylinidae	Cephennium selinonum
Staphylinidae	Cephennium sinuosum
Staphylinidae	Cephennium thripticum
Theraphosidae	Chaetopelma lymberakisi
Chrysididae	Chrysis eraklionica
Chrysididae	Chrysis grohmanni cretensis
Chrysididae	Chrysis pseudoscutellaris
Staphylinidae	Claviger oertzeni
Coenagrionidae	Coenagrion intermedium
Coreidae	Coriomeris brevicornis
Staphylinidae	Cousya candica
Staphylinidae	Cretotyphlus chanianus
